DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario
JUN,15,0,40.05,47.76,32.67,0.61,19.82,10,NA
JUN,15,1,36.05,44.97,32.67,0.62,19.71,13,2.49
JUN,15,2,36.65,42.49,29.90,0.61,20.21,13,NA
JUN,15,3,37.73,40.68,28.23,0.69,18.42,13,NA
JUN,15,4,40.71,39.93,28.24,0.80,15.28,14,NA
JUN,15,5,42.31,39.84,28.45,0.84,16.69,15,NA
JUN,15,6,37.01,39.02,31.30,1.05,17.04,11,4.60
JUN,15,7,37.90,38.55,35.10,1.29,19.32,14,4.71
JUN,15,8,40.83,38.65,36.24,1.38,18.41,16,2.90
JUN,15,9,43.92,39.63,35.36,1.42,18.06,15,1.26
JUN,15,10,46.23,40.83,36.20,1.43,18.05,14,1.75
JUN,15,11,50.19,42.39,36.45,1.36,19.00,17,NA
JUN,15,12,54.10,44.06,36.86,1.27,30.12,17,NA
JUN,15,13,54.24,45.55,37.90,1.26,36.84,18,2.86
JUN,15,14,54.03,47.68,38.08,1.08,29.84,19,2.97
JUN,15,15,54.56,49.76,38.08,0.87,22.76,17,NA
JUN,15,16,54.32,51.45,37.90,0.77,22.30,15,NA
JUN,15,17,53.30,52.62,37.67,0.72,21.23,16,NA
JUN,15,18,52.77,53.44,37.46,0.71,20.87,12,NA
JUN,15,19,50.37,53.46,36.49,0.73,20.83,10,NA
JUN,15,20,48.75,52.79,36.29,0.69,24.05,10,0.86
JUN,15,21,46.93,51.88,36.11,0.66,21.14,10,0.92
JUN,15,22,45.57,50.82,35.91,0.63,20.90,9,NA
JUN,15,23,46.50,49.82,35.70,0.61,20.98,10,NA
JUN,16,0,46.16,48.80,34.46,0.59,19.63,11,NA
JUN,16,1,44.70,47.72,33.92,0.61,19.72,12,NA
JUN,16,2,45.47,46.81,37.16,0.65,20.30,12,NA
JUN,16,3,44.07,46.02,35.18,0.61,20.55,12,NA
JUN,16,4,42.36,45.22,33.73,0.61,21.96,11,NA
JUN,16,5,39.97,44.35,33.22,0.61,19.89,13,NA
JUN,16,6,35.19,43.05,30.11,0.62,15.13,11,2.83
