DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppb]
MZO,17,4,19.37,21.37,13.17,0.34,15,17,NA
MZO,17,5,17.67,20.95,13.34,0.33,12,13,NA
MZO,17,6,9.72,19.85,13.8,0.33,13,11,5.27
MZO,17,7,3.68,17.77,14.7,0.34,16,14,11.03
MZO,17,8,5.66,16.03,15.81,0.36,20,17,10.93
MZO,17,9,10.77,14.23,16.48,0.39,20,20,8.21
MZO,17,10,12.37,12.59,16.68,0.42,31,24,14.72
MZO,17,11,18.16,12.18,18.22,0.44,41,31,10.86
MZO,17,12,31.76,13.73,18.06,0.47,37,33,NA
MZO,17,13,42.31,16.81,17.28,0.49,30,30,NA
MZO,17,14,48.07,21.6,16.82,0.5,29,24,NA
MZO,17,15,49.53,27.33,16.55,0.49,23,24,NA
MZO,17,16,48.08,32.63,16.49,0.48,23,21,NA
MZO,17,17,50.56,37.61,16.42,0.47,24,17,NA
MZO,17,18,50.27,42.34,16.33,0.46,27,17,NA
MZO,17,19,36.55,44.64,16.29,0.48,28,17,NA
MZO,17,20,24.47,43.73,16.28,0.52,33,16,NA
MZO,17,21,20.16,40.96,16.26,0.55,44,19,NA
MZO,17,22,24.24,37.98,15.72,0.56,41,19,NA
MZO,17,23,21.71,34.5,15.12,0.57,35,20,NA
MZO,18,0,8.42,29.55,14.24,0.59,33,18,NA
MZO,18,1,4.83,23.83,13.06,0.61,33,18,NA
MZO,18,2,6.48,18.36,12,0.6,32,19,NA
MZO,18,3,10.01,15.04,10.83,0.57,30,19,NA
MZO,18,4,8.93,13.1,10.18,0.51,28,19,NA
