DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario,
AGO,7,18,27.13,29.53,35.32,0.79,19,14,3.12,
AGO,7,19,24.46,29.5,36.04,0.82,19,12,3.49,
AGO,7,20,20.75,28.48,36.06,0.80,17,11,4.02,
AGO,7,21,18.73,26.92,36.06,0.76,18,11,3.54,
AGO,7,22,18.78,25.63,36.07,0.75,15,10,2.66,
AGO,7,23,20.39,24.07,32.07,0.73,16,9,NA,
AGO,8,0,17.66,22.17,29.86,0.75,12,7,NA,
AGO,8,1,16.2,20.51,24.06,0.73,18,8,4.15,
AGO,8,2,10.57,18.44,24.4,0.77,17,9,8.22,
AGO,8,3,11.17,16.78,30.09,0.74,15,12,7.03,
AGO,8,4,11.3,15.6,36.18,0.74,20,17,3.58,
AGO,8,5,11.49,14.69,37.55,0.74,18,11,5.13,
AGO,8,6,6.58,13.17,38.76,0.75,18,14,8.43,
AGO,8,7,4.01,11.12,41.36,0.77,28,17,11.58,
AGO,8,8,3.36,9.33,42.25,0.78,28,28,8.53,
AGO,8,9,8.14,8.33,42.33,0.78,29,24,6.17,
AGO,8,10,16.01,9.01,42.97,0.69,19,18,2.96,
AGO,8,11,17.73,9.83,42.15,0.70,17,15,4.59,
AGO,8,12,19.57,10.86,42.79,0.71,19,13,4.33,
AGO,8,13,26.04,12.68,42.92,0.78,19,19,1.87,
AGO,8,14,26.12,15.12,42.61,0.80,17,14,2.86,
AGO,8,15,24.29,17.66,43.72,0.80,25,19,4.12,
AGO,8,16,28.1,20.75,44.78,0.77,26,20,3.17,
AGO,8,17,29.17,23.38,47.04,0.76,25,21,1.83,
AGO,8,18,24.27,24.41,48.66,0.84,22,15,3.78,
AGO,8,19,28.34,25.74,48.05,0.82,17,12,1.42,
AGO,8,20,28.64,26.87,48.04,0.81,17,11,1.1,
AGO,8,21,25.44,26.8,48.06,0.75,16,9,1.05,
AGO,8,22,23.74,26.5,48.06,0.72,12,5,0.4,
AGO,8,23,22.74,26.3,48.05,0.70,9,5,NA,
AGO,9,0,22.74,25.64,47.37,0.70,7,5,NA,
AGO,9,1,7.13,22.88,49.51,0.66,11,4,4.27,
AGO,9,2,8.88,20.96,51.67,0.67,13,10,4.54,
AGO,9,3,14.59,19.24,46.87,0.73,9,9,3.05,
AGO,9,4,16.07,17.67,40.83,0.76,7,7,NA,
AGO,9,5,12.39,16.04,43.66,0.79,5,5,2.16,
AGO,9,6,7.76,14.04,51.98,0.81,6,6,2.85,
AGO,9,7,9.46,12.38,50.08,0.90,7,8,3.63,
AGO,9,8,9.73,10.75,56.78,1.06,6,8,4.04,
AGO,9,9,11.74,11.33,62.31,1.07,7,8,0.74,
AGO,9,10,10.61,11.54,64.52,0.98,8,9,1.35,
AGO,9,11,9.37,10.89,67.39,1.01,14,10,2.96,
AGO,9,12,15.82,10.86,66.88,1.01,12,11,0.89,
AGO,9,13,23.81,12.29,66.67,1.02,8,10,NA,
AGO,9,14,25.92,14.56,66.46,1.01,8,8,2.14,
AGO,9,15,25.78,16.6,64.97,0.93,15,16,2.21,
AGO,9,16,26.24,18.66,63,0.80,15,15,3.44,
AGO,9,17,26.46,20.5,59.97,0.82,12,15,5.25,
AGO,9,18,28.92,22.79,57.77,0.82,15,13,4,
AGO,9,19,10.6,22.94,60.79,0.99,23,12,7.5,
AGO,9,20,11.16,22.36,62.06,1.07,21,22,3.49,
AGO,9,21,18.47,21.69,62.44,1.09,15,15,1.72,
AGO,9,22,16.14,20.47,63.25,1.16,12,12,2.04,
AGO,9,23,6.55,18.07,66.74,1.18,11,12,6.17,
AGO,10,0,5.35,15.46,69.79,1.17,14,17,6.58,
AGO,10,1,5.27,12.81,70.3,1.16,21,19,7.17,
AGO,10,2,4.04,9.7,68.84,1.15,15,19,4.44,
AGO,10,3,2.9,8.74,67.93,0.90,11,17,11.64,
AGO,10,4,2.77,7.69,67.22,0.80,11,15,10.35,
AGO,10,5,2.68,5.71,63.11,0.76,11,15,12.58,
AGO,10,6,3.26,4.1,53.69,0.70,16,13,12.61,
AGO,10,7,4.42,3.84,54.32,0.69,23,12,11.9,
AGO,10,8,4.24,3.7,47.17,0.70,25,19,9.14,
AGO,10,9,3.64,3.49,40.45,0.72,17,14,7.17,
AGO,10,10,3.3,3.4,36.39,0.74,11,11,3.57,
AGO,10,11,3.81,3.52,34.34,0.76,10,7,2.49,
AGO,10,12,7.21,4.07,34.66,0.83,13,7,2.57,
AGO,10,13,14.28,5.52,34.49,0.85,16,16,1.9,
