DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario (ppm),O3 Promedio de 8 hrs.  (ppm),SO2 promedio de 24 hrs. (ppm),CO Promedio de 8 hrs. (ppm),PM10 Promedio ponderado  de 12 hrs. (µg/m³),PM2.5 Promedio ponderado  de 12 hrs. (µg/m³),NO2 Horario (ppm)
SEP,9,13,0.056,0.0273,0.0082,NA,30,30,0.0117
SEP,9,14,0.0598,0.0327,0.0082,NA,29,28,0.0113
SEP,9,15,0.0496,0.0375,0.0082,NA,24,26,0.0095
SEP,9,16,0.0482,0.0421,0.008,NA,19,20,0.0088
SEP,9,17,0.0471,0.0456,0.008,NA,20,20,0.01
SEP,9,18,0.05,0.0485,0.0079,NA,21,17,0.009
SEP,9,19,0.0431,0.0499,0.008,NA,33,22,0.0118
SEP,9,20,0.0337,0.0484,0.0085,NA,21,23,0.0167
SEP,9,21,0.0231,0.0443,0.0094,NA,25,22,0.0202
SEP,9,22,0.0204,0.0394,0.0094,NA,23,16,0.0086
SEP,9,23,NA,0.0379,0.0096,NA,20,16,NA
SEP,10,0,0.0406,0.0369,0.0098,NA,12,13,0.0088
SEP,10,1,0.0346,0.0351,0.0095,NA,8,12,0.0141
SEP,10,2,0.028,0.0319,0.0094,NA,8,10,0.012
SEP,10,3,0.0218,0.0289,0.0094,NA,9,8,NA
SEP,10,4,0.0198,0.0269,0.0082,NA,12,9,NA
SEP,10,5,0.0137,0.0256,NA,NA,19,17,0.0189
SEP,10,6,0.0187,0.0253,NA,NA,22,16,0.0151
SEP,10,7,0.0104,0.0234,NA,NA,26,20,0.021
SEP,10,8,0.0094,0.0195,NA,NA,28,23,0.0216
SEP,10,9,0.0094,0.0164,NA,NA,31,24,0.0206
SEP,10,10,0.0118,0.0144,NA,NA,23,23,0.0119
SEP,10,11,0.0281,0.0151,NA,NA,27,23,0.0067
SEP,10,12,0.0326,0.0167,NA,NA,21,16,0.0061
SEP,10,13,0.0378,0.0198,NA,NA,22,18,0.0045
SEP,10,14,0.0391,0.0223,NA,NA,21,15,0.0047
SEP,10,15,0.0382,0.0258,NA,NA,19,14,0.0041
SEP,10,16,0.0392,0.0295,NA,NA,16,14,0.0037
SEP,10,17,0.0387,0.0332,NA,NA,17,13,NA
SEP,10,18,0.0386,0.0365,NA,NA,18,13,NA
SEP,10,19,0.0343,0.0373,NA,NA,17,12,0.006
SEP,10,20,0.0277,0.0367,NA,NA,18,11,0.0055
SEP,10,21,0.0251,0.0351,NA,NA,12,10,NA
SEP,10,22,0.0212,0.0329,NA,NA,14,11,0.0064
SEP,10,23,0.0202,0.0306,NA,NA,21,10,0.0069
SEP,11,0,0.015,0.0276,NA,NA,17,10,0.0078
SEP,11,1,0.0159,0.0247,NA,NA,21,14,NA
SEP,11,2,0.0193,0.0223,NA,NA,17,14,NA
SEP,11,3,0.0174,0.0202,NA,NA,16,13,NA
SEP,11,4,0.0148,0.0186,NA,NA,17,16,0.0085
SEP,11,5,0.0155,0.0174,NA,NA,20,16,0.0087
SEP,11,6,0.0139,0.0165,NA,NA,20,17,0.012
SEP,11,7,0.0141,0.0157,NA,NA,28,22,0.0123
SEP,11,8,0.0119,0.0153,NA,NA,27,21,0.0134
