DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MO3,MSO2,MCO,MPM10,MPM2.5
ENE,15,13,12.85,25.48,NA,1.66,41.02,24.53
ENE,15,14,10.98,29.98,NA,1.68,41.30,24.45
ENE,15,15,10.16,36.36,NA,1.69,41.19,23.77
ENE,15,16,9.36,43.50,NA,1.71,41.22,23.51
ENE,15,17,14.15,49.25,NA,1.70,40.90,23.27
ENE,15,18,11.85,54.84,22.39,1.69,40.75,22.83
ENE,15,19,31.60,54.82,22.39,1.86,40.57,22.75
ENE,15,20,30.92,52.39,22.39,2.01,40.45,22.70
ENE,15,21,15.34,51.73,22.39,2.04,39.32,22.27
ENE,15,22,7.63,51.54,22.39,2.15,38.73,21.49
ENE,15,23,6.64,50.10,24.46,2.10,38.20,21.84
ENE,16,0,8.89,46.32,23.49,2.03,38.44,21.49
ENE,16,1,6.21,43.81,24.81,2.04,38.60,21.82
ENE,16,2,5.50,40.71,NA,2.24,38.21,21.10
ENE,16,3,4.90,41.90,NA,2.05,37.99,20.92
ENE,16,4,5.34,44.20,NA,1.89,37.49,20.97
ENE,16,5,4.78,43.97,NA,1.83,37.06,20.63
ENE,16,6,5.40,41.62,NA,1.71,36.41,20.52
ENE,16,7,6.57,39.26,NA,1.83,35.86,20.37
ENE,16,8,10.72,38.25,NA,1.86,34.96,19.90
ENE,16,9,8.52,38.23,NA,1.83,34.02,19.32
ENE,16,10,6.71,39.18,NA,1.71,32.84,18.80
ENE,16,11,6.53,40.05,NA,1.83,32.50,18.57
ENE,16,12,7.33,42.08,NA,1.84,32.19,18.41
ENE,16,13,9.30,44.04,NA,1.86,32.15,17.87
ENE,16,14,8.48,47.24,NA,1.85,31.79,17.92
ENE,16,15,9.35,51.36,NA,1.73,31.45,17.71
ENE,16,16,9.56,56.70,NA,1.72,31.00,17.58
ENE,16,17,10.73,60.63,NA,1.73,31.01,17.32
ENE,16,18,8.51,63.73,NA,1.62,30.78,17.33
ENE,16,19,10.07,64.98,NA,1.50,32.45,17.10
ENE,16,20,7.26,64.36,NA,1.49,31.61,16.83
ENE,16,21,6.31,63.70,NA,1.48,30.47,16.41
ENE,16,22,6.65,61.48,NA,1.47,29.86,16.04
ENE,16,23,7.42,58.07,NA,1.59,29.52,15.60
ENE,17,0,5.95,54.61,NA,1.60,28.75,15.54
ENE,17,1,5.90,51.10,NA,1.61,27.68,15.39
ENE,17,2,5.47,47.69,NA,1.62,27.21,15.55
ENE,17,3,5.29,46.07,NA,1.60,26.91,15.56
ENE,17,4,5.30,45.29,NA,1.66,26.50,15.34
ENE,17,5,5.53,44.34,14.76,1.79,26.14,15.22
ENE,17,6,5.86,43.66,14.90,1.98,26.18,15.13
ENE,17,7,8.78,42.98,14.99,1.99,26.01,14.88
ENE,17,8,17.80,39.57,15.06,2.03,26.44,14.79
ENE,17,9,17.80,36.71,15.29,2.08,27.40,14.79
ENE,17,10,12.85,34.81,16.24,2.08,29.71,14.95
ENE,17,11,10.00,34.34,16.53,2.09,42.73,15.24
ENE,17,12,10.63,34.93,16.16,2.04,43.41,15.13
ENE,17,13,11.68,37.23,14.92,1.95,43.06,14.93
ENE,17,14,9.71,41.32,13.93,1.78,43.00,14.60
ENE,17,15,8.82,46.64,12.92,1.65,42.69,14.68
ENE,17,16,9.91,54.47,12.54,1.59,42.36,14.53
ENE,17,17,13.12,60.86,12.46,1.55,41.91,14.62
ENE,17,18,16.40,64.47,12.21,1.57,41.98,14.43
ENE,17,19,26.90,63.70,12.18,1.69,40.01,14.30
ENE,17,20,33.53,59.92,12.20,1.85,40.39,14.38
ENE,17,21,28.79,54.71,12.20,1.98,41.46,14.62
ENE,17,22,19.26,49.15,12.06,2.02,42.42,14.94
ENE,17,23,16.38,43.52,10.11,2.05,42.76,14.94
ENE,18,0,20.90,36.47,10.12,2.11,43.43,14.94
ENE,18,1,20.72,31.65,10.14,2.12,44.85,14.91
ENE,18,2,16.40,28.01,10.26,2.10,45.91,15.22
ENE,18,3,12.49,27.39,10.80,1.97,46.71,15.31
ENE,18,4,13.19,29.06,11.15,1.80,47.44,15.43
ENE,18,5,11.79,30.70,12.60,1.64,48.24,15.90
ENE,18,6,10.77,30.88,13.09,1.59,48.98,16.45
ENE,18,7,12.39,29.30,13.46,1.57,49.48,17.00
ENE,18,8,15.15,30.09,13.71,1.55,49.47,16.98
ENE,18,9,13.68,30.42,13.86,1.55,49.10,17.22
ENE,18,10,11.71,31.18,13.69,1.58,47.38,17.32
ENE,18,11,8.81,32.24,13.33,1.60,34.24,17.02
ENE,18,12,8.88,34.54,13.73,1.61,33.72,17.13
