DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MARZO,10,0,0.0202,0.0308,0.0224,1.138,52
MARZO,10,1,0.0259,0.0268,0.0214,1.137,36
MARZO,10,2,0.0264,0.0238,0.0219,1.13,38
MARZO,10,3,0.0213,0.0216,0.0211,1.075,42
MARZO,10,4,0.0195,0.022,0.0203,0.943,37
MARZO,10,5,0.0192,0.022,0.0196,0.854,38
MARZO,10,6,0.0086,0.0202,0.0187,0.857,35
MARZO,10,7,0.0046,0.0182,0.0188,0.879,41
MARZO,10,8,0.0043,0.0162,0.0186,0.914,52
MARZO,10,9,0.0086,0.0141,0.0185,0.961,66
MARZO,10,10,0.0173,0.0129,0.0189,0.997,76
MARZO,10,11,0.0301,0.014,0.0193,1.018,78
MARZO,10,12,0.0392,0.0165,0.0194,1.035,71
MARZO,10,13,0.0487,0.0202,0.0179,1.043,55
MARZO,10,14,0.0488,0.0252,0.0159,1.035,46
MARZO,10,15,0.0441,0.0301,0.0155,1.001,37
MARZO,10,16,0.0373,0.0343,0.0154,0.958,30
MARZO,10,17,0.0429,0.0385,0.0153,0.902,25
MARZO,10,18,0.0475,0.0423,0.0153,0.853,25
MARZO,10,19,0.0418,0.0438,0.0153,0.846,30
MARZO,10,20,0.0192,0.0413,0.0153,0.903,50
MARZO,10,21,0.0057,0.0359,0.0125,1.06,77
MARZO,10,22,0.0074,0.0307,0.0117,1.098,98
MARZO,10,23,0.0176,0.0274,0.0115,1.12,100
MARZO,11,0,0.009,0.0239,0.0125,1.131,92
MARZO,11,1,0.0088,0.0196,0.0126,1.144,77
MARZO,11,2,0.0057,0.0144,0.0126,1.162,67
MARZO,11,3,0.0051,0.0098,0.0131,1.158,66
MARZO,11,4,0.0028,0.0078,0.0132,1.103,64
MARZO,11,5,0.0025,0.0074,0.0133,0.968,64
MARZO,11,6,0.0026,0.0068,0.0134,0.972,66
MARZO,11,7,0.0021,0.0048,0.0133,0.973,63
MARZO,11,8,0.0025,0.004,0.0137,1.017,94
MARZO,11,9,0.0049,0.0035,0.0138,1.059,110
MARZO,11,10,0.0144,0.0046,0.0136,1.077,107
MARZO,11,11,0.0314,0.0079,0.0135,1.085,95
MARZO,11,12,0.0425,0.0129,0.0133,1.083,77
MARZO,11,13,0.0472,0.0184,0.0133,1.059,61
MARZO,11,14,0.0499,0.0244,0.0133,1.022,52
MARZO,11,15,0.049,0.0302,0.0133,1.004,42
MARZO,11,16,0.0525,0.0365,0.0135,0.964,39
MARZO,11,17,0.0545,0.0427,0.0139,0.93,41
MARZO,11,18,0.0529,0.0475,0.014,0.899,37
MARZO,11,19,0.0499,0.0498,0.0142,0.903,38
MARZO,11,20,0.0296,0.0482,0.0143,0.976,51
MARZO,11,21,0.0054,0.043,0.0144,1.169,75
MARZO,11,22,0.0061,0.0375,0.0146,1.273,98
MARZO,11,23,0.0123,0.0329,0.0147,1.317,101
MARZO,12,0,0.0103,0.0276,0.014,1.328,102
MARZO,12,1,0.005,0.0214,0.014,1.325,84
MARZO,12,2,0.0035,0.0153,0.0133,1.334,69
MARZO,12,3,0.0048,0.0096,0.0129,1.317,65
MARZO,12,4,0.0069,0.0068,0.013,1.24,64
MARZO,12,5,0.0062,0.0069,0.0133,1.051,63
MARZO,12,6,0.0037,0.0066,0.0134,0.956,64
MARZO,12,7,0.0028,0.0054,0.0134,0.94,61
MARZO,12,8,0.003,0.0045,0.0131,0.955,85
MARZO,12,9,0.0085,0.0049,0.013,0.985,81
MARZO,12,10,0.0192,0.0069,0.0127,1.012,74
MARZO,12,11,0.0314,0.0102,0.0125,1.039,71
MARZO,12,12,0.0452,0.015,0.0124,1.054,69
MARZO,12,13,0.0496,0.0204,0.0123,1.056,61
MARZO,12,14,0.052,0.0265,0.0123,1.049,52
MARZO,12,15,0.0558,0.0331,0.0123,1.032,46
MARZO,12,16,0.0612,0.0404,0.013,1.025,49
MARZO,12,17,0.0563,0.0464,0.0134,0.996,51
MARZO,12,18,0.055,0.0508,0.0135,0.965,47
MARZO,12,19,0.052,0.0534,0.0136,0.963,49
MARZO,12,20,0.0324,0.0518,0.0136,1.028,73
MARZO,12,21,0.0158,0.0476,0.0137,1.154,80
MARZO,12,22,0.026,0.0443,0.0138,1.166,80
MARZO,12,23,0.0159,0.0393,0.014,1.179,78
MARZO,13,0,0.0175,0.0339,0.0144,1.168,80
MARZO,13,1,0.0194,0.0292,0.0143,1.166,84
MARZO,13,2,0.0216,0.0251,0.0142,1.168,71
MARZO,13,3,0.0181,0.0208,0.0138,1.144,60
MARZO,13,4,0.0198,0.0193,0.0133,1.056,52
MARZO,13,5,0.0188,0.0196,0.0127,0.926,45
MARZO,13,6,0.0163,0.0184,0.0124,0.912,43
MARZO,13,7,0.012,0.0179,0.0122,0.905,44
MARZO,13,8,0.0085,0.0168,0.0122,0.921,51
MARZO,13,9,0.0145,0.0162,0.0122,0.944,63
MARZO,13,10,0.0256,0.0167,0.0122,0.963,62
MARZO,13,11,0.0351,0.0188,0.0121,0.976,61
