DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
AGOSTO,4,7,0.0051,NA,0.0048,0.6602,24
AGOSTO,4,8,0.0034,NA,0.0048,0.7075,26
AGOSTO,4,9,0.0078,NA,0.0048,0.7265,28
AGOSTO,4,10,0.0134,NA,0.0049,0.7413,29
AGOSTO,4,11,0.0207,NA,0.0049,0.7489,25
AGOSTO,4,12,0.0252,0.0126,0.0049,0.7580,22
AGOSTO,4,13,0.0297,0.0150,0.0048,0.7726,26
AGOSTO,4,14,0.0333,0.0173,0.0049,0.7790,28
AGOSTO,4,15,0.0459,0.0224,0.0051,0.7730,33
AGOSTO,4,16,0.059,0.0294,0.0051,0.7323,31
AGOSTO,4,17,0.0602,0.0359,0.0048,0.7161,27
AGOSTO,4,18,0.0606,0.0418,0.0046,0.7032,29
AGOSTO,4,19,0.0492,0.0454,0.0044,0.7051,28
AGOSTO,4,20,0.0415,0.0474,0.0044,0.7063,28
AGOSTO,4,21,0.0376,0.0484,0.0043,0.7160,24
AGOSTO,4,22,0.0353,0.0487,0.0043,0.7046,21
AGOSTO,4,23,0.034,0.0472,0.0043,0.6902,16
AGOSTO,5,0,0.0361,0.0443,0.0042,0.6801,16
AGOSTO,5,1,0.0277,0.0403,0.0041,0.6705,10
AGOSTO,5,2,0.0174,0.0349,0.0041,0.6620,12
AGOSTO,5,3,0.0221,0.0315,0.0042,0.6445,17
AGOSTO,5,4,0.0189,0.0286,0.0042,0.6296,16
AGOSTO,5,5,0.0039,0.0244,0.0042,0.6038,20
AGOSTO,5,6,0.0085,0.0211,0.0042,0.5960,17
AGOSTO,5,7,0.0087,0.0179,0.0043,0.6121,19
AGOSTO,5,8,0.0126,0.0150,0.0043,0.6334,20
AGOSTO,5,9,0.0059,0.0123,0.0043,0.6667,16
AGOSTO,5,10,0.0148,0.0119,0.0043,0.6852,16
AGOSTO,5,11,0.0311,0.0131,0.0042,0.6948,19
AGOSTO,5,12,0.0377,0.0154,0.0042,0.7027,20
AGOSTO,5,13,0.0503,0.0212,0.0042,0.7033,21
AGOSTO,5,14,0.0544,0.0269,0.0041,0.7027,24
AGOSTO,5,15,0.0564,0.0329,0.0039,0.6852,20
AGOSTO,5,16,0.0593,0.0387,0.0038,0.6668,19
AGOSTO,5,17,0.0553,0.0449,0.0035,0.6338,16
AGOSTO,5,18,0.0469,0.0489,0.0034,0.6556,16
AGOSTO,5,19,0.037,0.0497,0.0034,0.6726,24
AGOSTO,5,20,0.0226,0.0478,0.0034,0.7288,35
AGOSTO,5,21,0.0247,0.0446,0.0034,0.7697,31
AGOSTO,5,22,0.0279,0.0413,0.0034,0.7866,25
AGOSTO,5,23,0.0346,0.0385,0.0034,0.7910,19
AGOSTO,6,0,0.0328,0.0352,0.0034,0.7939,15
AGOSTO,6,1,0.0374,0.0330,0.0033,0.7957,14
AGOSTO,6,2,0.0366,0.0317,0.0033,0.7561,16
AGOSTO,6,3,0.0405,0.0321,0.0032,0.7279,14
AGOSTO,6,4,0.0363,0.0339,0.0031,0.6618,10
AGOSTO,6,5,0.0335,0.0350,0.0030,0.6213,9
AGOSTO,6,6,0.0299,0.0352,0.0030,0.6132,8
AGOSTO,6,7,0.0241,0.0339,0.0030,0.6408,9
AGOSTO,6,8,0.0221,0.0326,0.0029,0.6588,11
AGOSTO,6,9,0.0339,0.0321,0.0029,0.6844,11
AGOSTO,6,10,0.0405,0.0326,0.0029,0.6916,12
AGOSTO,6,11,0.0351,0.0319,0.0033,0.7032,46
AGOSTO,6,12,0.0414,0.0326,0.0035,0.7108,52
