DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MAYO,3,21,0.0274,0.0417,0.0077,1.290,58
MAYO,3,22,0.0261,0.0392,0.0077,1.283,61
MAYO,3,23,0.0250,0.0365,0.0076,1.268,56
MAYO,4,0,0.0236,0.0335,0.0076,1.264,58
MAYO,4,1,0.0257,0.0308,0.0075,1.268,60
MAYO,4,2,0.0219,0.0278,0.0075,1.277,58
MAYO,4,3,0.0191,0.0250,0.0075,1.291,57
MAYO,4,4,0.0228,0.0240,0.0075,1.293,58
MAYO,4,5,0.0199,0.0230,0.0074,1.294,59
MAYO,4,6,0.0102,0.0210,0.0074,1.324,61
MAYO,4,7,0.0098,0.0191,0.0073,1.393,71
MAYO,4,8,0.0152,0.0181,0.0072,1.442,80
MAYO,4,9,0.0270,0.0182,0.0071,1.462,80
MAYO,4,10,0.0339,0.0197,0.0071,1.464,65
MAYO,4,11,0.0391,0.0222,0.0071,1.462,52
MAYO,4,12,0.0420,0.0246,0.0071,1.447,48
MAYO,4,13,0.0424,0.0274,0.0071,1.439,45
MAYO,4,14,0.0443,0.0317,0.0071,1.404,40
MAYO,4,15,0.0477,0.0364,0.0072,1.342,40
MAYO,4,16,0.0510,0.0409,0.0073,1.291,41
MAYO,4,17,0.0509,0.0439,0.0074,1.266,43
MAYO,4,18,0.0491,0.0458,0.0075,1.266,45
MAYO,4,19,0.0457,0.0466,0.0075,1.277,45
MAYO,4,20,0.0331,0.0455,0.0075,1.329,50
MAYO,4,21,0.0178,0.0425,0.0076,1.407,57
MAYO,4,22,0.0127,0.0385,0.0076,1.491,79
MAYO,4,23,0.0252,0.0357,0.0079,1.499,88
MAYO,5,0,0.0168,0.0314,0.0081,1.501,85
MAYO,5,1,0.0123,0.0266,0.0083,1.506,79
MAYO,5,2,0.0090,0.0216,0.0091,1.504,77
MAYO,5,3,0.0041,0.0164,0.0099,1.491,73
MAYO,5,4,0.0066,0.0130,0.0107,1.451,70
MAYO,5,5,0.0102,0.0121,0.0111,1.388,76
MAYO,5,6,0.0202,0.0130,0.0112,1.334,73
MAYO,5,7,0.0202,0.0124,0.0113,1.346,73
MAYO,5,8,0.0112,0.0117,0.0117,1.418,84
MAYO,5,9,0.0239,0.0132,0.0121,1.442,90
MAYO,5,10,0.0358,0.0165,0.0122,1.459,93
MAYO,5,11,0.0429,0.0214,0.0124,1.465,100
MAYO,5,12,0.0460,0.0263,0.0128,1.466,92
MAYO,5,13,0.0505,0.0313,0.0130,1.459,83
MAYO,5,14,0.0536,0.0355,0.0132,1.446,76
MAYO,5,15,0.0557,0.0400,0.0133,1.433,72
MAYO,5,16,0.0563,0.0456,0.0134,1.367,68
MAYO,5,17,0.0522,0.0491,0.0135,1.347,65
MAYO,5,18,0.0379,0.0494,0.0140,1.334,73
MAYO,5,19,0.0322,0.0481,0.0149,1.331,132
MAYO,5,20,0.0322,0.0463,0.0154,1.329,136
MAYO,5,21,0.0328,0.0441,0.0159,1.334,97
MAYO,5,22,0.0281,0.0409,0.0163,1.331,72
MAYO,5,23,0.0254,0.0371,0.0162,1.332,50
MAYO,6,0,0.0224,0.0329,0.0163,1.328,39
MAYO,6,1,0.0272,0.0298,0.0163,1.323,32
MAYO,6,2,0.0180,0.0273,0.0157,1.325,39
MAYO,6,3,0.0143,0.0251,0.0152,1.317,39
MAYO,6,4,0.0114,0.0225,0.0145,1.311,38
MAYO,6,5,0.0108,0.0197,0.0142,1.302,39
MAYO,6,6,0.0109,0.0176,0.0142,1.312,39
MAYO,6,7,0.0076,0.0153,0.0141,1.331,42
MAYO,6,8,0.0112,0.0139,0.0137,1.361,46
MAYO,6,9,0.0167,0.0126,0.0134,1.385,51
MAYO,6,10,0.0281,0.0139,0.0134,1.390,49
MAYO,6,11,0.0352,0.0165,0.0134,1.400,50
MAYO,6,12,0.0426,0.0204,0.0132,1.404,44
MAYO,6,13,0.0459,0.0248,0.0131,1.404,42
MAYO,6,14,0.0497,0.0296,0.0130,1.387,41
MAYO,6,15,0.0492,0.0348,0.0129,1.366,42
MAYO,6,16,0.0412,0.0386,0.0129,1.335,54
MAYO,6,17,0.0439,0.0420,0.0129,1.318,50
MAYO,6,18,0.0446,0.0440,0.0125,1.314,49
MAYO,6,19,0.0361,0.0441,0.0118,1.311,46
MAYO,6,20,0.0319,0.0428,0.0115,1.310,47
MAYO,6,21,0.0239,0.0401,0.0115,1.315,49
MAYO,6,22,0.0269,0.0372,0.0112,1.311,47
MAYO,6,23,0.0320,0.0351,0.0111,1.297,42
MAYO,7,0,0.0314,0.0338,0.0109,1.290,39
MAYO,7,1,0.0282,0.0319,0.0109,1.275,34
MAYO,7,2,0.0270,0.0297,0.0108,1.259,34
MAYO,7,3,0.0266,0.0285,0.0108,1.243,32
MAYO,7,4,0.0235,0.0274,0.0107,1.230,34
MAYO,7,5,0.0221,0.0272,0.0108,1.213,32
MAYO,7,6,0.0204,0.0264,0.0109,1.218,30
MAYO,7,7,0.0189,0.0248,0.0111,1.238,32
MAYO,7,8,0.0208,0.0234,0.0115,1.257,39
MAYO,7,9,0.0246,0.0230,0.0121,1.274,46
MAYO,7,10,0.0288,0.0232,0.0125,1.287,46
MAYO,7,11,0.0326,0.0240,0.0126,1.299,47
MAYO,7,12,0.0372,0.0257,0.0127,1.314,45
MAYO,7,13,0.0384,0.0277,0.0129,1.323,45
MAYO,7,14,0.0408,0.0303,0.0129,1.322,40
MAYO,7,15,0.0402,0.0329,0.0131,1.315,44
MAYO,7,16,0.0413,0.0355,0.0131,1.307,45
MAYO,7,17,0.0405,0.0375,0.0132,1.301,43
MAYO,7,18,0.0374,0.0386,0.0134,1.301,45
MAYO,7,19,0.0304,0.0383,0.0136,1.309,36
MAYO,7,20,0.0283,0.0372,0.0136,1.306,37
MAYO,7,21,0.0261,0.0356,0.0134,1.308,37
MAYO,7,22,0.0246,0.0336,0.0139,1.309,35
MAYO,7,23,0.0230,0.0314,0.0143,1.302,36
MAYO,8,0,0.0218,0.0290,0.0145,1.298,35
MAYO,8,1,0.0215,0.0266,0.0146,1.291,40
MAYO,8,2,0.0217,0.0247,0.0145,1.281,36
MAYO,8,3,0.0207,0.0235,0.0143,1.263,31
MAYO,8,4,0.0194,0.0224,0.0142,1.252,30
MAYO,8,5,0.0211,0.0217,0.0141,1.243,29
MAYO,8,6,0.0150,0.0205,0.0138,1.249,29
MAYO,8,7,0.0085,0.0187,0.0135,1.278,39
MAYO,8,8,0.0133,0.0176,0.0132,1.303,52
MAYO,8,9,0.0206,0.0175,0.0124,1.321,49
MAYO,8,10,0.0286,0.0184,0.0119,1.334,42
MAYO,8,11,0.0358,0.0203,0.0117,1.341,37
MAYO,8,12,0.0408,0.0230,0.0118,1.349,38
MAYO,8,13,0.0468,0.0262,0.0125,1.357,41
MAYO,8,14,0.0530,0.0309,0.0127,1.356,44
MAYO,8,15,0.0550,0.0367,0.0127,1.344,44
MAYO,8,16,0.0554,0.0420,0.0127,1.331,48
MAYO,8,17,0.0473,0.0453,0.0128,1.338,50
MAYO,8,18,0.0434,0.0472,0.0125,1.352,50
MAYO,8,19,0.0362,0.0472,0.0121,1.383,54
MAYO,8,20,0.0351,0.0465,0.0119,1.418,55
MAYO,8,21,0.0313,0.0446,0.0116,1.460,56
MAYO,8,22,0.0316,0.0419,0.0110,1.502,56
