DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
NOVIEMBRE,2,0,0.0199,0.029,0.0051,0.9137,37,0.0074
NOVIEMBRE,2,1,0.0164,0.0241,0.005,0.9172,28,0.0092
NOVIEMBRE,2,2,0.0155,0.0202,0.0048,0.8965,29,0.0094
NOVIEMBRE,2,3,0.0183,0.0189,0.0046,0.8401,26,0.0061
NOVIEMBRE,2,4,0.0122,0.0174,0.0045,0.8196,21,0.0096
NOVIEMBRE,2,5,0.004,0.0156,0.0044,0.8004,25,0.0167
NOVIEMBRE,2,6,0.002,0.0135,0.0043,0.7801,25,0.0172
NOVIEMBRE,2,7,0.0041,0.0116,0.0043,0.7937,27,0.0149
NOVIEMBRE,2,8,0.0056,0.0098,0.0043,0.8109,34,0.0144
NOVIEMBRE,2,9,0.0169,0.0098,0.0043,0.8176,31,0.0086
NOVIEMBRE,2,10,0.0235,0.0108,0.0041,0.8268,31,0.0069
NOVIEMBRE,2,11,0.0321,0.0126,0.0041,0.8351,28,0.0053
NOVIEMBRE,2,12,0.0371,0.0157,0.0041,0.8365,26,0.0047
NOVIEMBRE,2,13,0.0435,0.0206,0.0041,0.8383,23,0.0058
NOVIEMBRE,2,14,0.0486,0.0264,0.004,0.833,24,0.0055
NOVIEMBRE,2,15,0.0522,0.0324,0.004,0.8097,22,0.0061
NOVIEMBRE,2,16,0.053,0.0384,0.0039,0.7846,18,0.0059
NOVIEMBRE,2,17,0.0506,0.0426,0.0039,0.7714,19,0.006
NOVIEMBRE,2,18,0.0372,0.0443,0.0039,0.7747,19,0.0117
NOVIEMBRE,2,19,0.0313,0.0442,0.0039,0.786,25,0.0126
NOVIEMBRE,2,20,0.0246,0.0426,0.0038,0.8064,27,0.0139
NOVIEMBRE,2,21,0.0102,0.0385,0.0035,0.8311,33,0.0201
NOVIEMBRE,2,22,0.015,0.0343,0.0031,0.8524,34,0.0128
NOVIEMBRE,2,23,0.0167,0.0298,0.0031,0.8592,31,0.0088
NOVIEMBRE,3,0,0.0147,0.025,0.003,0.8626,29,0.0096
NOVIEMBRE,3,1,0.0158,0.0207,0.003,0.8605,29,0.0083
NOVIEMBRE,3,2,0.0105,0.0174,0.003,0.8455,27,0.0136
NOVIEMBRE,3,3,0.0141,0.0152,0.0031,0.8262,24,0.0107
NOVIEMBRE,3,4,0.0034,0.0126,0.0032,0.8142,24,0.018
NOVIEMBRE,3,5,NA,0.0129,0.0032,0.8049,30,0.0227
NOVIEMBRE,3,6,NA,0.0125,0.0033,0.8023,34,0.0207
NOVIEMBRE,3,7,NA,NA,0.0033,0.8349,34,0.0206
NOVIEMBRE,3,8,0.0024,NA,0.0034,0.8822,44,0.0196
NOVIEMBRE,3,9,0.0109,NA,0.0034,0.9102,45,0.0148
NOVIEMBRE,3,10,0.022,NA,0.0034,0.9306,45,0.0121
NOVIEMBRE,3,11,0.0362,NA,0.0035,0.9365,39,0.0075
NOVIEMBRE,3,12,0.0445,NA,0.0034,0.9276,30,0.0057
NOVIEMBRE,3,13,0.0496,0.0276,0.0034,0.904,25,0.0042
NOVIEMBRE,3,14,0.0521,0.0311,0.0035,0.9005,29,0.0051
NOVIEMBRE,3,15,0.0547,0.0341,0.0039,0.8877,24,0.0057
NOVIEMBRE,3,16,0.0507,0.0401,0.0044,0.8499,19,0.0049
NOVIEMBRE,3,17,0.0459,0.0445,0.0046,0.8592,21,0.0111
