DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.
ABRIL,15,13,54.699983,26.880586,4.715491,1.370798,30.3375
ABRIL,15,14,47.623183,32.530218,4.66212,1.350252,24.9114
ABRIL,15,15,48.004233,38.431931,4.626207,1.312584,24.1841
ABRIL,15,16,52.71315,44.534081,4.59596,1.261037,29.1896
ABRIL,15,17,52.211833,48.755414,4.533287,1.218814,30.4174
ABRIL,15,18,50.136667,51.015929,4.452254,1.185478,34.6026
ABRIL,15,19,46.308217,50.740862,4.408949,1.168064,47.1646
ABRIL,15,20,32.5586,48.031983,4.37819,1.174817,54.049
ABRIL,15,21,27.264733,44.602577,4.361926,1.182537,48.5406
ABRIL,15,22,29.27235,42.308723,4.333658,1.17099,42.9424
ABRIL,15,23,24.413333,39.35986,4.307712,1.168012,40.5252
ABRIL,16,0,29.738317,36.488006,4.259221,1.172119,40.3552
ABRIL,16,1,NA,36.662761,4.261118,1.194388,40.546
ABRIL,16,2,19.06735,32.779096,4.308153,1.210235,38.803
ABRIL,16,3,14.423767,28.79354,4.300661,1.226638,40.8986
ABRIL,16,4,11.107462,26.112147,4.309527,1.218604,36.9549
ABRIL,16,5,20.535317,25.27097,4.303212,1.223648,36.6408
ABRIL,16,6,12.65261,23.193503,4.228908,1.269406,44.9596
ABRIL,16,7,NA,26.344751,4.215825,1.352878,90.601
ABRIL,16,8,18.470845,24.936317,4.239679,1.462714,119.215
ABRIL,16,9,19.46795,20.668577,4.300007,1.504244,79.1877
ABRIL,16,10,40.049483,23.291344,4.351773,1.515419,54.7006
ABRIL,16,11,49.145933,27.631615,7.545435,1.522469,51.9681
ABRIL,16,12,57.0204,33.370732,7.970039,1.52895,41.0225
ABRIL,16,13,59.28765,38.214774,8.084104,1.526397,28.8283
ABRIL,16,14,51.28425,43.043729,8.153052,1.497344,26.5046
ABRIL,16,15,51.835667,43.320272,8.183417,1.427219,25.5867
ABRIL,16,16,56.511817,48.075394,8.214594,1.323159,32.9108
ABRIL,16,17,55.8849,52.627513,8.234973,1.271733,33.7179
ABRIL,16,18,53.592583,54.3204,8.271418,1.2507,38.776
ABRIL,16,19,53.7695,54.898346,8.30861,1.23453,59.1863
ABRIL,16,20,45.745833,53.489025,8.321006,1.218679,60.8432
ABRIL,16,21,40.2271,51.106456,8.323144,1.206813,49.0475
ABRIL,16,22,35.241833,49.101154,8.322324,1.198402,48.1599
