DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,NO2 Horario
AGO,10,14,28.96,18.34,2.17,2.55,17,11.90
AGO,10,15,30.14,19.81,2.03,2.55,20,11.95
AGO,10,16,25.29,22.71,1.95,2.54,20,11.82
AGO,10,17,23.05,24.64,2.88,2.61,23,11.95
AGO,10,18,22.28,25.66,3.57,2.63,22,11.88
AGO,10,19,20.14,25.50,3.71,2.65,20,12.91
AGO,10,20,16.66,24.29,3.67,2.69,21,12.81
AGO,10,21,16.72,22.90,4.47,2.70,20,13.51
AGO,10,22,14.68,21.12,4.71,2.69,22,14.05
AGO,10,23,8.36,18.40,4.61,2.67,22,12.78
AGO,11,0,7.83,16.22,4.53,2.65,19,14.02
AGO,11,1,4.80,13.93,4.63,2.57,15,14.61
AGO,11,2,4.64,11.73,4.84,2.53,15,14.70
AGO,11,3,0.99,9.34,5.02,2.50,15,16.16
AGO,11,4,1.50,7.44,5.18,2.45,15,15.39
AGO,11,5,2.18,5.62,5.35,2.43,15,15.46
AGO,11,6,NA,4.33,5.57,2.43,18,14.94
AGO,11,7,1.12,3.30,5.97,2.44,24,15.00
AGO,11,8,2.05,2.47,6.20,2.47,27,13.77
AGO,11,9,7.78,2.90,6.40,2.49,25,10.95
AGO,11,10,17.33,4.71,6.55,2.51,24,9.34
AGO,11,11,23.94,7.99,6.72,2.51,24,8.91
AGO,11,12,31.89,12.33,6.90,2.52,21,9.16
AGO,11,13,33.46,16.80,7.06,2.52,32,8.85
AGO,11,14,37.66,19.41,7.23,2.52,31,8.96
AGO,11,15,41.00,24.39,7.38,2.51,28,8.84
AGO,11,16,38.67,28.97,7.49,2.48,26,10.17
AGO,11,17,39.06,32.88,6.58,2.47,23,10.79
AGO,11,18,35.91,35.20,5.93,2.46,24,10.56
AGO,11,19,29.53,35.90,5.89,2.46,33,10.75
AGO,11,20,20.39,34.46,6.17,2.47,40,11.86
AGO,11,21,19.55,32.72,5.53,2.47,36,NA
AGO,11,22,35.40,32.44,5.32,2.47,33,10.26
AGO,11,23,34.43,31.62,5.45,2.47,26,10.33
AGO,12,0,28.07,30.29,5.58,2.48,20,12.44
AGO,12,1,28.31,28.95,5.60,2.48,16,NA
AGO,12,2,25.15,27.60,5.56,2.50,14,9.55
AGO,12,3,5.97,24.66,5.54,2.49,14,21.73
AGO,12,4,1.07,22.24,5.54,2.48,19,23.94
AGO,12,5,1.34,19.97,5.50,2.48,20,20.06
AGO,12,6,2.75,15.89,5.39,2.48,22,17.59
AGO,12,7,1.48,11.77,5.13,2.49,21,17.83
AGO,12,8,6.62,9.09,5.08,2.50,23,14.23
AGO,12,9,14.63,7.38,5.13,2.50,22,10.88
AGO,12,10,18.48,6.54,5.09,2.48,20,9.54
AGO,12,11,21.29,8.46,5.02,2.49,21,10.41
AGO,12,12,29.89,12.06,4.95,2.49,23,9.52
AGO,12,13,37.35,16.56,4.88,2.49,24,9.95
AGO,12,14,43.45,21.65,4.83,2.49,23,9.00
AGO,12,15,46.32,27.25,4.77,2.48,23,8.49
