DATOS MÓVILES 2020_NATIVITAS,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10,,
ENE,11,8,3.17,9.58,2.53,74.26,,
ENE,11,9,3.29,9.06,2.52,71.52,,
ENE,11,10,3.82,8.49,2.51,69.13,,
ENE,11,11,5.82,8.12,2.47,67.93,,
ENE,11,12,9.09,7.87,2.45,67.90,,
ENE,11,13,13.24,7.64,2.42,68.29,,
ENE,11,14,17.24,7.97,2.40,68.44,,
ENE,11,15,22.74,8.26,2.33,69.01,,
ENE,11,16,29.03,8.26,2.27,68.71,,
ENE,11,17,35.10,8.11,2.20,68.23,,
ENE,11,18,40.05,7.94,2.16,68.75,,
ENE,11,19,40.01,7.82,2.27,69.52,,
ENE,11,20,37.11,7.79,2.56,74.05,,
ENE,11,21,34.20,7.77,2.59,76.39,,
ENE,11,22,31.81,7.66,2.62,72.98,,
ENE,11,23,29.10,7.41,2.65,69.86,,
ENE,12,0,24.37,7.21,2.65,67.31,,
ENE,12,1,20.18,6.94,2.66,64.63,,
ENE,12,2,16.69,6.94,2.64,62.93,,
ENE,12,3,17.09,6.90,2.49,61.35,,
ENE,12,4,18.91,6.79,2.20,59.95,,
ENE,12,5,19.75,6.68,2.15,58.71,,
ENE,12,6,19.95,6.61,2.12,56.99,,
ENE,12,7,18.50,6.55,2.12,55.41,,
ENE,12,8,17.82,6.54,2.14,52.94,,
ENE,12,9,17.07,6.66,2.18,51.71,,
ENE,12,10,16.92,6.70,2.21,50.89,,
ENE,12,11,17.24,6.73,2.23,50.76,,
ENE,12,12,18.11,6.75,2.24,50.42,,
ENE,12,13,19.69,7.53,2.25,50.11,,
ENE,12,14,22.53,7.79,2.28,50.03,,
ENE,12,15,27.24,8.07,2.30,49.81,,
ENE,12,16,33.48,8.53,2.30,50.40,,
ENE,12,17,39.32,8.83,2.28,50.84,,
ENE,12,18,43.72,9.05,2.27,50.89,,
ENE,12,19,44.42,9.19,2.39,50.61,,
ENE,12,20,41.49,9.30,2.74,47.07,,
ENE,12,21,37.77,9.41,3.08,45.36,,
ENE,12,22,33.09,9.62,3.42,50.55,,
ENE,12,23,27.14,9.90,3.45,54.44,,
ENE,13,0,20.60,10.24,3.46,55.34,,
ENE,13,1,14.78,10.58,3.46,56.26,,
ENE,13,2,9.90,10.56,3.44,57.07,,
ENE,13,3,7.84,10.53,3.32,57.20,,
ENE,13,4,8.53,10.50,2.96,57.58,,
ENE,13,5,9.52,10.44,2.62,58.20,,
ENE,13,6,9.96,10.41,2.26,58.76,,
ENE,13,7,9.96,10.36,2.24,59.09,,
ENE,13,8,9.38,10.35,2.31,59.94,,
ENE,13,9,8.16,10.35,2.41,62.04,,
ENE,13,10,7.53,10.32,2.44,63.78,,
ENE,13,11,8.20,10.39,2.46,64.75,,
ENE,13,12,10.84,10.50,2.46,65.72,,
ENE,13,13,14.16,10.72,2.46,66.86,,
ENE,13,14,18.67,10.60,2.46,68.09,,
ENE,13,15,24.26,10.72,2.43,67.77,,
ENE,13,16,31.32,11.17,2.34,67.74,,
ENE,13,17,37.97,11.08,2.22,67.89,,
ENE,13,18,43.57,10.99,2.18,67.87,,
ENE,13,19,45.58,10.95,2.25,68.42,,
ENE,13,20,42.19,10.91,2.54,69.51,,
ENE,13,21,39.57,12.17,2.60,67.38,,
ENE,13,22,36.56,12.21,2.60,60.92,,
ENE,13,23,32.61,12.79,2.59,56.14,,
ENE,14,0,26.98,14.13,2.57,54.44,,
ENE,14,1,22.15,13.87,2.56,53.08,,
ENE,14,2,17.00,13.92,2.56,52.27,,
ENE,14,3,13.93,13.99,2.46,51.47,,
ENE,14,4,14.97,14.05,2.16,50.29,,
ENE,14,5,14.70,14.15,2.09,49.23,,
ENE,14,6,13.69,14.20,2.08,48.15,,
ENE,14,7,12.35,14.24,2.10,47.75,,
ENE,14,8,11.33,14.24,2.14,46.48,,
ENE,14,9,10.10,14.12,2.19,44.35,,
ENE,14,10,10.50,14.09,2.21,42.13,,
ENE,14,11,11.94,14.03,2.23,40.52,,
ENE,14,12,13.64,13.92,2.24,39.21,,
ENE,14,13,15.77,13.12,2.25,37.44,,
ENE,14,14,19.32,12.85,2.25,35.93,,
ENE,14,15,24.14,12.44,2.24,35.99,,
ENE,14,16,29.44,11.63,2.20,35.58,,
ENE,14,17,34.79,11.90,2.18,34.98,,
ENE,14,18,39.01,12.42,2.20,35.28,,
ENE,14,19,39.56,12.68,2.33,34.98,,
ENE,14,20,37.08,12.82,2.57,33.61,,
ENE,14,21,34.71,11.68,2.82,36.00,,
ENE,14,22,31.88,11.91,2.86,38.74,,
ENE,14,23,28.31,11.33,2.87,39.28,,
ENE,15,0,24.92,9.70,2.87,39.18,,
ENE,15,1,20.89,9.86,2.86,39.32,,
ENE,15,2,16.67,10.39,2.82,39.48,,
ENE,15,3,15.45,10.51,2.68,39.40,,
ENE,15,4,17.33,10.61,2.44,40.42,,
ENE,15,5,17.44,10.61,2.20,41.00,,
ENE,15,6,16.85,10.61,2.16,41.20,,
ENE,15,7,15.86,10.68,2.18,41.73,,
ENE,15,8,13.74,10.72,2.22,43.00,,
ENE,15,9,12.08,10.75,2.27,43.10,,
ENE,15,10,11.23,10.76,2.30,43.79,,
ENE,15,11,11.34,10.77,2.32,44.12,,
ENE,15,12,11.81,10.75,2.33,44.15,,
ENE,15,13,14.30,10.60,2.33,44.47,,
ENE,15,14,17.79,10.29,2.33,44.58,,
ENE,15,15,21.93,10.10,2.29,44.33,,
ENE,15,16,27.01,10.09,2.25,44.18,,
ENE,15,17,31.40,10.25,2.21,44.43,,
ENE,15,18,35.76,9.89,2.17,43.82,,
ENE,15,19,37.66,10.11,2.21,43.21,,
ENE,15,20,35.50,10.09,2.36,42.92,,
ENE,15,21,33.99,10.52,2.42,39.35,,
ENE,15,22,32.26,10.14,2.42,36.77,,
ENE,15,23,30.05,10.63,2.42,36.61,,
ENE,16,0,27.08,10.93,2.41,37.32,,
ENE,16,1,24.50,11.21,2.41,38.24,,
ENE,16,2,21.32,11.40,2.40,38.17,,
ENE,16,3,19.83,11.41,2.34,38.30,,
ENE,16,4,21.33,11.49,2.17,37.47,,
ENE,16,5,20.99,11.67,2.10,36.91,,
ENE,16,6,20.13,11.86,2.09,36.62,,
ENE,16,7,19.19,12.05,2.10,35.70,,
ENE,16,8,18.67,12.10,2.12,34.08,,
ENE,16,9,17.89,12.23,2.15,33.79,,
ENE,16,10,18.24,12.64,2.16,32.78,,
ENE,16,11,18.59,12.82,2.17,33.08,,
ENE,16,12,19.78,12.95,2.19,33.56,,
ENE,16,13,21.52,13.05,2.20,34.20,,
ENE,16,14,23.77,13.14,2.21,34.36,,
ENE,16,15,26.75,13.04,2.21,34.62,,
ENE,16,16,29.98,13.00,2.19,34.54,,
ENE,16,17,33.85,12.55,2.16,34.22,,
ENE,16,18,35.96,12.46,2.17,34.13,,
ENE,16,19,36.48,12.08,2.18,34.06,,
ENE,16,20,35.97,12.00,2.19,32.90,,
ENE,16,21,34.81,11.66,2.18,31.09,,
ENE,16,22,32.85,12.09,2.18,30.82,,
ENE,16,23,30.35,11.52,2.17,30.05,,
ENE,17,0,27.69,11.24,2.17,28.95,,
ENE,17,1,24.81,10.81,2.17,27.44,,
ENE,17,2,22.67,10.07,2.15,26.75,,
ENE,17,3,21.77,9.92,2.12,26.18,,
ENE,17,4,21.28,9.76,2.11,25.65,,
ENE,17,5,20.96,9.55,2.10,25.23,,
ENE,17,6,20.62,9.35,2.10,25.05,,
ENE,17,7,19.85,9.07,2.11,24.85,,
ENE,17,8,17.73,8.92,2.14,24.94,,
ENE,17,9,15.75,8.72,2.18,25.17,,
ENE,17,10,14.77,8.28,2.20,25.27,,
ENE,17,11,14.86,8.06,2.22,24.62,,
ENE,17,12,15.61,7.92,2.24,24.05,,
ENE,17,13,17.32,7.84,2.26,23.76,,
ENE,17,14,20.38,7.76,2.27,24.02,,
ENE,17,15,24.17,7.68,2.26,23.89,,
ENE,17,16,29.58,7.59,2.23,23.70,,
ENE,17,17,34.71,7.49,2.20,23.73,,
ENE,17,18,38.37,7.37,2.17,23.77,,
ENE,17,19,39.62,7.22,2.18,24.09,,
ENE,17,20,38.82,7.02,2.21,25.79,,
ENE,17,21,35.67,6.61,2.28,28.23,,
ENE,17,22,32.55,6.04,2.29,29.97,,
ENE,17,23,29.81,5.88,2.31,30.53,,
ENE,18,0,25.03,5.96,2.35,31.44,,
ENE,18,1,19.70,5.94,2.37,33.55,,
ENE,18,2,14.97,5.93,2.38,34.83,,
ENE,18,3,12.10,5.91,2.37,35.81,,
ENE,18,4,10.16,5.88,2.34,36.65,,
ENE,18,5,9.91,5.85,2.26,37.32,,
ENE,18,6,8.54,5.82,2.25,37.66,,
ENE,18,7,6.23,5.82,2.25,38.55,,
ENE,18,8,5.67,5.83,2.23,39.03,,
ENE,18,9,6.12,5.83,2.24,38.32,,
ENE,18,10,7.63,5.82,2.25,38.37,,
ENE,18,11,9.55,5.84,2.26,38.30,,
ENE,18,12,12.43,5.84,2.27,38.95,,
ENE,18,13,15.88,5.82,2.27,38.52,,
ENE,18,14,19.91,5.80,2.26,38.32,,
ENE,18,15,24.67,5.80,2.24,38.49,,
ENE,18,16,28.89,5.83,2.24,38.72,,
ENE,18,17,32.41,6.02,2.23,38.80,,
ENE,18,18,34.62,6.06,2.23,38.75,,
ENE,18,19,34.97,6.41,2.26,38.42,,
ENE,18,20,34.70,6.58,2.27,35.65,,
ENE,18,21,33.32,7.10,2.30,33.62,,
ENE,18,22,31.18,7.20,2.30,32.00,,
ENE,18,23,28.81,7.27,2.31,32.01,,
ENE,19,0,27.09,7.26,2.29,31.55,,
ENE,19,1,25.84,7.26,2.27,30.34,,
ENE,19,2,24.79,7.30,2.25,29.34,,
ENE,19,3,24.52,7.38,2.20,28.53,,
ENE,19,4,24.19,7.52,2.18,27.80,,
ENE,19,5,24.08,8.00,2.14,27.18,,
ENE,19,6,24.10,8.14,2.13,26.86,,
ENE,19,7,23.25,8.25,2.13,25.72,,
ENE,19,8,21.87,8.34,2.14,25.43,,
ENE,19,9,20.50,8.41,2.16,25.19,,
ENE,19,10,19.75,8.49,2.18,24.55,,
ENE,19,11,19.71,8.57,2.20,24.71,,
ENE,19,12,20.34,8.63,2.21,24.53,,
ENE,19,13,21.42,8.69,2.22,26.07,,
ENE,19,14,22.59,8.76,2.23,26.65,,
ENE,19,15,24.03,8.85,2.24,26.57,,
ENE,19,16,25.32,9.08,2.24,26.78,,
ENE,19,17,26.49,9.07,2.24,26.47,,
ENE,19,18,26.80,9.20,2.23,26.72,,
ENE,19,19,26.31,9.00,2.23,27.03,,
ENE,19,20,25.10,8.97,2.24,26.88,,
ENE,19,21,23.74,8.50,2.23,25.68,,
ENE,19,22,22.20,8.43,2.23,25.35,,
ENE,19,23,20.82,8.51,2.24,24.46,,
ENE,20,0,19.77,8.36,2.23,23.35,,
ENE,20,1,19.01,8.35,2.22,22.30,,
ENE,20,2,18.28,8.41,2.21,21.50,,
ENE,20,3,17.75,8.45,2.19,21.31,,
ENE,20,4,17.11,8.42,2.18,21.20,,
ENE,20,5,16.28,8.05,2.17,20.84,,
ENE,20,6,15.82,8.04,2.17,20.55,,
ENE,20,7,15.66,8.37,2.17,20.33,,
ENE,20,8,15.30,8.87,2.18,19.60,,
ENE,20,9,14.94,9.16,2.20,19.28,,
ENE,20,10,15.16,9.31,2.21,19.02,,
ENE,20,11,15.65,9.41,2.23,18.35,,
ENE,20,12,16.79,9.48,2.24,17.81,,
ENE,20,13,18.25,9.53,2.26,16.05,,
ENE,20,14,19.80,9.59,2.27,14.89,,
ENE,20,15,21.63,9.61,2.27,14.27,,
ENE,20,16,24.02,9.46,2.26,13.15,,
ENE,20,17,26.13,9.41,2.25,12.86,,
ENE,20,18,27.25,9.41,2.25,12.01,,
ENE,20,19,27.41,9.44,2.27,11.05,,
ENE,20,20,26.55,9.47,2.28,11.47,,
ENE,20,21,25.49,9.52,2.28,11.88,,
ENE,20,22,24.19,9.56,2.28,11.30,,
ENE,20,23,22.31,9.54,2.27,11.01,,
ENE,21,0,20.14,9.54,2.26,11.23,,
ENE,21,1,17.60,9.57,2.25,11.15,,
ENE,21,2,15.99,9.50,2.24,11.38,,
ENE,21,3,15.21,9.42,2.21,11.38,,
ENE,21,4,15.13,9.36,2.18,11.45,,
ENE,21,5,14.76,9.32,2.16,11.73,,
ENE,21,6,14.05,9.24,2.15,11.63,,
ENE,21,7,13.63,8.84,2.15,11.85,,
ENE,21,8,13.38,8.32,2.16,12.08,,
ENE,21,9,13.61,8.04,2.17,12.17,,
ENE,21,10,13.60,7.89,2.19,12.59,,
ENE,21,11,13.67,7.80,2.20,12.88,,
ENE,21,12,13.92,7.74,2.22,12.64,,
ENE,21,13,14.72,7.70,2.23,12.76,,
ENE,21,14,16.52,7.69,2.25,13.05,,
ENE,21,15,19.02,7.68,2.26,13.52,,
ENE,21,16,21.80,7.68,2.25,14.07,,
ENE,21,17,24.85,7.66,2.24,14.19,,
ENE,21,18,27.63,7.64,2.23,14.28,,
ENE,21,19,28.73,7.62,2.24,14.45,,
ENE,21,20,27.31,7.71,2.35,15.59,,
ENE,21,21,25.29,7.86,2.50,18.33,,
ENE,21,22,22.39,8.08,2.59,21.83,,
ENE,21,23,18.72,8.24,2.62,24.47,,
ENE,22,0,14.81,8.37,2.64,26.09,,
ENE,22,1,10.48,8.43,2.67,27.48,,
ENE,22,2,6.25,8.43,2.69,28.67,,
ENE,22,3,3.56,8.40,2.70,30.54,,
ENE,22,4,3.20,8.35,2.61,31.81,,
ENE,22,5,3.05,8.30,2.46,32.51,,
ENE,22,6,3.04,8.25,2.37,33.54,,
ENE,22,7,3.05,8.21,2.35,34.06,,
ENE,22,8,2.97,8.14,2.36,34.67,,
ENE,22,9,3.02,8.11,2.38,35.54,,
ENE,22,10,3.25,8.10,2.39,36.35,,
ENE,22,11,3.93,8.08,2.38,37.09,,
ENE,22,12,4.88,8.04,2.40,38.05,,
ENE,22,13,7.15,7.99,2.39,38.51,,
