DATOS MÓVILES 2020_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10,
FEB,17,5,12.07,20.22,2.74,44.76,
FEB,17,6,10.71,20.16,2.68,44.49,
FEB,17,7,9.86,20.09,2.68,44.05,
FEB,17,8,8.97,20.06,2.69,44,
FEB,17,9,8.46,19.89,2.74,44.13,
FEB,17,10,8.75,19.63,2.77,44.32,
FEB,17,11,9.42,19.35,2.78,44.57,
FEB,17,12,11.02,17.86,2.79,44.04,
FEB,17,13,13.49,15.88,2.79,43.19,
FEB,17,14,16.7,12.73,2.78,42.23,
FEB,17,15,20.18,11.13,2.73,40.45,
FEB,17,16,24.29,10.41,2.67,39.25,
FEB,17,17,28.37,9.86,2.6,38.46,
FEB,17,18,32,9.36,2.55,37.44,
FEB,17,19,33.45,9.13,2.58,36.89,
FEB,17,20,31.76,9.09,2.65,37.09,
FEB,17,21,28.85,9.09,2.77,36.25,
FEB,17,22,26.09,8.93,2.82,36.55,
FEB,17,23,23.65,8.85,2.85,36.87,
,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
FEB,18,0,13.92,20.85,8.71,2.88,59
FEB,18,1,5.51,16.69,8.69,2.91,54
FEB,18,2,3.05,12.03,8.74,2.94,54
FEB,18,3,2.88,8.68,8.78,2.9,57
FEB,18,4,2.95,7.3,8.76,2.84,46
FEB,18,5,2.95,7,8.82,2.72,49
FEB,18,6,2.95,6.13,8.88,2.69,52
FEB,18,7,2.96,4.64,8.95,2.69,53
FEB,18,8,2.92,3.27,9.01,2.71,58
FEB,18,9,3.50,3.02,9.05,2.74,66
FEB,18,10,9.48,3.82,9.08,2.76,67
FEB,18,11,28.40,7.01,9.11,2.76,53
FEB,18,12,35.91,11.13,9.09,2.77,47
FEB,18,13,55.73,17.73,9.55,2.77,45
FEB,18,14,60.49,24.92,10.8,2.75,50
FEB,18,15,40.50,29.62,11.16,2.7,38
FEB,18,16,45.18,34.9,11.22,2.63,28
FEB,18,17,47.13,40.35,11.29,2.56,25
FEB,18,18,47.30,45.08,11.48,2.52,22
FEB,18,19,40.25,46.56,11.54,2.51,28
FEB,18,20,19.31,44.49,11.56,2.54,40
FEB,18,21,6.38,38.32,11.56,2.66,57
FEB,18,22,8.37,31.8,11.5,2.75,80
FEB,18,23,14.33,28.53,11.54,2.79,87
FEB,19,0,11.93,24.38,11.54,2.82,69
FEB,19,1,19.11,20.87,11.6,2.84,56
FEB,19,2,23.34,17.88,11.65,2.86,52
FEB,19,3,6.86,13.7,11.62,2.87,48
FEB,19,4,8.10,12.3,11.61,2.81,45
FEB,19,5,15.19,13.4,11.72,2.7,46
FEB,19,6,8.16,13.38,11.73,2.61,47
FEB,19,7,2.60,11.91,11.68,2.62,45
FEB,19,8,3.02,10.8,11.64,2.66,51
FEB,19,9,8.21,9.44,11.56,2.68,54
FEB,19,10,18.31,8.81,11.53,2.68,52
FEB,19,11,24.03,10.95,12.07,2.68,52
FEB,19,12,28.37,13.49,12.4,2.68,47
FEB,19,13,32.97,15.71,11.26,2.66,35
FEB,19,14,40.21,19.71,9.88,2.65,28
FEB,19,15,47.48,25.32,9.46,2.62,26
FEB,19,16,50.30,31.23,9.39,2.56,25
FEB,19,17,54.66,37.04,9.29,2.53,28
FEB,19,18,55.24,41.66,9.07,2.51,35
FEB,19,19,49.89,44.89,8.97,2.52,45
FEB,19,20,25.42,44.52,8.96,2.59,70
FEB,19,21,19.22,42.8,8.94,2.61,74
FEB,19,22,16.66,39.86,8.95,2.62,63
FEB,19,23,15.05,35.8,10.21,2.62,61
FEB,20,0,16.31,31.56,10.16,2.63,52
FEB,20,1,16.99,26.85,10.07,2.64,47
FEB,20,2,16.23,21.97,10.28,2.64,41
FEB,20,3,14.73,17.57,10.56,2.62,38
FEB,20,4,15.90,16.38,10.61,2.54,31
FEB,20,5,14.14,15.75,10.48,2.52,29
FEB,20,6,11.60,15.12,10.44,2.51,33
FEB,20,7,9.92,14.48,10.45,2.53,33
FEB,20,8,6.26,13.22,10.45,2.58,37
FEB,20,9,7.13,11.99,10.47,2.62,42
FEB,20,10,15.60,11.91,10.46,2.64,40
FEB,20,11,21.92,12.81,9.87,2.66,38
FEB,20,12,29.78,14.54,9.58,2.67,35
FEB,20,13,35.78,17.25,10.33,2.68,36
FEB,20,14,46.45,21.6,10.99,2.69,36
FEB,20,15,49.61,26.57,11.15,2.68,32
FEB,20,16,51.80,32.26,11.32,2.63,32
FEB,20,17,53.08,38,11.44,2.6,33
FEB,20,18,43.01,41.43,12.07,2.62,35
FEB,20,19,35.74,43.16,12.67,2.63,49
FEB,20,20,32.45,43.49,13.08,2.63,50
FEB,20,21,29.76,42.74,13.17,2.62,55
FEB,20,22,25.75,40.15,13.12,2.62,104
FEB,20,23,28.78,37.54,11.8,2.62,175
FEB,21,0,21.98,33.82,12.58,2.62,116
FEB,21,1,20.10,29.7,13,2.62,77
FEB,21,2,20.18,26.84,13.33,2.58,50
FEB,21,3,21.45,25.06,13.37,2.56,35
FEB,21,4,18.17,23.27,13.77,2.55,25
FEB,21,5,15.22,21.45,14.73,2.55,22
FEB,21,6,15.57,20.18,15.34,2.54,21
FEB,21,7,13.63,18.29,15.76,2.55,17
FEB,21,8,10.90,16.9,16.7,2.58,18
FEB,21,9,6.63,15.22,20.61,2.6,24
FEB,21,10,13.51,14.39,21.54,2.62,37
FEB,21,11,18.50,14.02,21.71,2.63,44
FEB,21,12,21.43,14.43,22.09,2.65,43
FEB,21,13,27.32,15.94,21.23,2.67,47
FEB,21,14,30.74,17.83,21.27,2.68,43
FEB,21,15,37.97,20.88,21.37,2.68,35
FEB,21,16,40.39,24.56,21.73,2.66,28
FEB,21,17,39.19,28.63,22.37,2.64,30
FEB,21,18,31.07,30.83,23.53,2.69,34
FEB,21,19,25.86,31.75,24.01,2.69,42
FEB,21,20,19.76,31.54,24.76,2.69,47
FEB,21,21,14.37,29.92,25.77,2.69,50
FEB,21,22,12.26,27.61,27.47,2.69,47
FEB,21,23,8.57,23.93,29.74,2.68,42
FEB,22,0,8.45,19.94,31.35,2.68,41
FEB,22,1,15.63,17,31.17,2.68,35
FEB,22,2,11.83,14.59,31.64,2.62,25
FEB,22,3,11.52,12.8,32.47,2.6,18
FEB,22,4,15.44,12.26,32.46,2.59,15
FEB,22,5,16.68,12.55,31.55,2.57,10
FEB,22,6,14.52,12.83,30.94,2.57,8
FEB,22,7,12.76,13.35,30.5,2.58,9
FEB,22,8,9.74,13.51,29.52,2.59,14
FEB,22,9,11.26,12.97,25.6,2.61,18
FEB,22,10,15.70,13.45,24.67,2.64,21
FEB,22,11,18.56,14.33,24.52,2.66,23
FEB,22,12,25.09,15.54,24.05,2.67,25
FEB,22,13,33.75,17.67,23.77,2.7,28
FEB,22,14,44.02,21.36,23.03,2.71,31
FEB,22,15,47.02,25.64,22.84,2.7,26
FEB,22,16,47.55,30.37,22.41,2.7,27
FEB,22,17,50.08,35.22,21.76,2.68,25
FEB,22,18,51.56,39.7,20.13,2.67,30
FEB,22,19,46.84,43.24,19.17,2.68,39
FEB,22,20,24.07,43.11,18.05,2.8,63
FEB,22,21,4.11,39.41,17.01,3.01,114
FEB,22,22,6.24,34.68,15.34,3.21,139
FEB,22,23,4.04,29.31,13.19,3.37,132
FEB,23,0,3.75,23.84,10.96,3.45,120
FEB,23,1,3.87,18.06,10.85,3.53,118
FEB,23,2,3.79,12.09,9.75,3.58,117
FEB,23,3,4.29,6.77,8.64,3.61,104
FEB,23,4,6.54,4.58,8.24,3.52,92
FEB,23,5,9.84,5.3,8.18,3.34,83
