DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
DICIEMBRE,5,16,0.057,0.007,1.52,0.006,54,NA,26.96,2.24,259.26,19.97,620.68,1.47
DICIEMBRE,5,17,0.058,0.008,1.53,0.006,42,NA,27.00,1.89,277.05,21.85,620.52,0.54
DICIEMBRE,5,18,0.042,0.008,1.66,0.010,40,NA,26.23,1.31,256.71,19.58,620.65,NA
DICIEMBRE,5,19,0.013,0.008,2.95,0.032,39,NA,23.32,0.57,248.30,24.10,620.90,NA
DICIEMBRE,5,20,0.006,0.009,3.88,0.074,95,NA,20.89,0.58,230.07,30.97,621.15,NA
DICIEMBRE,5,21,0.007,0.010,5.36,0.101,163,NA,19.32,0.73,173.72,35.12,621.60,NA
DICIEMBRE,5,22,0.007,0.011,5.76,0.133,212,NA,18.06,0.74,209.18,38.81,622.00,NA
DICIEMBRE,5,23,0.004,0.008,2.20,0.039,278,NA,15.88,1.10,218.54,39.04,622.23,NA
DICIEMBRE,6,0,0.007,0.011,2.81,0.061,96,NA,15.73,1.08,96.27,41.74,622.31,NA
DICIEMBRE,6,1,0.007,0.009,2.31,0.054,172,NA,15.12,1.40,110.48,42.49,622.38,NA
DICIEMBRE,6,2,0.004,0.008,1.95,0.035,146,NA,14.12,1.67,102.63,42.50,622.52,NA
DICIEMBRE,6,3,0.004,0.008,1.79,0.025,101,NA,13.91,1.88,118.17,41.73,622.41,NA
DICIEMBRE,6,4,0.007,0.008,1.69,0.018,71,NA,13.50,1.97,97.82,43.00,622.29,NA
DICIEMBRE,6,5,0.004,0.009,1.79,0.030,67,NA,12.38,2.13,109.83,48.07,622.33,NA
DICIEMBRE,6,6,0.003,0.008,1.84,0.029,90,NA,11.79,1.69,119.00,50.39,622.64,NA
DICIEMBRE,6,7,0.004,0.008,2.24,0.041,72,NA,11.28,1.41,100.97,52.88,623.03,NA
DICIEMBRE,6,8,0.004,0.008,2.50,0.047,95,NA,11.22,1.79,95.16,53.06,623.56,0.11
DICIEMBRE,6,9,0.007,0.008,2.23,0.034,103,NA,13.28,2.23,102.68,50.75,624.09,0.55
DICIEMBRE,6,10,0.015,0.008,1.98,0.024,112,NA,16.31,2.37,95.74,46.14,624.38,1.31
DICIEMBRE,6,11,0.034,0.007,1.77,0.013,67,NA,19.72,1.50,151.89,38.22,624.27,2.15
DICIEMBRE,6,12,0.048,0.007,1.65,0.010,75,NA,22.44,1.36,221.39,33.83,623.77,2.79
DICIEMBRE,6,13,0.057,0.007,1.63,0.008,60,NA,24.53,1.80,235.62,28.79,622.95,3.10
DICIEMBRE,6,14,0.059,0.019,1.69,0.008,49,NA,26.95,1.71,213.96,22.39,622.00,2.89
DICIEMBRE,6,15,0.060,0.051,1.91,0.011,65,NA,28.17,1.76,163.41,17.82,621.27,2.20
DICIEMBRE,6,16,0.059,0.032,1.68,0.009,49,NA,28.84,1.58,184.46,14.04,620.92,1.33
DICIEMBRE,6,17,0.060,0.027,1.67,0.009,36,NA,28.69,1.26,191.96,13.78,620.83,0.48
DICIEMBRE,6,18,0.044,0.017,1.87,0.016,38,NA,26.90,1.52,245.97,16.41,621.12,NA
DICIEMBRE,6,19,0.008,0.011,3.49,0.065,55,NA,24.09,0.99,197.95,21.37,621.48,NA
DICIEMBRE,6,20,0.006,0.014,5.51,0.121,147,NA,21.99,0.92,217.47,26.62,621.86,NA
DICIEMBRE,6,21,0.005,0.011,4.29,0.075,259,NA,20.04,0.97,242.40,30.40,622.27,NA
DICIEMBRE,6,22,0.004,0.010,3.62,0.091,183,NA,18.36,0.84,257.80,34.12,622.68,NA
DICIEMBRE,6,23,0.006,0.010,2.97,0.060,174,NA,17.52,1.87,145.20,34.30,623.19,NA
DICIEMBRE,7,0,0.012,0.010,1.85,0.020,194,NA,17.07,2.28,150.00,40.06,623.64,NA
DICIEMBRE,7,1,0.015,0.008,1.71,0.014,114,NA,16.35,1.91,100.07,50.03,623.75,NA
DICIEMBRE,7,2,0.007,0.009,1.95,0.027,74,NA,14.74,0.87,122.41,47.94,623.81,NA
DICIEMBRE,7,3,0.005,0.008,1.85,0.026,100,NA,14.67,1.61,129.29,46.28,623.83,NA
DICIEMBRE,7,4,0.004,0.007,1.74,0.024,84,NA,13.80,0.94,204.40,52.16,623.83,NA
DICIEMBRE,7,5,0.005,0.008,1.77,0.024,60,NA,13.09,1.10,117.73,59.91,624.05,NA
DICIEMBRE,7,6,0.004,0.008,1.73,0.021,83,NA,12.91,1.11,90.88,51.56,624.30,NA
DICIEMBRE,7,7,0.003,0.008,2.28,0.040,64,NA,12.08,1.60,98.84,48.85,624.75,NA
DICIEMBRE,7,8,0.003,0.008,2.54,0.047,76,NA,11.73,1.82,108.55,48.74,625.11,0.10
DICIEMBRE,7,9,0.006,0.007,2.25,0.033,97,NA,13.83,2.38,99.14,42.87,625.54,0.52
DICIEMBRE,7,10,0.013,0.007,2.09,0.026,89,NA,16.90,2.09,100.93,44.51,625.83,1.24
DICIEMBRE,7,11,0.031,0.007,1.89,0.014,87,NA,19.97,1.52,130.31,46.20,625.63,2.04
DICIEMBRE,7,12,0.048,0.007,1.72,0.010,66,NA,21.86,1.45,162.36,41.69,625.13,2.66
DICIEMBRE,7,13,0.063,0.020,1.78,0.010,63,NA,23.85,1.60,168.68,33.89,624.31,2.84
DICIEMBRE,7,14,0.070,0.039,1.71,0.010,92,NA,26.33,1.62,157.73,27.28,623.42,2.78
DICIEMBRE,7,15,0.054,0.014,1.72,0.010,79,NA,27.89,2.36,126.39,18.77,622.82,2.28
DICIEMBRE,7,16,0.050,0.011,1.69,0.010,59,NA,28.25,2.71,95.75,16.67,622.45,1.37
DICIEMBRE,7,17,0.047,0.011,1.87,0.013,60,NA,28.13,2.82,110.18,16.54,622.30,0.52
DICIEMBRE,7,18,0.036,0.010,2.25,0.022,57,NA,27.20,2.03,116.02,18.35,622.38,NA
DICIEMBRE,7,19,0.013,0.012,2.91,0.036,71,NA,24.82,1.27,124.55,23.04,622.65,NA
DICIEMBRE,7,20,0.013,0.021,2.54,0.028,125,NA,23.41,2.53,48.65,26.72,623.35,NA
DICIEMBRE,7,21,0.020,0.028,1.93,0.012,81,NA,21.90,4.09,55.44,34.00,623.84,NA
DICIEMBRE,7,22,0.012,0.017,1.92,0.017,52,NA,19.25,2.69,103.41,40.06,624.43,NA
DICIEMBRE,7,23,0.015,0.011,1.69,0.011,86,NA,18.02,3.55,116.67,46.55,624.90,NA
DICIEMBRE,8,0,0.019,0.009,1.55,0.008,51,NA,17.05,3.55,97.05,50.08,625.06,NA
DICIEMBRE,8,1,0.021,0.008,1.49,0.007,50,NA,15.85,3.68,89.04,54.02,625.12,NA
DICIEMBRE,8,2,0.019,0.008,1.49,0.007,53,NA,14.51,3.96,90.56,57.62,625.06,NA
DICIEMBRE,8,3,0.020,0.009,1.47,0.007,39,NA,13.43,3.82,95.83,64.71,625.04,NA
DICIEMBRE,8,4,0.017,0.014,1.46,0.007,33,NA,12.51,3.25,78.61,71.57,625.04,NA
DICIEMBRE,8,5,0.015,0.011,1.47,0.008,29,NA,11.75,3.36,86.71,74.99,625.07,NA
DICIEMBRE,8,6,0.013,0.009,1.50,0.008,27,NA,11.10,2.85,79.64,78.41,625.21,NA
DICIEMBRE,8,7,0.008,0.008,1.84,0.016,23,NA,10.63,2.88,97.36,79.59,625.35,NA
DICIEMBRE,8,8,0.006,0.008,1.98,0.020,38,NA,10.74,2.69,91.85,79.76,625.81,0.11
