DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
JULIO,10,20,0.040,0.025,0.303,0.008,83,31,21.43,7.23,90.59,64.17,623.33
JULIO,10,21,0.028,0.042,0.357,0.013,47,24,19.24,3.49,103.60,77.69,624.15
JULIO,10,22,0.028,0.014,0.458,0.011,17,30,19.02,2.87,193.59,80.87,623.93
JULIO,10,23,0.027,0.025,0.522,0.011,12,7,19.01,1.78,104.84,79.41,624.59
JULIO,11,0,0.027,0.018,0.316,0.009,11,17,19.28,1.76,108.99,77.93,624.91
JULIO,11,1,0.022,0.030,0.330,0.011,18,15,19.30,2.80,90.46,78.37,625.15
JULIO,11,2,0.031,0.104,1.086,0.009,14,20,19.58,6.25,67.12,71.57,625.19
JULIO,11,3,0.032,0.075,0.292,0.007,10,13,18.76,4.61,91.39,75.16,624.39
JULIO,11,4,0.027,0.098,0.403,0.008,12,21,18.42,1.76,136.56,78.37,623.79
JULIO,11,5,0.025,0.038,0.358,0.010,8,14,18.78,1.33,105.95,74.60,624.09
JULIO,11,6,0.026,0.021,0.300,0.009,8,12,18.58,2.61,100.57,75.29,624.64
JULIO,11,7,0.026,0.042,0.333,0.009,11,11,18.85,2.78,88.31,74.25,624.78
JULIO,11,8,0.028,0.057,0.582,0.010,5,14,19.72,2.05,69.87,69.91,624.85
JULIO,11,9,0.037,0.014,0.607,0.005,4,14,21.75,1.97,68.90,61.46,625.08
JULIO,11,10,0.040,0.010,0.584,0.005,7,14,23.20,2.19,78.61,56.85,625.13
JULIO,11,11,0.046,0.032,0.752,0.004,8,12,24.36,2.23,77.72,53.16,625.06
JULIO,11,12,0.045,0.038,0.536,0.007,18,17,25.48,2.34,95.27,50.35,624.68
JULIO,11,13,0.049,0.034,0.392,0.007,16,25,26.40,2.71,124.17,46.29,624.24
JULIO,11,14,0.051,0.030,0.372,0.007,19,17,27.63,2.46,127.55,43.77,623.70
JULIO,11,15,0.051,0.035,0.441,0.008,11,23,28.95,1.55,147.62,39.32,622.98
JULIO,11,16,0.056,0.048,0.666,0.007,23,27,30.20,1.16,158.40,34.43,622.32
JULIO,11,17,0.053,0.025,0.569,0.007,16,29,30.55,1.01,233.14,32.59,621.66
JULIO,11,18,0.044,0.019,0.508,0.007,10,21,31.39,0.67,156.67,28.17,621.49
JULIO,11,19,0.044,0.026,0.796,0.014,53,21,30.74,1.81,201.61,30.64,621.40
JULIO,11,20,0.036,0.014,0.922,0.022,156,16,29.54,1.96,209.76,34.75,621.61
JULIO,11,21,0.036,0.012,0.750,0.017,51,19,26.84,4.26,169.91,46.09,622.44
JULIO,11,22,0.031,0.008,0.455,0.006,49,23,16.85,2.93,184.62,89.02,624.15
JULIO,11,23,0.030,0.007,0.426,0.009,11,11,17.53,1.73,196.38,90.85,624.81
JULIO,12,0,0.026,NA,NA,0.010,6,3,18.24,2.08,255.11,87.84,624.89
JULIO,12,1,0.027,0.004,0.328,0.010,12,NA,18.74,1.22,238.72,80.84,624.83
JULIO,12,2,0.025,0.003,0.334,0.009,8,13,18.93,0.52,217.74,78.15,624.71
JULIO,12,3,0.022,0.003,0.345,0.008,7,10,18.86,0.99,271.23,77.48,624.59
