DATOS HORARIOS 2018_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
MAY,9,13,19.05,12.49,0.18,7.55,29.82,24.55,2.71,207.55,25.78,41.76,623.39
MAY,9,14,21.11,10.89,0.2,7.71,23.05,18.21,2.28,245.56,26.62,38.06,622.47
MAY,9,15,20.18,11.41,0.2,7.61,36.62,24.2,4.06,266.29,24.08,45.25,622.04
MAY,9,16,6.6,10.81,0.58,21.58,47.88,22.14,2.88,260.59,19.99,57.87,622.01
MAY,9,17,5.41,10.18,0.56,20.13,20.22,NA,3.63,254.2,20.75,52.86,622.35
MAY,9,18,5.45,10.25,0.57,19.63,9.92,NA,3.82,213.86,20.73,49.26,621.88
MAY,9,19,6.5,9.72,0.43,15.84,21.6,11.66,3.2,282.79,20.38,53.37,622.21
MAY,9,20,4.94,9.28,0.42,15.64,36.38,20.57,2.77,311.9,19.71,60.09,622.4
MAY,9,21,3.49,10.96,0.51,19.78,34.49,18.55,2.19,156.24,20.1,57.26,622.61
MAY,9,22,2.78,10.01,0.36,18.16,39.18,22.33,1.4,301.4,18.54,64.99,623.41
MAY,9,23,2.96,9.56,0.2,14.01,30.76,23.86,1.18,13.01,18.24,66.07,624.26
MAY,10,0,9.24,9.31,0.01,2.78,20.37,NA,2.93,53.3,20.06,56.46,624.32
MAY,10,1,8.4,22.9,0.39,2.7,30.4,15.4,1.81,105.15,19.53,57.76,624.21
MAY,10,2,5.86,11.94,0.04,6.57,26.39,23.23,1.67,173.27,18.55,62.16,623.91
MAY,10,3,2.98,10.12,0.06,12.1,31.22,21.49,1.16,251.55,17.28,69.48,623.6
MAY,10,4,3.01,15.27,0.07,7.77,24.58,21.9,0.91,59.02,17.43,67.46,623.52
MAY,10,5,2.37,13.79,0.08,10.72,31.09,22.16,1.28,118.43,16.96,67.98,623.68
MAY,10,6,0.99,18.72,0.26,15.54,32.58,28.97,1.18,107.42,16.02,71.37,624.05
MAY,10,7,0.94,68.56,0.4,17.66,60.85,26.12,1.2,98.85,16.38,71.34,624.33
MAY,10,8,0.85,58.1,0.59,14.49,58.6,57.32,1.5,98.86,17.87,66.85,624.64
MAY,10,9,1.69,36.94,0.74,10.94,43.83,NA,1.94,83.95,19.28,61.94,624.82
MAY,10,10,6.71,20.87,0.32,9.25,45.34,33.91,2.31,125.42,20.65,58.59,624.82
MAY,10,11,11.23,17.68,0.28,7.9,50.28,35.45,2.07,137.42,22.71,51.41,624.58
MAY,10,12,16.82,11.52,0.35,7.22,NA,38.43,2.38,224.23,24.32,43.46,624.21
MAY,10,13,17.69,10.21,0.35,9.84,NA,23.73,2.43,230.16,25.64,35.21,623.68
MAY,10,14,17.61,10.01,0.27,7.17,40.69,24.29,2.51,251.53,26.83,30.91,622.91
MAY,10,15,19.95,15.11,0.28,7.12,28.83,24.6,2.08,271.2,27.85,28.41,622.09
MAY,10,16,24.15,18.9,0.27,6.01,33.7,23.55,2.3,287.12,28.69,26.22,621.42
MAY,10,17,22.56,11.17,0.13,2.7,42.18,27.37,3.9,282.98,28.46,24.09,621.06
MAY,10,18,16.96,8.91,0.13,4.22,22.19,13.67,4.02,304.74,27.45,22.6,621.03
MAY,10,19,15.55,8.74,0.22,7.65,24.86,13.5,2.81,292.7,26.78,25.56,621.37
MAY,10,20,14.82,8.95,0.13,6.13,27.56,15.42,3.41,282.05,25.49,28.85,622.27
MAY,10,21,15.29,8.92,0.12,3.6,27.49,10.88,2.18,253.75,24.04,34.86,623.21
MAY,10,22,10.36,11.37,0.27,10.7,35.68,16.58,2.91,235.11,21.85,46.78,623.78
MAY,10,23,11.14,8.84,0.2,8.84,30.97,23.85,1.96,199.66,21.23,47.01,624.29
MAY,11,0,13.76,8.76,0.09,4.78,29.24,19.86,1.69,212.11,20.49,50.43,624.66
MAY,11,1,13.4,8.48,0.05,3.94,24.31,15.51,1.9,217.42,19.67,53.7,624.76
MAY,11,2,12.69,8.58,0.04,4.84,23.39,19.29,1.65,246.76,18.7,57.66,624.51
MAY,11,3,10.68,8.62,0.01,7.13,21.42,16.92,2.12,244.37,18.05,60.44,624.12
MAY,11,4,8.16,8.55,0.01,9.71,21.84,18.37,0.92,269.22,16.96,65.1,624.13
MAY,11,5,2,9,0.06,20.87,33.56,23.42,0.76,302.74,16.39,66.68,624.16
MAY,11,6,0.96,9.78,0.42,24.17,52.89,34.47,0.53,311.81,16.18,67.37,624.47
MAY,11,7,0.8,10.46,0.9,20.98,82.76,50.02,0.56,6.78,16.43,66.7,624.99
MAY,11,8,0.8,13.34,0.78,20.34,79.64,43.42,1.31,292.66,17.77,62.35,625.22
MAY,11,9,3.88,10.53,0.28,12.89,43.88,36.8,1.72,291.88,19.15,58.91,625.47
MAY,11,10,12.64,9.36,0.18,8.43,33.55,NA,1.91,285.84,21.37,51.9,625.48
MAY,11,11,16.88,9.07,0.14,7.49,24.64,NA,1.82,238.44,23.14,46.54,625.22
MAY,11,12,15.95,9.14,0.16,11.76,28.1,NA,2.47,246.24,24.45,41.92,624.74
MAY,11,13,19.84,8.87,0.06,6.63,22.71,18.45,2.71,240.62,25.8,38.4,623.97
MAY,11,14,20.84,8.99,0.11,8.83,17.52,NA,2.5,229.24,27.38,32.46,623.23
MAY,11,15,22.81,8.65,0.08,7.09,24.79,14.79,2.26,231.63,28.51,27.5,622.46
MAY,11,16,22.88,8.46,0.02,3.67,20.62,16.2,1.4,236.44,29.85,22.64,621.84
MAY,11,17,22.8,8.52,0.02,2.7,15.15,NA,2.16,284.2,30.28,18.58,621.36
MAY,11,18,22.82,8.53,0.16,8.84,25.61,6.57,2.12,239.44,30.41,21.26,621.17
MAY,11,19,16.78,8.83,0.37,17.47,41.81,16.84,3.03,241.85,29.09,25,621.36
MAY,11,20,10.21,8.93,0.5,23.09,63.05,19.36,2.62,226.49,27.45,30.13,621.77
MAY,11,21,9.7,8.92,0.39,15.45,69.02,24.49,2.85,157.78,25.49,41.97,622.51
