MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM25,TEMP,WIND_SPEED,WIND_DIR,HUMIDITY,PBAR,UV
MARZO,7.0,21.0,0.02,0.007,0.77,0.034,102.0,21.0,24.0882,2.464218,239.530833,26.426717,621.375333,0.008497
MARZO,7.0,22.0,0.029,0.007,0.52,0.009,72.0,20.0,22.338927,3.530178,240.183,29.925533,621.769833,0.008327
MARZO,7.0,23.0,0.024,0.006,0.5,0.007,48.0,14.0,21.417117,2.9507,230.187833,30.59125,622.0415,0.008728
MARZO,8.0,0.0,0.022,0.007,0.48,0.008,44.0,12.0,20.151683,1.293943,193.235833,33.2813,622.462167,0.009073
MARZO,8.0,1.0,0.025,0.007,0.47,0.005,40.0,11.0,20.019733,1.182453,244.204333,34.81425,622.534667,0.009268
MARZO,8.0,2.0,0.019,0.007,0.48,0.011,46.0,12.0,18.958733,1.581272,270.833685,37.51275,622.2305,0.008963
MARZO,8.0,3.0,0.019,0.007,0.49,0.012,37.0,14.0,18.2127,1.228753,174.110767,39.303417,622.036667,0.00899
MARZO,8.0,4.0,0.01,0.008,0.55,0.026,45.0,18.0,17.531583,0.873672,142.305983,41.330767,621.821333,0.008486
MARZO,8.0,5.0,0.005,0.008,0.56,0.036,53.0,25.0,16.8441,1.269663,190.402167,43.631533,621.681333,0.008145
MARZO,8.0,6.0,0.007,0.007,0.57,0.027,59.0,19.0,15.832719,1.421797,248.229167,45.624783,621.833667,0.008179
MARZO,8.0,7.0,0.006,0.007,0.8,0.033,56.0,16.0,15.349373,1.050225,216.1895,47.536217,622.073333,0.01041
MARZO,8.0,8.0,0.002,0.007,0.99,0.037,76.0,23.0,15.596179,0.894967,274.6405,46.8043,622.4095,0.190007
MARZO,8.0,9.0,0.011,0.007,0.87,0.026,93.0,25.0,18.162965,1.682572,270.213,40.3701,622.838833,0.86037
MARZO,8.0,10.0,0.029,0.007,0.59,0.009,60.0,23.0,19.489589,2.466282,265.149667,39.02235,623.13,1.958762
MARZO,8.0,11.0,0.04,0.007,0.52,0.005,40.0,18.0,21.566133,2.528223,274.601167,35.25985,622.926333,3.193617
MARZO,8.0,12.0,0.041,0.007,0.51,0.003,27.0,17.0,23.658683,2.997227,256.553033,31.744567,622.323,4.181562
MARZO,8.0,13.0,0.043,0.007,0.54,0.004,22.0,21.0,24.983583,3.110732,250.270667,30.009183,621.522,4.79896
MARZO,8.0,14.0,0.04,0.007,0.57,0.004,32.0,27.0,26.823117,3.52281,246.737,25.8144,620.507167,4.705463
MARZO,8.0,15.0,0.04,0.007,0.53,0.004,40.0,18.0,28.182638,4.153657,240.1515,21.379633,619.445333,4.164625
MARZO,8.0,16.0,0.039,0.006,0.47,0.003,129.0,16.0,29.13,5.802013,228.480333,15.746683,618.676167,3.118058
MARZO,8.0,17.0,0.039,0.006,0.49,0.003,100.0,14.0,29.255633,5.859962,236.821,13.085683,618.461667,1.844633
MARZO,8.0,18.0,0.038,0.006,0.5,0.003,82.0,12.0,28.465033,5.487868,229.315833,12.5779,618.556667,0.761162
MARZO,8.0,19.0,0.031,0.006,0.56,0.009,67.0,9.0,26.717533,4.370622,230.350667,14.936317,618.930667,0.134343
MARZO,8.0,20.0,0.022,0.006,0.62,0.014,101.0,6.0,23.938883,3.032232,221.6755,18.257,619.779833,0.007988
MARZO,8.0,21.0,0.024,0.007,0.54,0.009,64.0,3.0,21.98275,3.327792,235.4425,19.925183,620.666,0.00808
MARZO,8.0,22.0,0.02,0.008,0.61,0.014,53.0,2.0,20.606852,3.192097,220.9255,20.039233,621.233667,0.008261
MARZO,8.0,23.0,0.017,0.007,0.57,0.014,50.0,16.0,19.467709,2.459462,193.956167,22.393033,621.487833,0.008419
MARZO,9.0,0.0,0.015,0.007,0.54,0.015,39.0,7.0,17.790981,1.562728,178.4723,26.519217,621.6215,0.00855
MARZO,9.0,1.0,0.015,0.007,0.51,0.013,56.0,10.0,16.810655,0.838683,246.827167,29.318867,621.563333,0.009115
