DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
OCTUBRE,8,15,NA,NA,0.024,0.734,14,0.004
OCTUBRE,8,16,NA,NA,0.024,0.718,15,0.003
OCTUBRE,8,17,NA,NA,0.025,0.713,15,0.004
OCTUBRE,8,18,NA,NA,0.025,0.715,20,0.004
OCTUBRE,8,19,NA,NA,0.025,0.719,21,0.005
OCTUBRE,8,20,NA,NA,0.025,0.722,15,0.005
OCTUBRE,8,21,NA,NA,0.025,0.719,12,0.005
OCTUBRE,8,22,NA,NA,0.025,0.72,11,0.004
OCTUBRE,8,23,NA,NA,0.025,0.715,8,0.003
OCTUBRE,9,0,NA,NA,0.025,0.704,10,0.003
OCTUBRE,9,1,NA,NA,0.025,0.699,9,0.003
OCTUBRE,9,2,NA,NA,0.024,0.687,7,0.003
OCTUBRE,9,3,NA,NA,0.024,0.669,7,0.003
OCTUBRE,9,4,NA,NA,0.024,0.651,6,0.002
OCTUBRE,9,5,NA,NA,0.025,0.642,8,0.002
