DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
MAYO,9,23,0.053,0.057,0.004,1.43,88,0.005
MAYO,10,0,0.050,0.055,0.004,1.43,70,0.004
MAYO,10,1,0.049,0.052,0.004,1.42,50,0.005
MAYO,10,2,0.044,0.048,0.004,1.40,40,0.007
MAYO,10,3,0.032,0.044,0.004,1.37,36,0.014
MAYO,10,4,0.032,0.042,0.004,1.31,39,0.013
MAYO,10,5,0.018,0.041,0.005,1.21,45,0.022
MAYO,10,6,0.013,0.036,0.005,1.22,52,0.026
MAYO,10,7,0.009,0.031,0.005,1.26,58,0.032
MAYO,10,8,0.009,0.026,0.005,1.30,56,0.032
MAYO,10,9,0.031,0.024,0.006,1.33,73,0.020
MAYO,10,10,0.053,0.025,0.006,1.35,77,0.013
MAYO,10,11,0.066,0.029,0.006,1.36,67,0.009
MAYO,10,12,0.073,0.034,0.007,1.36,57,0.008
MAYO,10,13,0.078,0.041,0.007,1.35,55,0.008
MAYO,10,14,0.074,0.049,0.007,1.34,56,0.009
MAYO,10,15,0.076,0.058,0.008,1.28,50,0.009
MAYO,10,16,0.070,0.065,0.008,1.23,45,0.006
MAYO,10,17,0.070,0.070,0.008,1.22,48,0.009
MAYO,10,18,0.067,0.072,0.008,1.20,43,0.009
MAYO,10,19,0.056,0.071,0.008,1.20,52,0.010
MAYO,10,20,0.033,0.066,0.009,1.20,68,0.022
MAYO,10,21,0.019,0.058,0.014,1.20,89,0.030
MAYO,10,22,0.039,0.054,0.016,1.19,99,0.013
MAYO,10,23,0.047,0.050,0.016,1.19,137,0.004
MAYO,11,0,0.045,0.047,0.016,1.19,138,0.004
MAYO,11,1,0.040,0.043,0.016,1.18,100,0.008
MAYO,11,2,0.035,0.039,0.017,1.17,71,0.011
MAYO,11,3,0.025,0.035,0.017,1.16,62,0.016
MAYO,11,4,0.028,0.035,0.018,1.15,55,0.014
MAYO,11,5,0.031,0.036,0.018,1.15,43,0.007
MAYO,11,6,0.024,0.034,0.018,1.16,40,0.012
MAYO,11,7,0.018,0.031,0.018,1.18,47,0.018
MAYO,11,8,0.022,0.028,0.019,1.19,55,0.015
MAYO,11,9,0.036,0.027,0.019,1.20,60,0.009
MAYO,11,10,0.039,0.028,0.020,1.21,71,0.012
MAYO,11,11,0.047,0.031,0.020,1.22,69,0.008
MAYO,11,12,0.054,0.034,0.020,1.23,57,0.008
MAYO,11,13,0.055,0.037,0.020,1.23,51,0.007
MAYO,11,14,0.053,0.041,0.020,1.22,45,0.007
MAYO,11,15,0.044,0.044,0.020,1.20,41,0.007
