DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
ABRIL,3,2,0.019,0.021,0.003,1.46,57,0.012
ABRIL,3,3,0.020,0.017,0.003,1.45,55,0.012
ABRIL,3,4,0.026,0.019,0.003,1.34,51,0.007
ABRIL,3,5,0.022,0.020,0.003,1.16,47,0.009
ABRIL,3,6,0.025,0.021,0.003,1.12,50,0.017
ABRIL,3,7,0.005,0.019,0.003,1.11,60,0.024
ABRIL,3,8,0.005,0.017,0.003,1.14,76,0.021
ABRIL,3,9,0.019,0.018,0.003,1.14,79,0.015
ABRIL,3,10,0.038,0.020,0.003,1.15,84,0.010
ABRIL,3,11,0.049,0.024,0.003,1.15,77,0.008
ABRIL,3,12,0.051,0.027,0.003,1.16,62,0.006
ABRIL,3,13,0.047,0.030,0.003,1.15,44,0.005
ABRIL,3,14,0.051,0.033,0.003,1.12,29,0.004
ABRIL,3,15,0.054,0.039,0.003,1.06,25,0.006
ABRIL,3,16,0.054,0.045,0.003,1.00,25,0.005
ABRIL,3,17,0.058,0.050,0.003,0.96,24,0.004
ABRIL,3,18,0.059,0.053,0.003,0.94,28,0.004
ABRIL,3,19,0.051,0.053,0.003,0.92,25,0.007
ABRIL,3,20,0.044,0.052,0.003,0.93,29,0.010
ABRIL,3,21,0.037,0.051,0.003,0.96,37,0.012
ABRIL,3,22,0.030,0.048,0.003,0.99,42,0.014
ABRIL,3,23,0.025,0.045,0.003,1.05,48,0.018
ABRIL,4,0,0.026,0.041,0.003,1.07,51,0.013
ABRIL,4,1,0.025,0.037,0.003,1.08,46,0.011
ABRIL,4,2,0.025,0.033,0.003,1.09,42,0.010
ABRIL,4,3,0.018,0.029,0.003,1.10,42,0.016
ABRIL,4,4,0.022,0.026,0.003,1.08,42,0.011
ABRIL,4,5,0.006,0.022,0.003,1.08,43,0.025
ABRIL,4,6,0.006,0.019,0.003,1.09,45,0.025
ABRIL,4,7,0.034,0.020,0.003,1.19,70,0.029
ABRIL,4,8,0.024,0.020,0.003,1.31,95,0.032
ABRIL,4,9,0.012,0.018,0.003,1.38,117,0.037
ABRIL,4,10,0.031,0.019,0.003,1.44,117,0.034
ABRIL,4,11,0.052,0.023,0.003,1.44,105,0.009
ABRIL,4,12,0.052,0.027,0.003,1.43,75,0.005
ABRIL,4,13,0.058,0.034,0.003,1.41,60,0.005
ABRIL,4,14,0.061,0.040,0.003,1.37,56,0.006
ABRIL,4,15,0.063,0.044,0.003,1.22,59,0.006
ABRIL,4,16,0.065,0.049,0.003,1.08,60,0.006
ABRIL,4,17,0.062,0.056,0.003,1.01,61,0.006
ABRIL,4,18,0.059,0.059,0.003,0.95,60,0.006
ABRIL,4,19,0.051,0.059,0.003,0.94,68,0.008
ABRIL,4,20,0.047,0.058,0.003,0.96,78,0.008
ABRIL,4,21,0.043,0.056,0.003,0.97,90,0.007
