DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],TEMP,WS,WD,HR
SEPTIEMBRE,9,2,0.02,0.008,0.007,0.95,27,17.06,1.62,100.66,68.1
SEPTIEMBRE,9,3,NA,0.011,0.006,0.84,30,16.37,1.16,80.81,72.45
SEPTIEMBRE,9,4,0.02,0.013,0.005,0.8,26,15.92,1.65,83.69,76.4
SEPTIEMBRE,9,5,0.01,0.014,0.004,0.74,31,15.51,1.49,74.13,81.74
SEPTIEMBRE,9,6,0.01,0.01,0.006,0.76,30,14.2,0.96,124.55,85.8
SEPTIEMBRE,9,7,0.01,0.008,0.008,0.86,21,13.71,0.96,101.54,91.15
SEPTIEMBRE,9,8,0.01,0.009,0.007,0.93,39,17.1,0.96,122.32,82.06
SEPTIEMBRE,9,9,0.02,0.011,0.006,0.88,35,20.32,1.83,114.22,67.43
SEPTIEMBRE,9,10,0.03,0.014,0.005,0.84,44,21.89,3.25,91.13,55.59
SEPTIEMBRE,9,11,0.04,0.012,0.004,0.78,35,23.57,2.26,94.03,47.67
SEPTIEMBRE,9,12,0.04,0.017,0.004,0.8,27,25.06,2.31,91.17,41.23
SEPTIEMBRE,9,13,0.04,0.014,0.004,0.8,27,26.18,2.85,105.58,36.43
SEPTIEMBRE,9,14,0.04,0.014,0.004,0.76,31,27.56,2.92,99.37,32.82
SEPTIEMBRE,9,15,0.05,0.01,0.004,0.77,33,28.33,2.92,102.76,31.04
SEPTIEMBRE,9,16,0.05,0.009,0.003,0.75,36,29.08,3.22,112.12,28.67
SEPTIEMBRE,9,17,0.05,0.01,0.004,0.74,35,29.27,3.13,96.79,25.92
SEPTIEMBRE,9,18,0.04,0.016,0.006,0.82,44,28.02,2.76,79.06,28.2
SEPTIEMBRE,9,19,0.03,0.03,0.005,0.87,52,25.8,4.73,53.15,31.6
SEPTIEMBRE,9,20,0.03,0.017,0.004,0.75,47,23.91,5.25,47.5,35.32
SEPTIEMBRE,9,21,0.03,0.011,0.004,0.69,39,22.46,5.6,50.48,39.81
SEPTIEMBRE,9,22,0.03,0.012,0.004,0.67,37,21.28,4.97,51.68,45.93
SEPTIEMBRE,9,23,0.02,0.01,0.004,0.69,33,20.14,3.57,62.73,53.66
SEPTIEMBRE,10,0,0.01,0.009,0.004,0.68,22,18.96,2.78,57.35,59.05
SEPTIEMBRE,10,1,0.02,0.015,0.005,0.69,21,18.02,1.95,86.11,64.11
SEPTIEMBRE,10,2,0.02,0.013,0.004,0.68,17,17.12,1.62,93.96,69.88
SEPTIEMBRE,10,3,0.02,0.011,0.006,0.68,19,17.35,2.04,62.02,70.24
SEPTIEMBRE,10,4,0.02,0.009,0.004,0.67,14,17.02,1.73,80.53,71.92
SEPTIEMBRE,10,5,0.02,0.013,0.004,0.69,22,15.87,1.44,91.69,77.05
SEPTIEMBRE,10,6,0.02,0.017,0.003,0.73,17,15.66,1.53,87.47,76.79
SEPTIEMBRE,10,7,0.02,0.009,0.004,0.76,27,14.76,0.96,119.16,82.31
SEPTIEMBRE,10,8,0.02,0.008,0.004,0.82,13,17.49,1.64,109.1,74.47
SEPTIEMBRE,10,9,0.02,0.008,0.003,0.79,18,19.89,2.32,98.01,62.12
SEPTIEMBRE,10,10,0.03,0.012,0.004,0.78,24,21.51,4.6,88.52,53.23
SEPTIEMBRE,10,11,0.03,0.02,0.004,0.79,51,23.26,5,92.38,44.82
SEPTIEMBRE,10,12,0.04,0.012,0.004,0.78,35,24.73,4.7,90.62,37.43
SEPTIEMBRE,10,13,0.04,0.023,0.005,0.77,49,25.94,4.47,87.08,34.12
SEPTIEMBRE,10,14,0.04,0.018,0.004,0.76,47,27.35,4.34,88.44,30.39
SEPTIEMBRE,10,15,0.04,0.009,0.003,0.73,34,28.46,3.98,103.85,27.58
SEPTIEMBRE,10,16,0.04,0.009,0.003,0.72,23,29.1,4.11,95.2,25.43
SEPTIEMBRE,10,17,0.04,0.007,0.003,0.7,29,29.18,4.2,97.48,23.21
SEPTIEMBRE,10,18,0.04,0.009,0.004,0.72,29,28.47,3.71,96.71,24.82
SEPTIEMBRE,10,19,0.03,0.01,0.005,0.72,39,25.77,3.21,63.64,29.97
SEPTIEMBRE,10,20,0.03,0.014,0.005,0.72,37,23.98,4.1,50.91,34.67
SEPTIEMBRE,10,21,0.03,0.021,0.006,0.74,29,22.63,3.77,50.28,37.66
SEPTIEMBRE,10,22,0.03,0.014,0.006,0.7,30,21.47,4.04,62.21,42.89
SEPTIEMBRE,10,23,0.03,0.016,0.004,0.68,26,20.34,4.15,74.05,47.81
SEPTIEMBRE,11,0,0.02,0.011,0.005,0.71,35,18.17,2.64,93.61,56.26
SEPTIEMBRE,11,1,0.02,0.009,0.004,0.65,27,16.77,2.33,111.82,62.84
SEPTIEMBRE,11,2,0.02,0.008,0.003,0.65,13,16.17,2.47,104.68,66.47
SEPTIEMBRE,11,3,0.02,0.013,0.005,0.67,18,15.99,2.28,95.87,69.18
SEPTIEMBRE,11,4,0.02,0.013,0.005,0.68,22,15.55,2.4,107.68,72.1
SEPTIEMBRE,11,5,0.02,0.008,0.005,0.68,21,13.64,1.71,140.51,79.53
SEPTIEMBRE,11,6,0.01,0.008,0.007,0.72,24,13.08,2.09,127.88,83.57
SEPTIEMBRE,11,7,0.01,0.008,0.011,0.88,47,13.42,1.55,120.76,84.17
SEPTIEMBRE,11,8,0.01,0.008,0.009,0.97,57,17.54,1,97.59,74.04
SEPTIEMBRE,11,9,0.02,0.008,0.007,0.86,52,20.37,2.04,116.99,60.97
SEPTIEMBRE,11,10,0.03,0.008,0.004,0.78,42,21.99,2.97,102.09,52.26
SEPTIEMBRE,11,11,0.04,0.012,0.005,0.79,38,23.38,4.2,88.38,44.05
SEPTIEMBRE,11,12,0.05,0.019,0.005,0.8,42,24.68,3.68,84.36,39.69
SEPTIEMBRE,11,13,0.05,0.018,0.005,0.79,41,26.09,3.52,103.45,34.4
SEPTIEMBRE,11,14,0.06,0.01,0.003,0.75,31,27.5,2.83,122.48,31.85
SEPTIEMBRE,11,15,0.05,0.011,0.004,0.76,38,27.95,3.57,100.73,29.45
SEPTIEMBRE,11,16,0.05,0.009,0.003,0.71,51,28.45,2.77,97.25,26.7
SEPTIEMBRE,11,17,0.05,0.011,0.004,0.7,41,28.54,2.05,111.43,25.69
SEPTIEMBRE,11,18,0.05,0.009,0.004,0.74,48,26.84,1.22,111.53,27.1
SEPTIEMBRE,11,19,0.03,0.011,0.01,0.92,54,26.13,1.35,66.03,26.36
SEPTIEMBRE,11,20,0.03,0.034,0.007,0.88,74,24.17,3.07,53.19,28.77
SEPTIEMBRE,11,21,0.03,0.049,0.006,0.74,49,22.81,4.04,49.41,27.25
SEPTIEMBRE,11,22,0.03,0.02,0.007,0.75,47,21,1.89,92.56,32
SEPTIEMBRE,11,23,0.03,0.021,0.006,0.68,41,20.08,3.46,66.79,35.82
SEPTIEMBRE,12,0,0.04,0.021,0.005,0.65,21,19.3,2.44,91.21,38.69
SEPTIEMBRE,12,1,0.04,0.008,0.006,0.65,49,16.32,1.55,138.5,49.88
SEPTIEMBRE,12,2,0.03,0.008,0.008,0.67,29,15.76,1.03,112.1,53.25
SEPTIEMBRE,12,3,0.03,0.011,0.008,0.7,26,15.32,0.99,62.93,54.75
SEPTIEMBRE,12,4,0.04,0.009,0.009,0.68,29,15.81,1.12,88.49,58.24
SEPTIEMBRE,12,5,0.05,0.01,0.01,0.7,27,15.14,0.99,82.17,62.28
SEPTIEMBRE,12,6,0.03,0.009,0.008,0.73,34,14.1,1.13,140.94,65.92
SEPTIEMBRE,12,7,0.04,0.008,0.009,0.79,37,13.39,1.07,121.42,69.04
SEPTIEMBRE,12,8,0.02,0.008,0.009,0.89,46,16.4,1.39,144.16,65.35
SEPTIEMBRE,12,9,0.02,0.009,0.008,0.87,51,19.77,1.5,126.31,56.03
SEPTIEMBRE,12,10,0.03,0.01,0.005,0.79,74,22.2,3.28,91.97,48.99
SEPTIEMBRE,12,11,0.04,0.011,0.005,0.81,49,23.85,3.09,89.71,42.76
SEPTIEMBRE,12,12,0.05,0.012,0.004,0.76,38,25.46,2.72,106.35,35.23
SEPTIEMBRE,12,13,0.05,0.008,0.003,0.76,29,26.87,2.63,111.23,30.44
SEPTIEMBRE,12,14,0.05,0.011,0.004,0.76,46,27.83,3.65,106.83,27.53
SEPTIEMBRE,12,15,0.06,0.008,0.003,0.71,46,29.15,2.66,148.6,24.35
SEPTIEMBRE,12,16,0.06,0.009,0.003,0.69,39,29.42,3.15,134.63,23.21
SEPTIEMBRE,12,17,0.06,0.007,0.003,0.68,35,29.72,1.84,136.39,22.16
SEPTIEMBRE,12,18,0.06,0.008,0.003,0.69,46,29.02,1.39,137.81,22.21
