DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
ABRIL,12,11,0.037,0.007,0.006,1.40,17,21.16,2.30458,110.70,NA
ABRIL,12,12,0.046,0.007,0.005,1.41,24,23.50,1.776997,198.10,NA
ABRIL,12,13,0.056,0.006,0.004,1.40,19,25.32,1.72868,207.81,NA
ABRIL,12,14,0.060,0.008,0.005,1.44,29,26.22,2.724305,177.71,NA
ABRIL,12,15,0.055,0.006,0.003,1.37,16,27.60,2.98143,270.64,NA
ABRIL,12,16,0.054,0.006,0.003,1.34,22,28.26,3.078085,255.89,NA
ABRIL,12,17,0.050,0.006,0.003,1.35,26,27.73,3.009123,251.93,NA
ABRIL,12,18,0.050,0.006,0.004,1.36,24,26.96,3.28496,247.81,NA
ABRIL,12,19,0.043,0.006,0.007,1.48,40,24.57,3.133517,265.76,NA
ABRIL,12,20,0.031,0.006,0.011,1.67,53,22.94,2.215603,238.03,NA
ABRIL,12,21,0.043,0.009,0.006,1.45,55,22.32,2.26637,184.66,NA
ABRIL,12,22,0.033,0.007,0.007,1.49,61,21.24,1.878867,212.17,NA
ABRIL,12,23,0.026,0.008,0.010,1.43,63,19.30,2.985355,85.76,NA
ABRIL,13,0,0.022,0.007,0.008,1.34,31,17.50,2.305622,109.48,NA
ABRIL,13,1,0.017,0.006,0.010,1.35,16,16.66,2.089855,116.32,NA
ABRIL,13,2,0.014,0.006,0.010,1.37,19,15.60,2.15369,124.47,NA
ABRIL,13,3,0.010,0.006,0.012,1.40,28,14.69,1.42956,134.85,NA
ABRIL,13,4,0.008,0.006,0.013,1.40,26,14.07,2.295842,119.74,NA
ABRIL,13,5,0.005,0.006,0.014,1.39,30,13.42,1.93004,128.21,NA
ABRIL,13,6,0.006,0.006,0.014,1.41,37,13.05,1.651363,123.03,NA
ABRIL,13,7,0.004,0.006,0.015,1.53,34,12.50,1.726853,113.41,NA
ABRIL,13,8,0.008,0.006,0.014,1.73,64,16.29,1.232152,130.17,NA
