DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],WS,WD,TEMP,HR
OCTUBRE,10,0,0.020,0.008,0.006,0.89,21,0.970,138.130,17.380,88.560
OCTUBRE,10,1,0.015,0.008,0.004,0.85,14,0.950,142.890,17.490,87.740
OCTUBRE,10,2,0.014,0.008,0.003,0.85,10,0.960,159.920,17.170,89.260
OCTUBRE,10,3,0.015,0.008,0.005,0.86,19,1.260,110.680,16.510,90.140
OCTUBRE,10,4,0.015,0.008,0.007,0.87,26,1.010,123.420,16.090,92.060
OCTUBRE,10,5,0.018,0.008,0.005,0.90,33,0.960,121.590,16.250,91.390
OCTUBRE,10,6,0.008,0.008,0.007,0.91,29,0.970,125.530,16.160,92.040
OCTUBRE,10,7,0.008,0.008,0.012,1.00,37,0.960,131.320,15.700,95.650
OCTUBRE,10,8,0.008,0.008,0.014,10778.00,37,0.960,122.400,15.580,99.100
OCTUBRE,10,9,0.009,0.008,0.013,1062.00,26,0.970,144.690,15.760,99.050
OCTUBRE,10,10,0.011,0.008,0.008,0.99,17,1.190,210.160,17.090,97.580
OCTUBRE,10,11,0.016,0.008,0.006,0.91,3,2.070,250.110,19.820,89.310
OCTUBRE,10,12,0.021,0.008,0.006,0.87,6,1.920,234.200,22.950,64.690
OCTUBRE,10,13,0.023,0.008,0.006,0.86,18,3.340,242.690,24.210,47.620
OCTUBRE,10,14,0.025,0.008,0.006,0.86,8,2.700,217.960,25.110,42.020
OCTUBRE,10,15,0.026,0.007,0.006,0.82,9,2.710,211.820,25.500,35.190
OCTUBRE,10,16,0.024,0.007,0.006,0.80,21,3.540,192.400,25.050,38.810
OCTUBRE,10,17,0.020,0.007,0.006,0.84,22,3.570,190.720,23.360,47.840
OCTUBRE,10,18,0.018,0.007,0.004,0.81,33,5.040,167.900,20.470,61.830
OCTUBRE,10,19,0.015,0.008,0.005,0.85,30,3.180,158.020,18.730,69.610
OCTUBRE,10,20,0.014,0.008,0.005,0.83,19,2.380,158.470,17.540,74.420
OCTUBRE,10,21,0.013,0.007,0.004,0.85,7,1.240,151.200,17.050,76.900
OCTUBRE,10,22,0.011,0.008,0.003,0.84,8,1.050,121.380,16.810,78.830
OCTUBRE,10,23,0.013,0.007,0.003,0.79,4,1.220,124.220,16.610,80.430
OCTUBRE,11,0,0.014,0.008,0.001,0.77,5,2.130,137.290,16.390,80.390
OCTUBRE,11,1,0.012,0.007,0.001,0.77,26,1.010,145.030,15.460,87.690
OCTUBRE,11,2,0.012,0.007,0.001,0.76,13,3.560,143.620,14.700,94.390
OCTUBRE,11,3,0.013,0.007,NA,0.76,2,3.510,141.080,14.420,96.070
OCTUBRE,11,4,0.013,0.008,NA,0.76,NA,1.790,164.080,15.210,93.080
OCTUBRE,11,5,0.011,0.008,NA,0.77,5,1.330,153.380,15.580,89.220
OCTUBRE,11,6,0.008,0.007,0.002,0.77,12,0.960,150.410,15.440,89.870
OCTUBRE,11,7,0.005,0.007,0.007,0.85,9,0.960,138.650,15.300,90.460
OCTUBRE,11,8,0.006,0.008,0.008,0.94,13,0.960,169.520,15.620,89.820
OCTUBRE,11,9,0.005,0.008,0.008,11709.00,22,1.030,233.610,17.160,87.670
OCTUBRE,11,10,0.012,0.008,0.004,0.98,18,2.470,269.510,18.480,78.700
OCTUBRE,11,11,0.015,0.008,0.003,0.94,18,2.330,275.540,19.140,75.090
