DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MARZO,2,21,0.021,0.005,0.014,0.97,64,21,2.81,271.54,26.30
MARZO,2,22,0.021,0.005,0.016,1.05,89,20,2.80,254.26,28.73
MARZO,2,23,0.030,0.005,0.009,0.83,76,19,2.58,261.13,28.77
MARZO,3,0,0.036,0.005,0.008,0.75,72,18,2.69,261.37,29.68
MARZO,3,1,0.034,0.005,0.008,0.73,62,16,2.07,245.31,32.18
MARZO,3,2,0.033,0.005,0.007,0.71,53,15,1.93,290.09,33.75
MARZO,3,3,0.030,0.005,0.009,0.73,61,14,1.53,290.78,36.99
MARZO,3,4,0.026,0.005,0.008,0.71,59,14,1.88,291.92,39.00
MARZO,3,5,0.016,0.006,0.015,0.75,76,13,1.00,224.84,38.35
MARZO,3,6,0.014,0.007,0.018,0.87,75,12,1.00,97.78,42.03
MARZO,3,7,0.026,0.009,0.020,1.03,85,11,1.09,112.62,44.89
MARZO,3,8,0.010,0.008,0.019,1.13,87,11,1.49,116.12,47.14
MARZO,3,9,0.014,0.007,0.017,1.09,131,15,2.54,107.93,35.18
MARZO,3,10,0.027,0.011,0.015,0.98,125,19,2.56,92.80,29.88
MARZO,3,11,0.043,0.007,0.010,0.84,98,23,1.69,222.82,24.77
MARZO,3,12,0.055,0.007,0.009,0.84,71,25,2.26,230.97,21.23
MARZO,3,13,0.065,0.010,0.006,0.79,59,26,2.95,249.44,20.14
MARZO,3,14,0.056,0.007,0.006,0.77,50,27,3.76,273.97,18.73
MARZO,3,15,0.051,0.005,0.004,0.71,40,28,3.47,215.16,16.98
MARZO,3,16,0.043,0.005,0.004,0.74,36,29,4.38,261.10,14.74
MARZO,3,17,0.042,0.005,0.004,0.71,55,29,4.51,264.20,14.64
MARZO,3,18,0.043,0.005,0.005,0.76,50,28,4.47,264.12,17.06
MARZO,3,19,0.034,0.005,0.008,0.85,64,26,4.08,276.14,19.09
MARZO,3,20,0.023,0.006,0.016,1.14,73,23,2.66,261.34,25.48
MARZO,3,21,0.026,0.005,0.012,0.99,86,22,3.37,241.41,31.49
MARZO,3,22,0.025,0.005,0.007,0.81,76,21,3.37,239.12,35.04
MARZO,3,23,0.022,0.005,0.007,0.81,54,19,2.32,241.59,36.07
MARZO,4,0,0.022,0.006,0.009,0.79,43,18,1.18,216.07,39.00
MARZO,4,1,0.022,0.006,0.008,0.79,50,17,1.07,203.54,41.28
MARZO,4,2,0.021,0.006,0.007,0.79,40,16,1.23,238.60,46.04
MARZO,4,3,0.019,0.006,0.008,0.79,41,16,1.68,274.98,50.09
MARZO,4,4,0.013,0.006,0.014,0.80,43,15,1.08,242.59,52.16
MARZO,4,5,0.013,0.006,0.013,0.79,43,14,1.08,267.75,56.43
MARZO,4,6,0.018,0.006,0.009,0.79,51,13,1.50,246.70,61.10
MARZO,4,7,0.008,0.006,0.017,1.15,51,12,1.03,182.62,62.60
MARZO,4,8,0.011,0.006,0.019,1.97,83,14,0.96,103.83,62.85
MARZO,4,9,0.017,0.006,0.013,1.09,88,19,1.61,272.40,55.87
MARZO,4,10,0.031,0.006,0.010,0.95,62,21,1.95,270.04,49.68
MARZO,4,11,0.041,0.006,0.008,0.90,60,23,1.96,263.44,40.34
MARZO,4,12,0.046,0.006,0.005,0.81,57,25,2.41,262.27,34.69
MARZO,4,13,0.045,0.005,0.004,0.78,44,26,2.77,245.18,28.69
MARZO,4,14,0.049,0.005,0.005,0.83,39,27,3.56,279.97,24.10
MARZO,4,15,0.051,0.005,0.004,0.79,39,28,3.54,272.50,17.79
MARZO,4,16,0.051,0.005,0.006,0.82,37,29,3.66,277.41,14.50
MARZO,4,17,0.053,0.005,0.005,0.81,42,29,4.03,276.36,14.47
MARZO,4,18,0.049,0.005,0.006,0.80,39,28,3.85,281.19,15.43
MARZO,4,19,0.040,0.005,0.009,0.88,54,25,2.02,265.12,17.38
MARZO,4,20,0.018,0.005,0.021,1.41,82,23,1.25,237.77,19.07
MARZO,4,21,0.026,0.005,0.013,1.03,89,21,2.19,228.63,21.18
