DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
SEP,18,0,30.39,13.27,0.250,2.44,19,15
SEP,18,1,25.94,12.63,0.239,3.39,19,15
SEP,18,2,22.52,10.77,0.233,5.70,19,16
SEP,18,3,19.16,10.57,0.221,9.03,20,16
SEP,18,4,17.28,10.41,0.219,8.43,21,17
SEP,18,5,14.68,10.23,0.219,2.81,21,18
SEP,18,6,11.54,10.16,0.256,6.08,22,18
SEP,18,7,9.57,9.18,0.341,12.62,23,18
SEP,18,8,9.12,9.49,0.384,6.60,23,18
SEP,18,9,11.14,8.75,0.429,5.78,24,19
SEP,18,10,14.92,8.87,0.455,4.26,24,19
SEP,18,11,19.73,9.33,0.464,2.84,24,19
SEP,18,12,22.61,9.32,0.483,3.10,24,19
SEP,18,13,25.88,9.12,0.505,1.98,24,19
SEP,18,14,29.40,9.09,0.502,2.21,24,19
SEP,18,15,32.14,9.03,0.453,2.61,24,19
SEP,18,16,33.90,9.01,0.441,1.48,24,19
SEP,18,17,33.08,9.01,0.421,1.66,25,18
SEP,18,18,30.33,9.01,0.421,2.30,24,18
