DATOS HORARIOS 2022_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
AGOSTO,10,4,0.008,0.004,0.3,0.029,10,10,17.73,0.45,263.83,83.86,624.41
AGOSTO,10,5,0.008,0.003,0.33,0.028,15,10,17.96,0.45,255.47,83.21,624.38
AGOSTO,10,6,0.007,0.003,0.52,0.027,18,12,17.81,0.45,235.94,82.97,624.56
AGOSTO,10,7,0.007,0.003,1.05,0.027,21,13,17.99,0.45,261.19,82.37,624.95
AGOSTO,10,8,0.011,0.039,0.84,0.028,17,19,19.83,0.6,98.61,72.03,625.23
AGOSTO,10,9,0.027,0.098,0.57,0.016,15,18,20.76,3.58,73.21,63.56,625.39
AGOSTO,10,10,0.033,0.055,0.38,0.013,9,13,22.21,4.04,78.87,57.71,625.7
AGOSTO,10,11,0.039,0.061,0.4,0.012,14,18,23.24,3.69,81.7,54.04,625.74
AGOSTO,10,12,0.044,0.027,0.43,0.014,23,17,24.62,2.18,103.06,50.53,625.24
AGOSTO,10,13,0.052,0.025,0.39,0.015,25,15,25.38,2.95,109.13,48.01,624.85
AGOSTO,10,14,0.056,0.018,0.44,0.014,21,19,27.18,2.17,132.09,41.3,624.28
AGOSTO,10,15,0.055,0.023,0.37,0.013,17,17,28.6,3.06,98.05,30.86,623.18
AGOSTO,10,16,0.058,0.028,0.33,0.013,17,11,29.79,3.47,100.34,22.48,622.43
AGOSTO,10,17,0.054,0.01,0.39,0.014,27,22,29.82,2.93,114.92,22.96,621.97
AGOSTO,10,18,0.053,0.002,0.56,0.018,18,18,28.8,2.56,185.1,34.55,621.83
AGOSTO,10,19,0.05,0.004,0.66,0.021,37,10,25.7,3.4,225.46,54.23,622.34
AGOSTO,10,20,0.04,0.003,0.58,0.022,32,22,24.02,2.66,224.93,61.67,622.8
AGOSTO,10,21,0.031,0.003,0.54,0.021,27,21,22.85,1.95,239.96,67.83,623.74
AGOSTO,10,22,0.03,0.002,0.44,0.021,17,18,22.24,0.84,205.27,68.13,624.39
AGOSTO,10,23,0.026,0.002,0.4,0.021,19,22,21.59,0.52,205.18,70.3,624.99
AGOSTO,11,0,0.031,0.001,0.33,0.019,13,15,20.97,0.45,216.29,70.44,625.39
AGOSTO,11,1,0.029,0.002,0.32,0.019,16,14,20.96,0.45,168.82,70.11,625.45
AGOSTO,11,2,0.022,0.027,0.29,0.022,25,22,20.79,0.45,106.89,67.35,625.1
AGOSTO,11,3,0.02,0.024,0.31,0.02,12,13,20.3,0.58,55.98,66.01,625.04
AGOSTO,11,4,0.021,0.004,0.22,0.018,10,10,19.5,1.12,51.72,67.89,624.87
AGOSTO,11,5,0.023,0.003,0.23,0.017,9,8,19.17,1.16,49.83,68.68,624.89
AGOSTO,11,6,0.021,0.005,0.31,0.018,11,16,18.85,1.14,54.34,69.68,624.78
AGOSTO,11,7,0.015,0.061,0.71,0.024,13,12,18.77,0.97,69.12,70.59,624.91
AGOSTO,11,8,0.018,0.172,0.55,0.023,22,20,18.91,0.45,97.62,70.41,625.13
AGOSTO,11,9,0.023,0.079,0.63,0.021,21,17,20.97,1.06,104.37,61.66,625.19
AGOSTO,11,10,0.033,0.045,0.44,0.015,18,19,22.19,3.23,78.62,50.98,625.2
AGOSTO,11,11,0.038,0.07,0.35,0.011,12,14,22.89,4.65,74.58,47.6,625.15
AGOSTO,11,12,0.041,0.047,0.3,0.012,18,14,24.5,4,92.33,42.5,624.8
AGOSTO,11,13,0.05,0.021,0.33,0.013,28,13,25.79,3.69,99.05,37.76,624.24
AGOSTO,11,14,0.055,0.024,0.32,0.012,20,16,27.31,3.27,99.86,32.57,623.62
AGOSTO,11,15,0.057,0.014,0.31,0.012,33,13,28.28,3.4,112.74,29.57,622.9
AGOSTO,11,16,0.059,0.008,0.29,0.011,24,14,29.4,2.52,108.06,27.11,622.21
