DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³]
MARZO,9,3,0.02686335,0.023648247,#¡VALOR!,0.7272735,49,29
MARZO,9,4,0.022551083,0.023987868,#¡VALOR!,0.581036,45,27
MARZO,9,5,0.012340277,0.024376224,#¡VALOR!,0.4087535,42,25
MARZO,9,6,0.007038707,0.021676848,#¡VALOR!,0.40532725,41,24
MARZO,9,7,0.008099788,0.018711961,#¡VALOR!,0.460085375,42,23
MARZO,9,8,0.00759671,0.015965458,0.024735063,0.531970625,50,25
MARZO,9,9,0.017197297,0.015018397,0.024786707,0.5787945,59,28
MARZO,9,10,0.0274523,0.016142439,0.024515832,0.597176625,65,34
MARZO,9,11,0.039796183,0.017759043,0.022700763,0.6268715,60,40
MARZO,9,12,0.050464617,0.021248235,0.020956248,0.64965475,53,37
MARZO,9,13,0.058115333,0.026970117,0.018649802,0.6736465,49,33
MARZO,9,14,0.074904017,0.035453281,0.016879754,0.69054375,46,31
MARZO,9,15,0.077554767,0.044135153,0.016352446,0.66665,47,30
MARZO,9,16,0.067564933,0.051631181,0.016274455,0.61035725,51,27
MARZO,9,17,0.067540817,0.057924121,0.016165599,0.56212975,42,26
MARZO,9,18,0.063093667,0.062379292,0.016077037,0.556530625,41,27
MARZO,9,19,0.049248483,0.063560829,0.015931909,0.5837725,41,26
MARZO,9,20,0.02199974,0.06000272,0.015865712,0.672893625,46,24
MARZO,9,21,0.013774012,0.054460055,0.015828809,0.80320925,54,24
MARZO,9,22,0.012678727,0.046681893,0.012424252,0.846651125,63,24
MARZO,9,23,0.023561962,0.039932793,0.009970519,0.875590125,72,26
MARZO,10,0,0.040995417,0.036611603,0.009502826,0.900921125,72,30
MARZO,10,1,0.02050285,0.030731857,0.007251328,0.933903625,67,31
MARZO,10,2,0.039871767,0.02782912,0.006713311,0.93609925,64,32
MARZO,10,3,0.020874575,0.024282381,0.006679793,0.90438425,56,32
MARZO,10,4,0.006968822,0.022403517,0.006724557,0.82347,57,31
MARZO,10,5,0.007451908,0.021613254,0.006642368,0.69589225,53,30
MARZO,10,6,0.031393802,0.023952638,0.006692889,0.660012875,55,30
MARZO,10,7,0.011469588,0.022441091,0.006800639,0.64871075,52,31
MARZO,10,8,0.012182557,0.018839484,0.007099243,0.683866,51,30
MARZO,10,9,0.021898567,0.019013948,0.00906468,0.669184,53,31
MARZO,10,10,0.025917317,0.017269642,0.011424943,0.681269125,67,37
MARZO,10,11,0.042286833,0.019946174,0.01227346,0.675056125,69,41
MARZO,10,12,0.061115767,0.026714542,0.012381963,0.677310375,56,38
MARZO,10,13,0.068470017,0.034341806,0.012440283,0.690903875,51,35
MARZO,10,14,0.0726455,0.039498268,0.012472177,0.690292625,45,33
MARZO,10,15,0.070290617,0.046850897,0.012565751,0.677512,40,32
MARZO,10,16,0.067372567,0.053749648,0.012627379,0.639439125,35,30
MARZO,10,17,0.065233867,0.059166561,0.01278115,0.640087625,36,27
MARZO,10,18,0.0607874,0.063525321,0.01290562,0.640271625,36,28
MARZO,10,19,0.041787167,0.063462863,0.012925323,0.70205125,36,28
MARZO,10,20,0.010371793,0.057119866,0.012982739,0.93410125,42,28
MARZO,10,21,0.0105556,0.049880564,0.013384092,1.03426,57,28
MARZO,10,22,0.022357583,0.043594574,0.014303033,1.05218275,71,30
MARZO,10,23,0.02595455,0.038052566,0.01979032,1.046851875,68,30
MARZO,11,0,0.025819133,0.032858387,0.023670673,1.025029125,60,28
MARZO,11,1,0.02074945,0.027297835,0.024101679,1.0047275,53,27
MARZO,11,2,0.023504517,0.022637474,0.02399852,0.965110875,48,26
MARZO,11,3,0.026500867,0.020726687,0.024002685,0.881839625,39,26
MARZO,11,4,0.016771633,0.021526667,0.023957475,0.622237875,41,26
