DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
MAY,10,5,14.24,2.22,0.419,47,1.85,247.29,16.73,31.42,2.32
MAY,10,6,8.29,3.33,0.618,47,1.51,100.83,15.61,34.37,2.40
MAY,10,7,2.00,6.17,1.404,80,1.35,28.78,16.14,35.62,38.60
MAY,10,8,2.75,6.87,1.205,88,1.55,137.30,20.34,32.51,218.48
MAY,10,9,5.43,5.39,0.847,79,2.11,273.67,24.51,26.59,450.76
MAY,10,10,25.88,4.16,0.588,39,2.22,276.69,27.18,20.94,666.80
MAY,10,11,48.36,3.46,0.459,45,2.52,264.50,29.00,18.13,866.12
MAY,10,12,42.21,2.82,0.329,35,3.82,270.91,29.57,15.40,1003.29
MAY,10,13,45.97,1.94,0.369,30,4.15,273.24,30.51,14.16,1058.52
MAY,10,14,47.13,1.76,0.349,34,3.52,273.94,31.68,12.77,1050.24
MAY,10,15,46.58,1.30,0.319,26,4.00,284.29,32.61,11.45,956.86
MAY,10,16,47.80,1.66,0.289,22,3.89,282.87,33.17,10.87,786.78
MAY,10,17,43.18,1.10,0.200,21,3.70,239.77,33.05,9.57,565.07
MAY,10,18,41.02,1.10,0.180,23,3.68,226.88,32.41,9.08,336.16
MAY,10,19,38.33,1.53,0.289,46,3.52,255.38,30.75,10.11,113.17
MAY,10,20,33.76,1.71,0.419,49,3.23,246.64,28.28,12.76,4.64
MAY,10,21,34.01,2.07,0.488,48,2.93,235.01,26.74,14.30,1.72
MAY,10,22,26.97,2.35,0.598,55,2.42,269.31,24.91,16.57,1.83
MAY,10,23,25.50,2.36,0.389,51,2.88,237.60,23.51,18.78,8.65
MAY,11,0,23.73,2.07,0.389,42,2.22,299.81,22.58,20.01,1.97
MAY,11,1,13.86,2.43,0.339,40,2.30,275.80,21.36,20.32,2.30
MAY,11,2,11.18,2.50,0.359,39,2.40,285.97,20.19,22.07,2.40
MAY,11,3,20.39,1.81,0.309,40,2.87,279.25,18.94,26.98,2.84
MAY,11,4,51.96,3.45,0.379,39,1.85,60.01,17.60,30.25,1.80
MAY,11,5,10.25,5.24,0.319,37,1.71,139.23,15.81,30.61,1.73
MAY,11,6,9.24,6.01,0.578,32,1.09,88.43,15.27,30.78,1.04
MAY,11,7,22.18,7.99,1.056,60,1.18,164.15,16.63,31.63,1.19
MAY,11,8,2.00,6.74,1.145,66,1.80,234.07,23.52,28.29,1.90
MAY,11,9,14.71,3.99,0.538,50,2.24,242.51,27.25,21.67,2.21
MAY,11,10,28.16,2.43,0.240,11,2.45,277.80,29.26,15.22,2.57
MAY,11,11,34.05,1.89,0.240,12,2.55,265.41,30.09,13.75,2.55
MAY,11,12,38.07,1.28,0.180,10,2.48,242.56,31.13,12.15,2.51
MAY,11,13,41.51,1.14,0.220,8,2.90,269.86,31.84,10.51,3.18
MAY,11,14,41.76,1.36,0.200,12,3.85,273.65,32.25,10.16,3.56
MAY,11,15,41.29,1.10,0.210,7,3.35,271.06,32.99,9.97,3.51
MAY,11,16,37.95,1.57,0.200,14,3.45,292.09,33.61,9.58,3.56
MAY,11,17,33.90,1.10,0.180,17,4.30,250.12,33.33,9.76,4.24
MAY,11,18,37.44,1.10,0.180,20,3.40,237.41,32.92,10.32,3.13
MAY,11,19,38.68,1.10,0.180,28,2.99,206.32,31.56,10.91,3.22
MAY,11,20,30.53,1.10,0.220,37,2.99,227.87,29.00,12.00,2.83
MAY,11,21,27.36,1.10,0.369,41,2.80,255.13,27.10,13.42,2.67
MAY,11,22,15.45,1.46,0.638,46,2.33,285.00,25.14,15.91,1.88
MAY,11,23,14.85,1.66,0.578,62,2.15,280.04,23.77,17.69,2.80
MAY,12,0,20.76,1.76,0.359,45,2.67,286.10,23.15,19.96,5.60
MAY,12,1,22.07,2.07,0.309,43,1.97,283.05,21.80,22.68,2.02
