DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
MZO,3,8,3.53,3.94,0.926,34,1.35,90.85,16.71,61.49,73.71
MZO,3,9,10.85,5.16,0.568,30,1.71,94.29,21.15,46.95,303.18
MZO,3,10,20.07,4.71,0.528,24,1.50,190.68,26.26,36.38,537.55
MZO,3,11,30.00,3.19,0.270,20,2.14,243.11,28.44,29.15,743.87
MZO,3,12,33.14,2.51,0.270,25,2.42,280.58,29.98,22.73,899.09
MZO,3,13,39.62,1.71,0.250,7,3.02,267.41,30.53,19.36,979.87
MZO,3,14,43.67,1.34,0.240,9,3.19,273.53,31.57,17.31,836.88
MZO,3,15,43.93,1.19,0.240,8,3.47,269.78,32.38,14.97,903.04
MZO,3,16,47.92,1.39,0.230,10,3.58,275.52,32.82,15.26,744.06
MZO,3,17,49.68,1.41,0.230,19,3.25,273.35,33.03,14.78,532.77
MZO,3,18,50.19,1.78,0.180,19,2.86,243.26,32.40,14.43,297.80
MZO,3,19,41.53,3.15,0.270,26,2.75,222.07,30.02,13.18,64.74
MZO,3,20,31.79,3.14,0.329,36,2.57,235.31,26.62,15.73,1.86
MZO,3,21,25.02,3.96,0.558,41,1.73,189.59,23.80,20.02,1.94
MZO,3,22,25.74,4.04,0.588,46,1.97,282.15,22.75,21.89,1.98
MZO,3,23,8.97,5.72,1.016,35,1.70,78.92,21.78,25.12,2.04
MZO,4,0,2.00,6.47,0.518,52,1.59,127.87,19.82,29.33,2.15
MZO,4,1,6.61,8.28,0.329,39,2.71,109.26,18.54,35.92,4.95
MZO,4,2,2.92,9.26,0.329,37,2.24,127.24,17.67,37.35,2.23
MZO,4,3,2.00,19.26,0.329,33,2.62,127.59,17.65,37.29,2.28
MZO,4,4,2.00,12.28,0.309,33,2.91,121.61,16.61,41.72,2.25
MZO,4,5,NA,15.05,0.329,41,2.41,117.16,15.86,49.67,2.30
MZO,4,6,2.00,10.97,0.309,59,2.25,86.05,15.09,55.55,2.35
MZO,4,7,2.00,6.13,0.419,45,2.32,108.67,14.90,61.42,3.74
MZO,4,8,NA,13.07,0.608,51,2.25,80.34,15.52,61.37,67.95
MZO,4,9,10.56,10.49,0.528,38,2.82,81.56,18.82,53.23,288.43
MZO,4,10,21.09,4.66,0.449,33,3.99,91.87,22.13,50.88,522.47
MZO,4,11,28.77,4.79,0.389,37,3.12,119.24,25.19,42.92,727.55
MZO,4,12,41.55,3.19,0.289,115,1.92,197.30,28.60,32.80,880.50
MZO,4,13,47.96,2.46,0.319,164,2.49,264.09,30.60,27.08,955.76
MZO,4,14,42.65,2.30,0.250,55,3.38,267.03,31.22,22.47,841.90
MZO,4,15,47.94,2.09,0.240,32,3.74,278.53,31.99,21.20,873.88
MZO,4,16,49.94,1.51,0.250,10,4.34,288.96,32.61,18.77,724.20
MZO,4,17,48.42,1.10,0.180,23,3.65,267.05,32.64,17.50,522.26
MZO,4,18,46.78,1.28,0.180,24,3.73,271.04,32.04,17.17,288.97
MZO,4,19,41.78,1.10,0.270,26,2.91,248.18,29.96,20.56,64.17
MZO,4,20,28.25,1.56,0.339,46,3.04,171.37,26.29,35.42,2.41
MZO,4,21,22.95,1.10,0.349,43,3.06,178.03,24.64,39.88,2.38
MZO,4,22,24.92,1.68,0.329,41,2.56,203.39,24.03,37.07,8.57
