DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR,UV
AGOSTO,8,17,0.078,0.009,0.010,0.63,33,4,30.55,2.12,194.57,33.32,624.13,NA
AGOSTO,8,18,0.080,0.012,0.009,0.54,36,13,30.29,1.96,217.28,31.35,623.72,NA
AGOSTO,8,19,0.064,0.010,0.012,0.58,32,18,29.21,2.83,213.08,32.28,623.77,10.86
AGOSTO,8,20,0.047,0.007,0.014,0.59,39,22,27.36,2.68,213.34,35.2,623.99,8.73
AGOSTO,8,21,0.035,0.007,0.016,0.56,30,18,25.51,1.39,273.25,44.34,624.32,7.71
AGOSTO,8,22,0.026,0.006,0.020,0.76,20,27,24.59,1.59,145.87,53.21,624.92,7.13
AGOSTO,8,23,0.032,0.006,0.014,0.58,31,34,22.98,3.16,97.3,49.93,625.99,6.86
AGOSTO,9,0,0.035,0.006,0.012,0.54,56,19,22.12,2.06,120.73,50.13,626.23,6.37
AGOSTO,9,1,0.033,0.006,0.013,0.52,34,31,21.29,1.93,93.58,58.38,626.26,6.04
AGOSTO,9,2,0.027,0.006,0.017,0.51,33,18,20.31,1.96,282.81,63.75,625.99,5.68
AGOSTO,9,3,0.029,0.006,0.015,0.5,28,18,19.35,2.55,297.54,67.7,625.85,5.54
AGOSTO,9,4,0.032,0.006,0.013,0.47,30,16,18.57,2.59,281.46,71.72,625.9,5.34
AGOSTO,9,5,0.034,0.006,0.013,0.49,28,13,19.04,1.66,251.36,68.83,625.61,5.3
AGOSTO,9,6,0.026,0.006,0.015,0.52,24,19,18.75,1.4,181.99,71.31,625.91,5.09
AGOSTO,9,7,0.016,0.006,0.020,0.71,6,19,17.98,1.69,169.67,75.57,626.3,5.05
AGOSTO,9,8,0.021,0.007,0.017,0.72,43,18,20.13,1.52,246.04,66.35,626.49,6.76
AGOSTO,9,9,0.030,0.006,0.012,0.57,42,14,21.2,2.15,280.88,63.88,626.71,8.27
AGOSTO,9,10,0.038,0.006,0.011,0.59,34,22,22.71,1.64,236.97,57.94,626.98,10.46
AGOSTO,9,11,0.048,0.006,0.009,0.53,37,12,24.59,2.5,267.98,51.66,626.88,NA
AGOSTO,9,12,0.059,0.007,0.008,0.5,6,11,25.63,2.82,264.7,46.48,626.63,NA
AGOSTO,9,13,0.063,0.006,0.007,0.48,35,3,26.64,3.06,275.49,44.5,626.05,NA
AGOSTO,9,14,0.067,0.006,0.007,0.47,27,7,27.58,3.23,284.03,43.38,625.49,NA
AGOSTO,9,15,0.068,0.006,0.007,0.46,28,2,28.82,2.79,273.83,38.24,624.74,NA
AGOSTO,9,16,0.070,0.006,0.008,0.46,40,3,29.25,3.22,264.44,35.13,624.06,NA
AGOSTO,9,17,0.071,0.006,0.008,0.47,39,7,29.61,3.68,259.64,34.03,623.63,NA
AGOSTO,9,18,0.064,0.006,0.009,0.49,78,12,28.53,4.72,238.09,38.04,623.44,8.82
AGOSTO,9,19,0.052,0.006,0.010,0.52,6,27,25.11,5.12,221.4,51.41,624.01,5.9
AGOSTO,9,20,0.046,0.006,0.011,0.52,42,16,23.67,3.16,234.37,55.71,624.2,5.1
AGOSTO,9,21,0.044,0.005,0.011,0.49,21,24,23.02,1.59,252.57,58.69,625.21,4.88
AGOSTO,9,22,0.033,0.006,0.017,0.66,10,23,22.93,2.42,145.07,59.62,625.79,4.9
AGOSTO,9,23,0.036,0.006,0.014,0.57,33,19,22.18,3.3,173.03,62.34,625.85,4.76
AGOSTO,10,0,0.029,0.005,0.015,0.55,26,23,21.2,2.32,193.16,68.69,625.67,4.58
AGOSTO,10,1,0.036,0.005,0.012,0.5,29,19,20.86,1.13,189.01,68.68,625.64,4.39
AGOSTO,10,2,0.034,0.006,0.012,0.46,28,16,20.48,1.8,246.85,66.54,625.4,4.28
AGOSTO,10,3,0.036,0.006,0.010,0.44,18,7,19.97,1.86,192.83,66.84,625.25,4.24
AGOSTO,10,4,0.032,0.006,0.011,0.44,13,9,19.44,0.81,188.37,69.9,625.28,4.1
AGOSTO,10,5,0.024,0.006,0.015,0.48,21,12,19.17,1.13,177.27,73.91,625.31,3.96
AGOSTO,10,6,0.022,0.006,0.015,0.52,19,18,19.14,1.17,167.57,77.45,625.56,3.97
AGOSTO,10,7,0.015,0.006,0.019,0.62,27,16,19.02,0.92,254.37,78.8,625.79,3.9
AGOSTO,10,8,0.010,0.006,0.021,0.85,33,17,20.54,1.13,203.43,72.51,626.24,4.75
AGOSTO,10,9,0.033,0.006,0.012,0.7,54,16,21.62,2.3,225.82,64.07,626.5,6.33
