DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR
SEPTIEMBRE,10,10,0.034,0.005,0.009,0.58,NA,9,21.50,4.62,86.62,53.88,626.58
SEPTIEMBRE,10,11,0.040,0.006,0.009,0.57,NA,7,22.86,5.24,87.87,43.69,626.52
SEPTIEMBRE,10,12,0.046,0.005,0.010,0.59,NA,6,24.58,5.46,92.37,36.75,626.10
SEPTIEMBRE,10,13,0.050,0.005,0.010,0.56,NA,2,25.94,5.10,85.82,34.27,625.37
SEPTIEMBRE,10,14,0.049,0.006,0.011,0.58,NA,3,27.46,4.42,91.07,30.39,624.75
SEPTIEMBRE,10,15,0.049,0.005,0.010,0.56,NA,2,28.64,4.17,99.02,27.36,623.97
SEPTIEMBRE,10,16,0.047,0.004,0.010,0.53,NA,1,29.34,4.37,102.32,25.05,623.30
SEPTIEMBRE,10,17,0.046,0.004,0.010,0.49,NA,2,29.77,4.46,88.45,22.58,623.13
SEPTIEMBRE,10,18,0.045,0.004,0.010,0.48,NA,2,29.12,4.38,84.79,23.71,623.14
SEPTIEMBRE,10,19,0.039,0.020,0.011,0.61,NA,20,27.57,4.34,64.48,27.25,623.35
SEPTIEMBRE,10,20,0.033,0.085,0.013,1.57,NA,24,25.98,4.77,45.26,31.45,623.89
SEPTIEMBRE,10,21,0.033,0.145,0.014,1.02,NA,39,24.78,5.30,55.24,33.02,624.58
SEPTIEMBRE,10,22,0.033,0.074,0.013,0.52,NA,38,23.58,4.41,59.63,36.89,625.41
SEPTIEMBRE,10,23,0.031,0.035,0.014,0.50,NA,21,22.20,4.36,72.54,41.61,625.84
