DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,9,5,0.0208,0.0123,NA,NA,18,16,1.85,98.26,19.21
SEP,9,6,0.0163,0.0087,NA,0.0133,22,17,2.13,92.97,19
SEP,9,7,0.0116,0.0112,NA,0.0169,28,22,2.16,100.98,18.9
SEP,9,8,0.0117,0.0155,NA,0.0184,27,19,1.71,103.15,19.56
SEP,9,9,0.019,0.0175,NA,0.0158,35,24,1.93,125.38,20.76
SEP,9,10,0.0268,0.006,NA,0.0139,37,29,1.58,164.23,22.02
SEP,9,11,0.032,0.0089,NA,0.0155,26,22,1.5,235.6,23.4
SEP,9,12,0.0451,0.0136,NA,0.0123,30,28,1.66,191.88,24.35
SEP,9,13,0.056,0.0073,NA,0.0117,31,35,1.58,217.21,26.45
SEP,9,14,0.0598,0.004,NA,0.0113,28,25,1.54,238.05,27.15
SEP,9,15,0.0496,0.0016,NA,0.0095,19,25,1.8,207.54,27.66
SEP,9,16,0.0482,0.001,NA,0.0088,14,13,1.98,217.32,28.63
SEP,9,17,0.0471,0.0009,NA,0.01,21,20,1.92,231.13,28.83
SEP,9,18,0.05,0.0007,NA,0.009,22,15,2.38,175.23,27.25
SEP,9,19,0.0431,0.001,NA,0.0118,45,26,2.7,196.08,21.28
SEP,9,20,0.0337,0.0141,NA,0.0167,10,25,1.14,108.11,21.47
SEP,9,21,0.0231,0.0206,NA,0.0202,29,21,2.15,180.99,21.62
SEP,9,22,0.0204,0.0023,NA,0.0086,20,12,3.63,206.1,18.98
SEP,9,23,NA,NA,NA,NA,18,NA,1.72,102.71,16.39
SEP,10,0,0.0406,NA,NA,0.0088,4,11,0.73,111.65,16.72
SEP,10,1,0.0346,NA,NA,0.0141,4,11,0.71,244.98,16.8
SEP,10,2,0.028,NA,NA,0.012,7,9,0.65,289.13,16.8
SEP,10,3,0.0218,NA,NA,NA,10,6,1.35,285.28,16.88
SEP,10,4,0.0198,NA,NA,NA,16,10,1.04,278.36,16.9
SEP,10,5,0.0137,NA,NA,0.0189,26,25,0.52,222.08,17
SEP,10,6,0.0187,NA,NA,0.0151,24,14,0.6,284.69,16.83
SEP,10,7,0.0104,NA,NA,0.021,30,25,0.56,285.63,16.84
SEP,10,8,0.0094,NA,NA,0.0216,31,25,0.47,197.01,17.21
SEP,10,9,0.0094,0.0092,NA,0.0206,33,25,1.37,96.15,18.22
SEP,10,10,0.0118,0.0349,NA,0.0119,16,23,1.82,79.79,20.61
SEP,10,11,0.0281,0.0113,NA,0.0067,30,NA,2.45,83.26,22.56
SEP,10,12,0.0326,0.0201,NA,0.0061,15,12,4.4,87.35,23.79
SEP,10,13,0.0378,0.004,NA,0.0045,23,20,4.85,63.42,24.45
SEP,10,14,0.0391,0.0096,NA,0.0047,21,13,5.03,70.56,25.15
SEP,10,15,0.0382,0.0249,NA,0.0041,17,13,4.39,66.53,25.39
SEP,10,16,0.0392,NA,NA,0.0037,12,12,3.73,60.2,26.08
SEP,10,17,0.0387,NA,NA,NA,19,12,3.33,59.83,26.26
SEP,10,18,0.0386,NA,NA,NA,18,13,4.17,57.45,25.96
SEP,10,19,0.0343,NA,NA,0.006,16,12,3.61,53.65,24.5
SEP,10,20,0.0277,NA,NA,0.0055,19,9,3.42,59.91,22.73
SEP,10,21,0.0251,NA,NA,NA,7,10,3.06,51.45,21.88
SEP,10,22,0.0212,NA,NA,0.0064,15,11,3.25,46.78,21.27
SEP,10,23,0.0202,NA,NA,0.0069,28,9,2.41,54.86,20.91
SEP,11,0,0.015,0.0193,NA,0.0078,14,10,2.34,96.72,20.14
SEP,11,1,0.0159,0.0796,NA,NA,25,18,3.09,61.14,19.97
SEP,11,2,0.0193,NA,NA,NA,12,15,1.73,70.01,19.7
SEP,11,3,0.0174,0.0214,NA,NA,15,11,2.02,104.86,19.47
SEP,11,4,0.0148,0.0212,NA,0.0085,19,20,1.36,128.15,18.85
SEP,11,5,0.0155,0.0177,NA,0.0087,22,16,1.45,99.69,18.81
SEP,11,6,0.0139,0.033,NA,0.012,21,17,2.17,94.65,18.69
