DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,PBAR
JUL,8,18,7.02,2.14,1.1,9.53,25.2,15.02,2.66,212.87,20.5,623.08
JUL,8,19,7.17,2.06,0.95,8.18,4.85,4.66,2.88,199.67,21.58,623.25
JUL,8,20,10.18,1.88,0.74,5.71,7.79,8.75,2.41,187.89,21.12,623.55
JUL,8,21,8.61,2.14,0.67,5.66,17.44,NA,1.92,138.09,21.29,624.1
JUL,8,22,8.43,1.59,0.58,5.22,8.71,3.61,2.69,118.6,20.96,624.82
JUL,8,23,11.52,1.93,0.52,3.67,6.1,3.58,3.28,108.46,20.64,625.19
JUL,9,0,8.41,42.82,0.55,5.97,14.65,4.06,4.04,80.25,19.77,625.38
JUL,9,1,7.39,91.94,0.65,4.79,29.82,16.5,3.86,71.12,19.02,625.1
JUL,9,2,11.02,91.32,0.62,3.18,4.55,13.86,2.95,85.77,18.65,624.69
JUL,9,3,10.32,20,0.49,2.65,7.26,8.65,2.03,112.64,18.41,624.51
JUL,9,4,10.9,19.82,0.49,2.84,NA,3.64,1.55,83.41,18.59,624.41
JUL,9,5,8.93,11.25,0.5,4.98,3.09,5.46,2.15,111.42,18.48,624.43
JUL,9,6,6.34,7.72,0.56,5.93,6.79,5.79,2.78,102.49,18.28,624.59
JUL,9,7,2.78,8.55,0.67,9.63,14.54,7.46,2.2,104.2,18.32,624.88
JUL,9,8,3.79,6.1,0.72,8.56,18.55,15.29,2.61,103.9,18.54,625.12
JUL,9,9,6.32,5.37,0.72,7.32,16.44,11.79,1.44,112.45,19.81,625.2
JUL,9,10,9.47,6.9,0.71,6.24,14.71,10.81,1.21,124.99,21.32,625.07
JUL,9,11,11.53,24.95,0.69,5.86,25.22,9.62,2.16,99.83,21.75,624.94
JUL,9,12,16.69,24.89,1.19,4.38,11.27,17.7,1.77,92.45,22.83,624.72
JUL,9,13,25.69,42.51,1.11,5.62,22.11,9.04,1.41,154.1,24.95,624.4
JUL,9,14,29.37,13.26,0.76,2.64,167.01,19.15,1.8,163.31,25.77,623.95
JUL,9,15,25.22,6.99,0.65,2.47,50.51,15.2,2.14,160.03,25.94,623.23
JUL,9,16,18.26,3.26,0.64,2.97,9.12,12.77,2.79,155.6,25.14,622.86
JUL,9,17,14.99,3.61,0.61,4.16,18.47,9.67,1.26,77.18,24.73,622.63
JUL,9,18,15.86,7.24,0.73,6.29,8.89,7.46,1.74,141.23,25.05,622.49
JUL,9,19,21.71,7.27,0.77,5.45,26.59,6.06,4.79,219.16,22.93,623.1
JUL,9,20,20.82,2.8,0.7,4.75,18.77,5.05,3.67,203.14,20.94,623.9
JUL,9,21,19.65,2.4,0.57,2.63,16.68,5.27,4.03,141.52,19.38,625.23
JUL,9,22,20.98,3.31,0.55,3.15,9.48,7.88,2.59,90.17,17.31,626.18
JUL,9,23,26.4,2.99,0.53,4.53,5.94,8.87,2.64,248.97,16.25,626.25
JUL,10,0,20.93,2.44,0.53,5.15,5.92,6.77,2.89,282.66,16.24,625.85
JUL,10,1,29.57,2.22,0.49,3.11,8.76,6.73,2.07,278.36,16.37,626.01
JUL,10,2,27.07,2.05,0.49,5.73,6.33,7.38,1.03,218.16,16.36,626.23
JUL,10,3,24.1,1.85,0.47,5.72,6.19,9.86,0.73,149.18,16.4,625.83
JUL,10,4,16.53,2.03,0.5,8.61,7.63,7.24,1.2,176.43,16.36,625.7
JUL,10,5,15.74,1.93,0.52,7.19,8.04,6.99,1.81,226.48,16.27,625.65
JUL,10,6,10.47,1.82,0.59,11.42,9.99,10.52,1.18,125.42,15.84,626.01
JUL,10,7,3.59,2.8,0.73,17.48,14.12,8.68,1.52,73.89,15.58,626.17
JUL,10,8,8.18,19.11,0.89,15.27,29.8,18.63,1.58,102.12,16.39,626.51
JUL,10,9,16.07,13.13,0.85,11.31,21.52,34.51,2.11,139.61,18.55,626.45
JUL,10,10,26.58,35.87,0.95,13.38,28.22,10.44,1.42,164.81,21.1,626.37
JUL,10,11,46.4,58.33,1.29,9.64,50.94,34.45,1.57,141.77,22.99,626.11
JUL,10,12,46.05,19.15,1.03,3.81,17.04,30.99,1.93,140.03,24.37,625.7
JUL,10,13,55.18,29.47,1.23,5.76,11.32,9.49,1.88,177.49,25.86,625.24
JUL,10,14,53.33,29.85,1.06,5.65,15.47,10.41,1.82,146.32,27.29,624.8
JUL,10,15,51.43,21.34,0.89,3.3,10.7,18.73,2.07,138.44,28.24,624.21
JUL,10,16,49.84,9.32,0.58,3.33,12.18,15.24,2.95,115.45,29.47,623.59
JUL,10,17,52.94,4.73,0.56,NA,8.85,8.74,3.27,94.42,30.28,623.16
JUL,10,18,62.86,5.4,0.56,NA,7.18,10.13,3.11,60.14,30.18,623.09
JUL,10,19,60.18,11.76,0.62,2.31,10.68,11.04,2.83,66.12,29.89,622.93
JUL,10,20,49.44,25.27,0.55,6.34,23.03,11.52,2.72,66.03,28.59,623.26
JUL,10,21,39.25,3.61,0.57,6.45,10.55,16.05,2.53,55,27.24,623.55
JUL,10,22,35.09,3.26,0.51,3.34,19.52,6.36,3.78,55.42,25.34,624.33
JUL,10,23,31.27,32.24,0.57,3.09,21.9,16.43,3.22,56.74,24,625.03
JUL,11,0,18.46,85.22,0.55,9.15,26.31,19.21,3.7,84.91,22.79,625.17
JUL,11,1,15.55,49.83,0.54,7.91,34.95,24.25,3.69,80.05,21.85,625.09
JUL,11,2,21.09,22.17,0.79,3.74,27.78,26.25,3.32,50.51,20.92,624.94
JUL,11,3,25.97,10.33,0.89,NA,14.75,13.16,3.67,49.02,20.7,624.98
JUL,11,4,23.17,26.83,1.52,1.36,15.21,11.61,3.3,50.75,20.75,624.66
JUL,11,5,21.47,11.05,0.72,3.22,15.99,10.61,2.11,53.24,20.23,624.88
JUL,11,6,19.69,4.96,0.56,3.28,11.22,10.61,1.56,60.4,19.85,624.82
JUL,11,7,13.32,16.49,0.93,8.67,14.01,9.42,1.26,88.42,19.75,625.17
JUL,11,8,11.55,35.25,0.81,9.16,21.73,16.72,1.84,86.67,20.1,625.55
JUL,11,9,14.83,29.14,0.87,5.23,27.53,24.25,3.04,81.45,21.39,625.53
JUL,11,10,30.53,27.28,1.13,NA,12.19,21.73,4.04,65.88,22.04,625.52
JUL,11,11,35.68,22.82,0.94,NA,13.45,10.76,3.43,71.96,23.58,625.26
JUL,11,12,40.39,26.42,1.13,1.55,11.35,11.85,3.73,74.4,25.63,625.07
JUL,11,13,43.35,31.92,0.65,3.01,21.9,12.33,5.11,85.19,26.92,624.52
JUL,11,14,42.67,48.01,0.67,4.19,44.3,33.51,5.45,90.02,28.26,624.06
JUL,11,15,43.01,35.69,0.88,1.48,23.97,33,5.56,74.12,29.06,623.41
JUL,11,16,41.09,21.12,0.94,1.07,14.05,15.85,4.34,62.38,29.38,622.94
JUL,11,17,39.02,11.92,0.58,NA,7.91,12.8,4.6,71.42,29.52,622.34
JUL,11,18,34.32,8.88,0.89,4.25,23.27,15.92,3.98,128.24,26.39,622.71
JUL,11,19,27.25,5.49,0.62,3.66,40.44,4.59,4.04,221.52,21.24,623.46
JUL,11,20,11.19,6.49,1.13,13.74,10.89,15.45,1.39,124.32,21.77,623.61
JUL,11,21,5.92,51.11,1.03,10.98,12.94,20.36,2.53,73.86,22.92,624.12
JUL,11,22,15.41,34.26,0.86,4,9.13,11.89,2.97,49.11,22.6,624.67
JUL,11,23,17.73,12.31,0.76,3.62,6.61,9.18,3.08,59.29,22.03,625.22
JUL,12,0,12.04,34.74,1.2,7.6,10.22,7.24,2.41,53.05,21.71,625.27
JUL,12,1,12.53,80.68,2.61,4.23,15.18,6.32,3.25,59.85,21.55,625.07
JUL,12,2,7.69,53.12,1.3,6.39,11.64,8.16,1.57,87.62,20.45,624.94
JUL,12,3,4.53,76.78,0.74,5.43,19.43,16.27,2.56,82.83,19.85,624.78
JUL,12,4,4.37,53.45,0.53,5.14,16.07,12.56,2.58,81.81,19.33,624.72
JUL,12,5,7.18,80.12,0.57,7.58,11.33,11.57,2.6,83.74,19.31,624.68
JUL,12,6,3.39,66.43,0.61,8.57,24.16,15.36,2.83,82.83,19.27,624.73
JUL,12,7,5.28,87.29,0.78,7.27,12.37,21.62,2.32,63.6,19.49,625
JUL,12,8,4.25,89.72,0.91,9.29,12.9,11.94,1.85,88.24,20.58,625.44
JUL,12,9,14.03,70.41,0.93,NA,12.38,24.99,3.75,74.85,22.01,625.47
JUL,12,10,22.3,50.72,0.55,NA,7.54,5.81,4.36,78.4,22.99,625.63
JUL,12,11,27.61,27.98,0.54,NA,10.51,7.72,3.75,80.05,24.23,625.47
JUL,12,12,33.26,13.89,0.53,NA,6.29,18.21,3.24,87.67,25.46,625.05
JUL,12,13,34.66,12.59,0.61,3.15,15,6.71,2.19,112.85,26.5,624.56
