DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,12,8,0.010,0.014,1.23,0.0242,48,11,16.67,1.78,104.35,63.95
OCT,12,9,0.018,0.018,0.99,0.0188,42,20,18.77,2.54,101.25,61.11
OCT,12,10,0.029,0.013,0.92,0.0139,45,15,21.22,1.98,122.86,59.43
OCT,12,11,0.042,0.009,1.84,0.0158,43,18,23.48,1.39,182.46,56.88
OCT,12,12,0.053,0.006,0.93,0.0115,37,26,25.55,1.28,211.55,50.62
OCT,12,13,0.069,0.015,0.87,0.0104,34,20,27.27,1.2,171.66,39.54
OCT,12,14,0.073,0.030,0.91,0.0149,41,25,28.67,1.33,172.42,30.87
OCT,12,15,0.061,0.010,0.74,0.0088,34,34,29.79,1.71,117.38,21.75
OCT,12,16,0.060,0.006,0.77,0.0099,28,15,30.26,1.57,127.69,20.87
OCT,12,17,0.049,0.002,0.83,0.0106,68,20,27.53,5.27,155.7,36.35
OCT,12,18,0.032,0.001,0.90,0.0158,97,16,25.22,4.89,160.84,43.07
OCT,12,19,0.032,0.001,0.84,0.011,39,13,24.6,4.6,153.22,49.55
OCT,12,20,0.032,0.010,0.73,0.0087,33,9,23.39,4.7,92.93,54.6
