DATOS MÓVILES 2020_DIF,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppb]
MZO,8,12,41.08,28.37,28.5,1.64,34,21,13.64
MZO,8,13,50.40,30.97,27.84,1.67,27,20,13.7
MZO,8,14,55.86,34.1,26.63,1.7,23,25,10.04
MZO,8,15,59.86,38.09,25.24,1.72,23,26,7.23
MZO,8,16,53.07,42.51,24.6,1.71,28,23,8.1
MZO,8,17,52.20,46.63,22.88,1.7,30,18,8.32
MZO,8,18,47.90,49.39,21.95,1.68,28,15,10.19
MZO,8,19,32.56,49.12,21.66,1.7,34,16,23.52
MZO,8,20,7.13,44.87,21.46,1.79,59,14,46.82
MZO,8,21,4.29,39.11,21.54,1.88,78,24,47.44
MZO,8,22,11.93,33.62,21.5,1.92,76,18,30.86
MZO,8,23,16.91,28.25,21.61,1.93,71,20,16.82
MZO,9,0,13.36,23.29,21.65,1.93,64,27,21.2
MZO,9,1,22.57,19.58,21.66,1.91,51,23,9.42
MZO,9,2,24.64,16.68,21.57,1.89,42,18,6.57
MZO,9,3,24.00,15.6,21.57,1.83,32,15,6.03
MZO,9,4,24.74,17.81,21.57,1.69,26,13,6.28
MZO,9,5,21.43,19.95,21.52,1.58,21,12,8.66
MZO,9,6,5.21,19.11,21.58,1.52,24,11,27.94
MZO,9,7,3.54,17.44,21.55,1.54,29,16,29.59
MZO,9,8,4.39,16.32,21.23,1.59,42,19,31.47
MZO,9,9,11.88,14.98,21.02,1.64,49,26,25.35
MZO,9,10,21.72,14.61,20.57,1.68,46,28,14.53
MZO,9,11,28.14,15.13,20.81,1.72,39,22,14.53
MZO,9,12,39.59,16.99,20.94,1.75,34,23,12.8
MZO,9,13,53.20,20.96,20.73,1.77,30,24,7.54
MZO,9,14,60.78,27.9,20.65,1.76,25,27,7.2
MZO,9,15,61.67,35.17,20.62,1.74,23,28,7.35
MZO,9,16,63.41,42.55,20.62,1.7,29,25,6.52
MZO,9,17,60.59,48.64,20.52,1.66,31,25,7.37
MZO,9,18,56.34,52.96,20.44,1.62,33,17,6.73
MZO,9,19,53.31,56.11,20.35,1.61,43,14,11.93
MZO,9,20,20.28,53.7,20.24,1.66,64,15,42.42
MZO,9,21,32.61,51.12,20.06,1.68,77,18,20.26
MZO,9,22,32.53,47.59,19.95,1.68,65,18,12.63
MZO,9,23,31.05,43.76,19.85,1.68,53,14,11.52
MZO,10,0,24.39,38.89,19.56,1.7,45,18,18.55
MZO,10,1,13.89,33.05,19.37,1.72,47,17,24.63
MZO,10,2,21.18,28.66,19.19,1.71,45,18,12.27
MZO,10,3,23.15,24.89,19.09,1.69,34,19,8.48
MZO,10,4,23.65,25.31,19.09,1.6,28,15,7.37
MZO,10,5,26.55,24.55,19.1,1.57,26,12,5.54
MZO,10,6,25.88,23.72,19.04,1.56,22,11,6.41
MZO,10,7,20.21,22.36,18.94,1.56,21,12,12.24
MZO,10,8,14.99,21.19,18.86,1.58,26,15,18.22
MZO,10,9,21.35,22.12,18.74,1.59,34,11,16.14
MZO,10,10,26.82,22.83,18.66,1.63,37,14,11.07
MZO,10,11,29.82,23.66,18.37,1.66,35,18,10.86
MZO,10,12,33.25,24.86,18.18,1.69,34,12,11.91
MZO,10,13,38.34,26.33,18.56,1.72,28,16,13.19
MZO,10,14,41.86,28.33,19.24,1.75,25,19,13.57
MZO,10,15,48.06,31.81,19.56,1.75,24,22,11.82
MZO,10,16,50.87,36.3,20.2,1.73,30,26,12.69
MZO,10,17,53.69,40.34,20.99,1.72,37,23,12.5
MZO,10,18,53.60,43.69,22.09,1.72,39,23,14.45
MZO,10,19,44.72,45.55,22.85,1.74,52,26,20.87
MZO,10,20,12.49,42.95,22.9,1.85,70,22,49.9
MZO,10,21,25.54,41.35,23.7,1.9,92,24,22.09
MZO,10,22,32.32,40.16,23.93,1.89,85,22,12.8
MZO,10,23,27.62,37.61,24.67,1.88,85,22,13.97
MZO,11,0,25.42,34.43,25.13,1.86,82,32,10.8
MZO,11,1,25.61,30.92,25.66,1.83,63,25,9.89
MZO,11,2,33.24,28.37,25.88,1.8,49,21,5.6
MZO,11,3,42.82,28.13,25.98,1.75,36,14,4.68
MZO,11,4,28.94,30.19,26.1,1.6,28,11,6.21
MZO,11,5,33.00,31.12,26.56,1.52,26,12,12.13
MZO,11,6,36.67,31.67,26.74,1.51,25,17,12.61
MZO,11,7,5.35,28.88,27.06,1.53,27,19,28.36
MZO,11,8,3.78,26.18,27.42,1.62,43,22,31.19
MZO,11,9,11.49,24.41,27.76,1.69,57,27,25.47
MZO,11,10,23.37,23.18,27.99,1.73,55,30,16.29
MZO,11,11,29.48,21.51,28.15,1.77,45,25,16.85
MZO,11,12,38.19,22.67,28.3,1.81,38,23,18.32
MZO,11,13,46.70,24.38,30.86,1.84,37,23,20.98
MZO,11,14,56.74,26.89,30.85,1.86,50,29,11.47
MZO,11,15,61.29,33.88,31.39,1.83,40,26,9.76
MZO,11,16,61.51,41.1,31.26,1.77,35,27,10.17
MZO,11,17,59.97,47.16,30.75,1.71,34,23,7.92
MZO,11,18,60.81,51.84,29.93,1.68,38,22,6.34
MZO,11,19,52.55,54.72,29.28,1.66,44,19,12.3
MZO,11,20,23.10,52.83,29.15,1.69,57,18,37.16
MZO,11,21,22.17,49.77,28.38,1.72,67,19,36.91
MZO,11,22,14.04,44.43,28.7,1.87,83,19,37.83
MZO,11,23,22.11,39.53,28.11,1.88,79,28,17.68
MZO,12,0,24.90,34.96,27.55,1.86,64,24,12.17
MZO,12,1,23.35,30.38,27.09,1.85,52,19,12.51
MZO,12,2,19.84,25.26,26.99,1.83,44,17,13.51
MZO,12,3,7.62,19.64,27.04,1.81,38,14,28.21
MZO,12,4,7.29,17.67,27.12,1.75,35,12,27.23
MZO,12,5,3.03,15.27,26.77,1.69,35,13,28.85
MZO,12,6,3.16,13.91,26.69,1.53,36,12,26.25
MZO,12,7,3.32,11.56,26.52,1.58,39,9,29.94
MZO,12,8,3.34,8.87,26.33,1.76,82,15,34.94
MZO,12,9,8.44,7,26.17,1.86,104,24,32.52
MZO,12,10,21.26,7.18,26.12,1.92,80,27,25.59
MZO,12,11,46.84,12.08,26.03,1.94,60,29,10.19
MZO,12,12,54.65,18,25.79,1.95,50,27,7.25
MZO,12,13,60.07,25.13,22.78,1.97,44,27,7.98
MZO,12,14,62.93,32.6,22.08,1.98,34,21,7.85
MZO,12,15,61.55,39.88,21.16,1.92,26,18,6.33
MZO,12,16,64.20,47.49,20.48,1.75,28,19,5.98
MZO,12,17,65.17,54.58,20.11,1.66,36,17,6.36
MZO,12,18,65.62,60.13,19.81,1.62,38,20,6.2
MZO,12,19,50.08,60.53,19.57,1.62,46,20,14.94
MZO,12,20,28.37,57.25,19.57,1.65,64,21,32.08
MZO,12,21,34.00,53.99,19.58,1.67,79,23,23.4
MZO,12,22,36.68,50.71,18.98,1.67,77,21,12.25
MZO,12,23,34.80,47.36,18.74,1.67,64,21,11.52
MZO,13,0,28.95,42.96,18.59,1.66,54,19,14.37
MZO,13,1,13.73,36.53,18.42,1.68,56,20,31.94
MZO,13,2,5.71,29.04,18.28,1.69,62,24,38.62
MZO,13,3,23.07,25.66,18.17,1.68,58,27,21.4
MZO,13,4,29.48,25.8,18.09,1.63,47,23,10.12
MZO,13,5,25.30,24.72,18.01,1.59,43,23,10.25
MZO,13,6,10.73,21.47,17.82,1.59,41,21,24.49
MZO,13,7,10.16,18.39,17.64,1.61,46,23,29.11
MZO,13,8,7.66,15.73,17.49,1.7,79,25,37.63
MZO,13,9,13.17,15.66,17.38,1.78,93,34,38.39
MZO,13,10,30.89,18.81,17.27,1.79,79,40,21.09
MZO,13,11,46.34,21.71,17.18,1.8,57,35,9.75
MZO,13,12,54.70,24.87,17.13,1.8,51,28,7.41
MZO,13,13,63.44,29.63,17.2,1.81,49,23,8.39
MZO,13,14,72.70,37.38,17.89,1.83,43,23,10.16
MZO,13,15,72.19,45.14,18.18,1.83,50,24,8.62
MZO,13,16,63.07,52.06,18.3,1.76,59,25,10.83
MZO,13,17,62.51,58.23,18.34,1.68,61,21,9.81
MZO,13,18,59.51,61.81,18.42,1.67,65,22,11.4
MZO,13,19,44.57,61.59,18.55,1.68,72,22,15.68
MZO,13,20,39.77,59.72,18.7,1.7,86,23,13.12
MZO,13,21,36.65,56.37,18.81,1.71,123,23,15.07
MZO,13,22,34.02,51.54,19.17,1.69,99,19,11.3
MZO,13,23,31.45,46.44,20.09,1.67,81,18,13.08
MZO,14,0,33.53,42.75,21.7,1.67,57,19,10.37
MZO,14,1,30.00,38.69,21.86,1.65,39,17,10.17
MZO,14,2,25.00,34.37,21.96,1.62,33,13,9.39
MZO,14,3,17.17,30.95,22.02,1.6,21,10,20.21
MZO,14,4,16.19,28,22.03,1.58,24,10,20.81
MZO,14,5,9.44,24.6,22,1.57,22,12,26.46
MZO,14,6,9.52,21.54,22.04,1.57,22,12,22.37
MZO,14,7,2.55,17.93,22.32,1.6,27,11,33.82
MZO,14,8,4.34,14.28,22.62,1.64,40,16,34.67
MZO,14,9,12.26,12.06,22.88,1.69,47,22,30.22
MZO,14,10,28.20,12.46,23.12,1.72,48,25,15.34
MZO,14,11,36.40,14.86,23.51,1.75,40,26,16.36
MZO,14,12,40.63,17.92,23.93,1.77,34,27,16.75
MZO,14,13,46.58,22.56,25.16,1.8,26,25,14.81
MZO,14,14,64.42,29.42,27.08,1.83,34,26,14.47
MZO,14,15,73.59,38.3,28.86,1.84,40,31,16.16
MZO,14,16,65.44,45.94,29.5,1.81,40,32,11.3
MZO,14,17,57.92,51.65,29.79,1.78,36,26,10.47
MZO,14,18,52.92,54.74,29.8,1.77,46,24,10.4
MZO,14,19,41.83,55.42,29.73,1.75,56,23,10.61
MZO,14,20,28.66,53.92,29.59,1.73,66,24,11.26
MZO,14,21,28.21,51.62,29.44,1.72,58,14,12.75
MZO,14,22,34.91,47.94,29.14,1.69,58,18,7.57
MZO,14,23,32.85,42.84,28.33,1.64,105,26,7.42
