DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 promedio 8 hrs.,SO2 promedio 24hrs,CO promedio 8hrs.,NO2 horario,PM10 promedio ponderado 12hrs.,PM2.5 promedio ponderado 12 hrs.
JUL,15,4,20.01,23.98,14.36,0.275,9.31,50,21
JUL,15,5,19.77,21.99,14.08,0.253,9.12,47,20
JUL,15,6,12.37,20.83,13.98,0.232,12.76,41,19
JUL,15,7,8.9,18.32,13.96,0.255,15.59,44,18
JUL,15,8,12.26,17.06,13.8,0.295,13.65,49,18
JUL,15,9,24.8,17.74,13.59,0.332,9.79,51,20
JUL,15,10,36.09,19.59,12.86,0.36,8.32,50,20
JUL,15,11,46.84,22.63,11.45,0.387,8.77,51,20
JUL,15,12,55.07,27.01,10.84,0.408,7.07,54,22
JUL,15,13,62.62,32.37,10.61,0.422,6.82,47,22
JUL,15,14,68.07,39.33,10.52,0.427,7.24,27,22
JUL,15,15,73.99,47.47,10.45,0.41,7.46,25,29
JUL,15,16,73.34,55.1,10.16,0.376,8.29,21,26
JUL,15,17,72.88,61.11,9.87,0.347,7.71,27,21
JUL,15,18,73.47,65.78,9.78,0.323,7.59,34,23
JUL,15,19,66.42,68.23,9.88,0.299,8.67,41,19
JUL,15,20,54.43,68.15,10.02,0.286,8.24,61,16
JUL,15,21,47.99,66.32,10.18,0.281,10.5,61,13
JUL,15,22,39.54,62.76,10.4,0.268,7.38,47,10
JUL,15,23,29.93,57.25,10.44,0.262,9.87,38,11
JUL,16,0,30.22,51.86,10.44,0.254,7.74,33,12
JUL,16,1,22.77,45.6,10.6,0.247,8.3,32,13
JUL,16,2,18.4,38.71,10.76,0.24,8,29,14
JUL,16,3,13.57,32.11,10.93,0.235,9.66,34,16
JUL,16,4,15.48,27.24,11.05,0.226,9.06,38,19
JUL,16,5,21.29,23.9,11.22,0.216,7.22,38,23
JUL,16,6,17,21.08,11.33,0.224,8.76,39,21
JUL,16,7,12.86,18.95,11.36,0.246,10.98,49,22
JUL,16,8,17.27,17.33,11.45,0.278,9.12,53,24
JUL,16,9,24.58,17.56,11.6,0.308,7.92,53,28
JUL,16,10,30.99,19.13,11.77,0.341,8.15,54,24
JUL,16,11,43.03,22.81,11.84,0.386,7.82,49,22
JUL,16,12,51.93,27.37,11.82,0.412,6.29,52,21
JUL,16,13,63.75,32.68,11.81,0.417,4.83,44,21
JUL,16,14,75.57,40,11.91,0.416,6.03,33,20
JUL,16,15,82.33,48.68,12.47,0.395,6.73,33,23
JUL,16,16,68.14,55.04,12.55,0.366,6.58,32,30
JUL,16,17,59.58,59.41,12.46,0.339,7.2,23,28
JUL,16,18,59.1,62.93,12.31,0.306,6.34,19,20
JUL,16,19,42.48,62.86,12.06,0.261,10.13,50,17
JUL,16,20,27.04,59.75,11.83,0.251,17.53,54,15
JUL,16,21,21.86,54.51,11.77,0.265,16.5,57,14
JUL,16,22,20.97,47.69,11.71,0.262,7.83,71,12
