DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
JULIO,2,16,0.057,0.04,0.01,0.835,27,0.005
JULIO,2,17,0.063,0.046,0.01,0.82,30,0.005
JULIO,2,18,0.058,0.049,0.01,0.803,36,0.005
JULIO,2,19,0.047,0.051,0.01,0.803,45,0.008
JULIO,2,20,0.045,0.051,0.01,0.804,105,0.007
JULIO,2,21,0.038,0.05,0.009,0.841,89,0.009
JULIO,2,22,0.042,0.05,0.009,0.844,61,0.005
JULIO,2,23,0.033,0.048,0.009,0.846,43,0.006
JULIO,3,0,0.037,0.045,0.009,0.82,29,0.004
JULIO,3,1,0.034,0.042,0.008,0.8,22,0.005
JULIO,3,2,0.031,0.038,0.008,0.802,20,0.005
JULIO,3,3,0.029,0.036,0.009,0.789,18,0.005
JULIO,3,4,0.023,0.033,0.009,0.783,18,0.006
JULIO,3,5,0.022,0.031,0.009,0.748,19,0.006
JULIO,3,6,NA,NA,0.009,0.747,18,0.007
JULIO,3,7,0.011,NA,0.009,0.754,15,0.009
JULIO,3,8,0.015,NA,0.009,0.78,21,0.01
JULIO,3,9,0.022,NA,0.009,0.81,33,0.01
JULIO,3,10,0.032,NA,0.009,0.832,35,0.008
JULIO,3,11,0.039,NA,0.009,0.858,40,0.007
JULIO,3,12,0.046,NA,0.009,0.865,36,0.004
JULIO,3,13,0.054,NA,0.009,0.871,32,0.004
JULIO,3,14,0.059,0.035,0.009,0.875,33,0.004
JULIO,3,15,0.063,0.041,0.009,0.871,27,0.004
JULIO,3,16,0.064,0.048,0.008,0.862,30,0.005
JULIO,3,17,0.066,0.053,0.008,0.843,36,0.005
JULIO,3,18,0.07,0.058,0.008,0.823,42,0.005
JULIO,3,19,0.058,0.06,0.008,0.8,51,0.005
JULIO,3,20,0.047,0.06,0.008,0.8,51,0.007
JULIO,3,21,0.043,0.059,0.01,0.937,57,0.012
JULIO,3,22,0.037,0.056,0.011,0.986,68,0.011
JULIO,3,23,0.032,0.052,0.011,0.992,59,0.008
JULIO,4,0,0.029,0.048,0.011,0.981,47,0.007
JULIO,4,1,0.032,0.043,0.011,0.975,40,0.006
JULIO,4,2,0.037,0.039,0.011,0.969,25,0.005
JULIO,4,3,0.031,0.036,0.011,0.961,21,0.006
JULIO,4,4,0.024,0.033,0.011,0.946,22,0.008
JULIO,4,5,0.024,0.031,0.011,0.798,18,0.008
JULIO,4,6,0.016,0.028,0.011,0.744,17,0.009
JULIO,4,7,0.01,0.025,0.011,0.747,21,0.013
JULIO,4,8,0.015,0.024,0.011,0.781,30,0.012
JULIO,4,9,0.022,0.022,0.011,0.802,34,0.008
JULIO,4,10,0.032,0.022,0.011,0.821,36,0.006
JULIO,4,11,0.044,0.023,0.011,0.837,46,0.005
JULIO,4,12,0.055,0.027,0.011,0.851,50,0.005
JULIO,4,13,0.061,0.032,0.011,0.866,46,0.005
JULIO,4,14,0.068,0.038,0.011,0.871,45,0.005
JULIO,4,15,0.072,0.046,0.011,0.865,44,0.006
JULIO,4,16,0.082,0.055,0.011,0.845,51,0.006
JULIO,4,17,0.073,0.061,0.012,0.831,58,0.005
JULIO,4,18,0.054,0.064,0.016,1.057,65,0.012
JULIO,4,19,0.05,0.064,0.016,1.075,62,0.01
JULIO,4,20,0.049,0.064,0.016,1.081,56,0.008
JULIO,4,21,0.035,0.06,0.014,1.11,55,0.013
JULIO,4,22,0.034,0.056,0.013,1.125,57,0.011
JULIO,4,23,0.035,0.051,0.013,1.137,53,0.011
JULIO,5,0,0.036,0.046,0.013,1.13,43,0.008
JULIO,5,1,0.041,0.042,0.013,1.118,38,0.005
JULIO,5,2,0.044,0.04,0.013,0.869,29,0.004
JULIO,5,3,0.039,0.039,0.013,0.834,22,0.004
JULIO,5,4,0.036,0.037,0.013,0.815,19,0.005
JULIO,5,5,0.036,0.038,0.013,0.771,17,0.005
JULIO,5,6,0.029,0.037,0.013,0.749,21,0.007
JULIO,5,7,0.028,0.036,0.013,0.731,22,0.007
JULIO,5,8,0.026,0.035,0.013,0.743,22,0.008
JULIO,5,9,0.035,0.034,0.013,0.767,21,0.007
JULIO,5,10,0.039,0.034,0.013,0.784,29,0.005
JULIO,5,11,0.042,0.034,0.013,0.801,35,0.005
JULIO,5,12,0.046,0.035,0.013,0.813,42,0.004
JULIO,5,13,0.055,0.038,0.013,0.824,41,0.004
JULIO,5,14,0.064,0.042,0.013,0.834,41,0.004
JULIO,5,15,0.064,0.046,0.013,0.834,31,0.004
JULIO,5,16,0.067,0.051,0.012,0.821,23,0.004
JULIO,5,17,0.07,0.056,0.012,0.805,29,0.004
JULIO,5,18,0.068,0.059,0.008,0.8,39,0.006
JULIO,5,19,0.047,0.06,0.008,0.83,51,0.007
JULIO,5,20,0.033,0.058,0.009,0.875,56,0.014
