DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
ENERO,10,14,0.069,0.031,0.006,NA,55,0.005
ENERO,10,15,0.07,0.038,0.006,NA,53,0.004
ENERO,10,16,0.068,0.046,0.006,NA,51,0.005
ENERO,10,17,0.061,0.052,0.007,NA,52,0.006
ENERO,10,18,0.05,0.056,0.007,NA,55,0.009
ENERO,10,19,0.049,0.058,0.007,NA,60,0.012
ENERO,10,20,0.054,0.059,0.007,NA,111,0.014
ENERO,10,21,0.038,0.057,0.007,NA,109,0.016
ENERO,10,22,0.032,0.053,0.007,NA,103,0.015
ENERO,10,23,0.029,0.048,0.007,NA,92,0.014
ENERO,11,0,0.022,0.042,0.007,NA,89,0.016
ENERO,11,1,0.026,0.038,0.007,NA,80,0.01
ENERO,11,2,0.031,0.035,0.006,NA,67,0.008
ENERO,11,3,0.024,0.032,0.006,NA,59,0.012
ENERO,11,4,0.019,0.028,0.006,NA,54,0.014
ENERO,11,5,0.018,0.025,0.006,NA,55,0.015
ENERO,11,6,0.017,0.023,0.006,NA,56,0.02
ENERO,11,7,0.008,0.021,0.006,NA,57,0.021
ENERO,11,8,0.007,0.019,0.006,NA,73,0.019
ENERO,11,9,0.008,0.016,0.006,NA,79,0.018
ENERO,11,10,0.018,0.015,0.006,NA,86,0.018
ENERO,11,11,0.032,0.016,0.006,NA,90,0.014
ENERO,11,12,0.049,0.02,0.007,NA,86,0.009
ENERO,11,13,0.067,0.026,0.007,NA,71,0.007
ENERO,11,14,0.078,0.033,0.007,NA,69,0.007
ENERO,11,15,0.072,0.041,0.007,NA,67,0.007
ENERO,11,16,0.062,0.048,0.007,NA,55,0.005
ENERO,11,17,0.064,0.055,0.007,NA,51,0.006
ENERO,11,18,0.056,0.06,0.007,NA,52,0.011
ENERO,11,19,0.031,0.06,0.006,NA,62,0.025
ENERO,11,20,0.019,0.056,0.006,NA,76,0.029
ENERO,11,21,0.014,0.049,0.006,NA,124,0.029
ENERO,11,22,0.034,0.044,0.006,NA,144,0.013
ENERO,11,23,0.015,0.037,0.006,NA,122,0.024
ENERO,12,0,0.008,0.03,0.006,NA,121,0.026
ENERO,12,1,0.014,0.024,0.007,NA,108,0.022
ENERO,12,2,0.012,0.018,0.007,NA,108,0.02
ENERO,12,3,0.013,0.016,0.007,NA,113,0.018
ENERO,12,4,0.013,0.016,0.007,NA,108,0.02
ENERO,12,5,0.018,0.016,0.007,NA,100,0.017
ENERO,12,6,0.017,0.014,0.007,NA,96,0.019
ENERO,12,7,0.025,0.015,0.007,NA,94,0.019
ENERO,12,8,0.06,0.022,0.007,NA,102,0.017
ENERO,12,9,0.025,0.023,0.007,NA,113,0.019
ENERO,12,10,0.031,0.025,0.007,NA,114,0.015
ENERO,12,11,0.048,0.03,0.008,NA,106,0.01
ENERO,12,12,0.069,0.037,0.012,NA,105,0.014
ENERO,12,13,0.094,0.046,0.015,NA,108,0.013
ENERO,12,14,0.088,0.055,0.016,NA,103,0.012
ENERO,12,15,0.068,0.06,0.016,NA,84,0.004
ENERO,12,16,0.069,0.062,0.016,NA,69,0.006
ENERO,12,17,0.074,0.068,0.017,NA,63,0.006
ENERO,12,18,0.074,0.073,0.017,NA,63,0.005
ENERO,12,19,0.052,0.074,0.017,NA,80,0.016
ENERO,12,20,0.017,0.067,0.017,NA,134,0.035
ENERO,12,21,0.041,0.06,0.017,NA,138,0.01
ENERO,12,22,0.036,0.054,0.017,NA,124,0.008
ENERO,12,23,0.04,0.05,0.017,NA,121,0.007
ENERO,13,0,0.035,0.046,0.017,NA,111,0.008
ENERO,13,1,0.038,0.042,0.017,NA,95,0.005
ENERO,13,2,0.039,0.037,0.017,NA,80,0.004
ENERO,13,3,0.036,0.035,0.018,NA,69,0.007
ENERO,13,4,0.036,0.038,0.019,NA,62,0.006
ENERO,13,5,0.035,0.037,0.02,NA,64,0.007
ENERO,13,6,0.034,0.037,0.02,NA,59,0.007
ENERO,13,7,0.026,0.035,0.021,NA,51,0.008
ENERO,13,8,0.021,0.033,0.021,NA,52,0.013
ENERO,13,9,0.023,0.031,0.021,NA,57,0.01
ENERO,13,10,0.036,0.031,0.021,NA,61,0.007
ENERO,13,11,0.039,0.031,0.02,NA,61,0.006
ENERO,13,12,0.042,0.032,0.017,NA,57,0.008
ENERO,13,13,0.048,0.034,0.014,NA,57,0.007
ENERO,13,14,0.052,0.036,0.013,NA,55,0.008
ENERO,13,15,0.056,0.04,0.014,NA,55,0.007
ENERO,13,16,0.059,0.045,0.014,NA,56,0.006
ENERO,13,17,0.053,0.048,0.015,NA,57,0.007
ENERO,13,18,0.049,0.05,0.015,NA,56,0.006
ENERO,13,19,0.044,0.051,0.016,NA,57,0.006
ENERO,13,20,0.033,0.05,0.017,NA,60,0.008
ENERO,13,21,0.032,0.047,0.017,NA,59,0.008
ENERO,13,22,0.026,0.044,0.018,NA,58,0.011
ENERO,13,23,0.026,0.04,0.018,NA,54,0.008
ENERO,14,0,0.029,0.037,0.017,NA,51,0.006
ENERO,14,1,0.03,0.034,0.017,NA,47,0.006
ENERO,14,2,0.028,0.031,0.017,NA,38,0.007
ENERO,14,3,0.027,0.029,0.017,NA,34,0.006
ENERO,14,4,0.023,0.028,0.016,NA,32,0.008
ENERO,14,5,0.023,0.027,0.015,NA,30,0.008
ENERO,14,6,0.018,0.026,0.014,NA,33,0.011
ENERO,14,7,0.016,0.024,0.014,NA,39,0.013
ENERO,14,8,0.013,0.022,0.014,NA,59,0.015
ENERO,14,9,0.017,0.021,0.014,NA,61,0.014
ENERO,14,10,0.028,0.021,0.013,NA,70,0.01
ENERO,14,11,0.04,0.022,0.013,NA,72,0.007
ENERO,14,12,0.046,0.025,0.012,NA,67,0.005
ENERO,14,13,0.05,0.029,0.012,NA,58,0.005
ENERO,14,14,0.054,0.033,0.011,NA,50,0.007
ENERO,14,15,0.06,0.039,0.012,NA,57,0.009
ENERO,14,16,0.074,0.046,0.012,NA,58,0.007
ENERO,14,17,0.068,0.052,0.012,NA,57,0.005
ENERO,14,18,0.062,0.057,0.011,NA,61,0.009
ENERO,14,19,0.039,0.057,0.011,NA,61,0.019
