DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
SEP,8,9,0.018,0.012,NA,0.844,34,0.007
SEP,8,10,0.028,0.012,0.01,0.873,34,0.006
SEP,8,11,0.037,0.015,0.01,0.886,36,0.004
SEP,8,12,0.038,0.018,0.01,0.908,81,0.004
SEP,8,13,0.038,0.022,0.01,0.914,76,0.003
SEP,8,14,0.042,0.027,0.011,0.915,62,0.003
SEP,8,15,0.045,0.032,0.01,0.883,56,0.004
SEP,8,16,0.048,0.037,0.01,0.838,45,0.003
SEP,8,17,0.05,0.041,0.01,0.803,37,0.004
SEP,8,18,0.04,0.042,0.01,0.779,48,0.005
SEP,8,19,0.015,0.039,0.01,0.878,49,0.016
SEP,8,20,0.006,0.035,0.01,1.089,61,0.02
SEP,8,21,NA,NA,0.011,1.165,74,0.013
SEP,8,22,0.013,NA,0.011,1.211,74,0.011
SEP,8,23,0.009,NA,0.011,1.248,66,0.009
