DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
DICIEMBRE,7,16,0.061,0.008,0.004,NA,54,27.62,3.40,101.75,17.32,490.05
DICIEMBRE,7,17,0.062,0.008,0.004,NA,57,27.25,3.04,113.80,17.79,287.53
DICIEMBRE,7,18,0.063,0.009,0.007,NA,54,25.56,2.04,117.17,20.69,81.92
DICIEMBRE,7,19,0.045,0.011,0.029,NA,124,21.63,1.02,165.91,23.61,5.03
DICIEMBRE,7,20,0.023,0.029,0.020,NA,154,20.86,3.27,54.01,29.78,2.27
DICIEMBRE,7,21,0.026,0.048,0.008,NA,80,19.98,4.73,53.93,38.35,2.31
DICIEMBRE,7,22,0.038,0.008,0.010,NA,70,17.30,2.35,91.06,44.95,5.40
DICIEMBRE,7,23,0.019,0.007,0.008,NA,57,15.32,3.13,125.23,54.26,2.62
DICIEMBRE,8,0,0.023,0.006,0.006,NA,42,15.04,3.53,104.05,57.37,3.97
DICIEMBRE,8,1,0.026,0.006,0.004,NA,45,13.92,3.96,86.94,60.97,4.22
DICIEMBRE,8,2,0.024,0.006,0.004,NA,44,12.74,4.53,87.99,65.35,2.70
DICIEMBRE,8,3,0.021,0.009,0.004,NA,39,11.46,4.36,76.93,71.11,2.79
DICIEMBRE,8,4,0.019,0.012,0.005,NA,38,10.65,3.51,94.31,76.45,5.78
DICIEMBRE,8,5,0.016,0.009,0.005,NA,37,9.96,3.45,97.48,80.07,4.41
DICIEMBRE,8,6,0.014,0.006,0.006,NA,34,9.25,3.19,93.90,82.45,6.54
DICIEMBRE,8,7,0.011,0.005,0.007,NA,45,8.90,3.27,106.81,83.94,6.06
DICIEMBRE,8,8,0.011,0.006,0.008,NA,57,9.32,3.09,96.77,83.56,49.42
