DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
MAYO,5,20,0.044,0.005,0.028,2.06,67,28.416317,1.627113,256.108167,16.1018,11.692452
MAYO,5,21,0.014,0.004,0.049,2.44,130,26.9777,1.53284,249.130333,18.8178,9.981933
MAYO,5,22,0.043,0.004,0.016,1.37,107,26.380383,2.807623,226.209667,20.808367,43.230838
MAYO,5,23,0.045,0.004,0.008,1.32,78,25.000317,2.885843,250.9115,24.328817,37.560423
MAYO,6,0,0.042,0.009,0.012,1.35,61,23.53145,1.499403,249.610167,26.8765,23.696203
MAYO,6,1,0.028,0.005,0.018,1.37,44,22.221,1.208783,210.9365,28.43545,23.470027
MAYO,6,2,0.036,0.004,0.012,1.32,66,21.433817,1.65671,221.193,30.95515,21.529118
MAYO,6,3,0.043,0.004,0.007,1.27,73,20.4744,1.940167,220.395667,34.213533,14.410522
MAYO,6,4,0.036,0.004,0.011,1.27,59,19.982067,2.241448,256.77615,38.505483,33.779073
MAYO,6,5,0.025,0.004,0.018,1.36,68,18.549267,1.558837,270.8665,41.0303,31.959872
MAYO,6,6,0.019,0.004,0.023,1.52,70,18.115617,1.636243,187.1341,45.226367,21.083608
MAYO,6,7,0.026,0.006,0.035,1.96,97,17.689833,1.292842,142.274667,48.322983,34.034557
MAYO,6,8,0.017,0.006,0.028,1.79,112,21.8312,1.64538,245.065,43.959783,216.470333
MAYO,6,9,0.030,0.005,0.024,1.60,114,25.34965,1.965613,240.750667,35.65285,457.142167
MAYO,6,10,0.052,0.004,0.012,1.40,72,28.047783,1.79035,224.073933,28.4333,677.177
MAYO,6,11,0.066,0.004,0.011,1.36,64,29.687583,2.270463,269.1374,23.506617,874.9325
