DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,29,17,0.0371,0.0006,2.889,NA,47,6.07,94.3,19.87
SEP,29,18,0.0317,0.0003,2.971,NA,39,5.18,90.45,18.44
SEP,29,19,0.0305,#¡VALOR!,2.939,NA,37,4.64,80.71,16.96
SEP,29,20,0.0273,#¡VALOR!,2.933,NA,31,4.51,73.27,15.5
SEP,29,21,0.0282,#¡VALOR!,2.894,NA,27,4.07,71.11,14.72
SEP,29,22,0.026,0.0018,2.846,NA,30,4.45,64.13,13.48
SEP,29,23,0.0259,0.0026,2.815,NA,29,4.1,76.57,12.64
SEP,30,0,0.027,0.001,2.798,NA,26,4.33,79.66,12.21
SEP,30,1,0.0268,0.0022,2.864,NA,17,3.7,64.94,11.83
SEP,30,2,0.0263,0.0053,2.774,NA,19,3.84,62.9,11.35
SEP,30,3,0.0234,0.0086,2.766,NA,20,3.18,62.17,10.29
SEP,30,4,0.0242,0.0032,2.767,NA,20,3.56,73.17,10.04
SEP,30,5,0.0208,0.0029,2.782,NA,18,3.59,73.11,9.08
SEP,30,6,0.0172,0.0025,2.878,NA,21,2.8,63.43,8.68
SEP,30,7,0.0103,0.0066,2.916,NA,31,1.82,155.64,7.93
SEP,30,8,0.009,0.018,2.992,NA,53,2.44,117.37,11.16
SEP,30,9,0.023,0.0046,2.918,NA,41,4,84.26,14.71
SEP,30,10,0.033,0.0028,2.84,NA,30,5.24,78.83,16.61
SEP,30,11,0.039,0.0027,2.825,NA,26,4.64,72.64,18.69
SEP,30,12,0.0437,0.003,2.851,NA,25,4.75,70.4,20.23
SEP,30,13,0.0477,0.0029,2.889,NA,22,4.41,69.96,21.85
SEP,30,14,0.0499,0.0029,2.864,NA,28,3.81,80.89,23.53
SEP,30,15,0.0501,0.0026,2.856,NA,25,3.79,88.14,25.06
SEP,30,16,0.0521,0.0026,2.808,NA,23,3.26,108.16,25.9
SEP,30,17,0.0532,0.0037,2.832,NA,28,2.65,132.86,26.07
SEP,30,18,0.0529,0.0043,2.896,NA,24,2.97,106.54,25.06
SEP,30,19,0.0385,0.0055,3.154,NA,37,3.34,123.49,22.54
SEP,30,20,0.0358,0.0252,2.998,NA,37,4.23,44.15,20.58
SEP,30,21,0.0334,0.0265,2.894,NA,33,3.72,58.4,18.62
SEP,30,22,0.0283,0.026,2.95,NA,34,2.73,86.99,17.11
SEP,30,23,0.0242,0.0058,2.877,NA,32,2.82,94.4,15.04
