DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,11,15,0.0388,0.0199,2.749,NA,19,4.2,71.96,25.24
SEP,11,16,0.0362,0.0173,2.786,NA,22,4.36,68.03,25.78
SEP,11,17,0.0332,0.014,2.776,NA,21,5.15,50.87,24.83
SEP,11,18,0.0302,0.0061,2.787,NA,21,5.34,48.56,23.34
SEP,11,19,0.0273,0.0057,2.839,NA,18,3.81,67.15,23.12
SEP,11,20,0.0215,0.0062,2.842,NA,24,4.09,88.26,21.05
SEP,11,21,0.0191,0.0068,2.792,NA,22,3.67,61.77,19.54
SEP,11,22,0.0164,0.0082,2.773,NA,35,2.8,83.72,18.54
SEP,11,23,0.015,0.0095,2.728,NA,15,3.51,99.29,17.31
SEP,12,0,0.0174,0.0056,2.668,NA,12,3.06,101.19,16.6
SEP,12,1,0.0142,0.01,2.662,NA,6,2.9,80.06,16.2
SEP,12,2,0.0114,0.0221,2.653,NA,14,2.95,77.19,16.04
SEP,12,3,0.0147,0.0147,2.641,NA,18,3.77,84.53,16.06
SEP,12,4,0.0138,0.0097,2.63,NA,13,3.5,102.9,15.82
SEP,12,5,0.0156,0.0041,2.642,NA,11,3.3,102.56,15.53
SEP,12,6,0.0153,0.0035,2.719,NA,13,3.26,87.19,15.31
SEP,12,7,0.0108,0.0041,2.768,NA,19,3.2,97.72,14.99
SEP,12,8,0.0085,0.004,2.882,NA,28,3.03,96.33,15.96
SEP,12,9,0.0164,0.0187,2.801,NA,28,3.84,80.07,19.43
SEP,12,10,0.0251,0.0099,2.771,NA,22,3.88,92.85,21.52
SEP,12,11,0.0302,0.0111,2.729,NA,19,3.4,92.95,23.1
SEP,12,12,0.0352,0.0098,2.693,NA,17,3.14,120.67,24.17
SEP,12,13,0.0415,0.0047,2.693,NA,14,2.69,140.38,25.44
SEP,12,14,0.0477,0.0113,2.651,NA,21,2.39,181.97,27.02
SEP,12,15,0.0523,0.0226,2.695,NA,29,2.34,166.73,27.37
SEP,12,16,0.0585,0.0355,2.769,NA,38,1.89,195.98,27.97
SEP,12,17,0.0468,0.0205,2.856,NA,30,2.64,211.92,26.28
SEP,12,18,0.039,0.0028,2.863,NA,19,2.6,226.64,26.34
SEP,12,19,0.0308,0.0097,3,NA,24,3.69,236.87,23.1
SEP,12,20,0.0214,0.0756,2.875,NA,29,2.98,86.87,22.42
SEP,12,21,0.0263,0.0069,2.828,NA,33,3.14,199.05,20.81
SEP,12,22,0.0231,0.0039,2.798,NA,34,2.41,205.12,19.1
SEP,12,23,0.0203,0.0029,2.769,NA,22,1.69,164.29,18.51
SEP,13,0,0.0185,0.0021,2.708,NA,17,2.02,124.38,17.91
SEP,13,1,0.0191,0.0027,2.721,NA,27,1.62,130.37,17.83
SEP,13,2,0.0221,0.003,2.683,NA,16,1.97,138.8,17.95
SEP,13,3,0.0155,0.0077,2.693,NA,21,2.67,112.07,17.75
SEP,13,4,0.0099,0.0094,2.703,NA,19,2.53,89.85,16.94
SEP,13,5,0.0063,0.0075,2.7,NA,20,2.11,107.84,16.27
SEP,13,6,0.0071,0.0064,2.807,NA,18,1.83,91.37,15.76
SEP,13,7,0.0036,0.0049,2.81,NA,21,1.67,133.62,15.85
SEP,13,8,0.0044,0.004,2.84,NA,20,2.17,114.82,16.7
SEP,13,9,0.0092,0.0131,2.891,NA,35,2.41,119.11,18.46
SEP,13,10,0.0196,0.0077,2.795,NA,23,3.24,104.64,21.51
SEP,13,11,0.0292,0.0081,2.745,NA,16,3.66,99.25,24.13
SEP,13,12,0.0293,0.0102,3.022,NA,13,2.98,162.6,24.27
SEP,13,13,0.0297,0.0114,2.861,NA,14,3.56,80.54,23.88
SEP,13,14,0.0306,0.0257,2.839,NA,22,4.39,58.86,24.48
SEP,13,15,0.0314,0.0226,2.775,NA,20,4.24,82.46,25.59
SEP,13,16,0.0332,0.0134,2.76,NA,17,4.3,76.48,25.72
SEP,13,17,0.032,0.023,2.746,NA,14,3.52,73.93,26.3
SEP,13,18,0.0316,0.0199,2.815,NA,17,3.32,70.5,26.37
SEP,13,19,0.032,0.0097,2.778,NA,16,3.94,50.68,24.56
SEP,13,20,0.0263,0.0105,2.81,NA,25,3.87,53.39,21.89
SEP,13,21,0.0247,0.012,2.815,NA,29,3.64,73,20.49
SEP,13,22,0.0252,0.0088,2.743,NA,26,3.38,52.88,19.35
SEP,13,23,0.0208,0.0077,2.741,NA,22,2.72,102.07,17.47
