DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,4,12,0.040,0.003,2.94,NA,20,21.68,4.39,72.48,41.34
OCT,4,13,0.041,0.003,2.94,NA,23,23.42,4.63,71.29,33.52
OCT,4,14,0.043,0.004,2.94,NA,22,24.64,4.27,92.52,29.75
OCT,4,15,0.040,0.020,2.95,NA,25,26.38,3.99,80.9,21.46
OCT,4,16,0.043,0.004,2.90,NA,42,26.68,4.22,83.93,19.68
OCT,4,17,0.045,0.003,2.88,NA,27,25.73,5.61,86.16,17.46
OCT,4,18,0.047,0.003,2.91,NA,35,23.92,5.51,82.99,18.27
OCT,4,19,0.042,0.009,2.92,NA,45,20.63,5.6,56.79,24.52
OCT,4,20,0.041,0.016,2.91,NA,46,18.37,6.34,46.58,27.01
OCT,4,21,0.044,0.015,2.91,NA,33,17.12,5.26,48.47,25.06
OCT,4,22,0.042,0.008,2.89,NA,30,15.5,4.09,55.8,29.27
OCT,4,23,0.042,0.002,2.86,NA,26,14.02,3.87,76.7,35.61
OCT,5,0,0.038,0.003,2.86,NA,27,12.96,3.46,61.51,42.36
OCT,5,1,0.038,0.003,2.83,NA,25,12.23,2.94,96.73,51.16
OCT,5,2,0.033,0.002,2.82,NA,27,10.5,3.07,94.46,60.83
OCT,5,3,0.028,0.002,2.83,NA,27,9.4,2.54,113.54,67.09
OCT,5,4,0.020,0.003,2.85,NA,34,8.14,2.1,130.84,72.48
OCT,5,5,0.020,0.010,2.85,NA,50,7.56,2.38,130.36,72.96
OCT,5,6,0.016,0.010,2.90,NA,47,7.27,2.09,128.62,74.02
OCT,5,7,0.012,0.009,2.97,NA,62,6.91,1.63,121.18,77.24
OCT,5,8,0.015,0.007,2.99,NA,66,9.93,2.63,131.1,73.99
OCT,5,9,0.023,0.009,3.02,NA,58,13.51,3.67,115.62,62.27
OCT,5,10,0.034,0.007,2.92,NA,54,16.31,4.26,91.9,48.76
OCT,5,11,0.045,0.002,2.90,NA,31,18.6,4.4,70.54,36.72
OCT,5,12,0.050,0.002,2.87,NA,28,20.23,3.84,82.57,33.34
OCT,5,13,0.052,0.009,2.88,NA,38,21.77,4.75,67.66,28.57
OCT,5,14,0.055,0.002,2.87,NA,33,23.29,4.57,75.56,23.38
OCT,5,15,0.057,0.002,2.88,NA,28,24.73,3.43,108.79,21.04
OCT,5,16,0.058,0.001,2.88,NA,36,24.92,3.34,105.33,20.73
OCT,5,17,0.056,0.002,2.91,NA,38,25.19,3.49,106.18,20.07
OCT,5,18,0.047,0.014,3.06,NA,45,23.71,4.07,79.05,21.27
OCT,5,19,0.041,0.008,2.99,NA,45,21.13,5.36,52.11,26.68
OCT,5,20,0.039,0.003,2.94,NA,37,18.99,5.56,45.45,31.7
OCT,5,21,0.041,0.003,2.90,NA,39,17.51,5.8,46.03,33.85
OCT,5,22,0.041,0.001,2.86,NA,29,16.49,5.66,48.07,33.33
OCT,5,23,0.037,0.038,2.88,NA,32,15.12,3.05,92.27,38.09
OCT,6,0,0.031,0.003,2.87,NA,42,13.09,2.69,77.99,45.73
OCT,6,1,0.032,0.002,2.84,NA,25,12.67,2.45,79.99,48.18
OCT,6,2,0.033,0.003,2.84,NA,22,12.69,2.53,82.82,46.94
OCT,6,3,0.030,0.012,2.84,NA,34,11.75,2.65,123.71,49.72
OCT,6,4,0.028,0.016,2.85,NA,54,11.32,2.79,108.79,51.29
OCT,6,5,0.029,0.003,2.84,NA,33,11.65,2.74,73.88,48.94
OCT,6,6,0.024,0.003,2.96,NA,34,11.38,2.25,111.95,50.19
OCT,6,7,0.011,0.007,3.00,NA,42,10.79,2.23,125.1,54.68
OCT,6,8,0.010,0.006,3.03,NA,45,10.87,2.44,126.37,56.37
OCT,6,9,0.027,0.005,3.00,NA,46,13.95,3.97,84.26,46.59
OCT,6,10,0.040,0.003,2.92,NA,34,16.24,4.72,75.21,36.83
OCT,6,11,0.044,0.003,2.87,NA,34,19.69,3.59,97.64,30.17
OCT,6,12,0.050,0.003,2.84,NA,34,22.28,4.25,102.78,22.56
OCT,6,13,0.053,0.003,2.87,NA,34,23.75,4.5,90.62,19.64
OCT,6,14,0.055,0.003,2.89,NA,34,25.16,4.53,87.39,16.57
OCT,6,15,0.055,0.009,2.88,NA,31,26.59,3.91,98.2,14.06
OCT,6,16,0.060,0.006,2.90,NA,37,26.08,3.82,98.63,15.76
OCT,6,17,0.050,0.003,2.98,NA,44,24.22,4.24,81.97,15.5
OCT,6,18,0.044,0.007,2.95,NA,41,22.64,5.21,50.35,14.95
OCT,6,19,0.041,0.004,2.94,NA,34,20.9,5.29,49.93,16.41
OCT,6,20,0.044,0.004,2.88,NA,36,19.55,5.97,46.41,18.23
OCT,6,21,0.044,0.006,2.89,NA,40,18.49,5.1,59.48,22.18
OCT,6,22,0.041,0.002,2.93,NA,26,16.77,3.8,86.55,25.46
OCT,6,23,0.036,0.002,2.86,NA,27,15.81,3.99,91.66,27.45
OCT,7,0,0.030,0.003,2.90,NA,30,14.78,2.82,92.69,27.31
OCT,7,1,0.033,0.003,2.89,NA,38,14.13,3.09,85.3,29.15
OCT,7,2,0.026,0.007,2.89,NA,32,13.45,2.86,102.38,30.32
OCT,7,3,0.024,0.006,2.89,NA,30,12.73,2.38,114.81,33.25
OCT,7,4,0.023,0.005,2.88,NA,33,12,2.19,125.51,36.18
