DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,,,","
,,,,,,,,,,,,,","
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,"RADSOL,"
DIC,7,21,12.75,4.29,0.24,NA,29.06,2.65,243.11,19.97,58.17,NA,"2.01,"
DIC,7,22,7.94,4.65,0.37,NA,29.11,1.68,205.04,18.35,65.24,NA,"2.08,"
DIC,7,23,5.33,5.13,0.21,NA,37.15,1.65,178.97,17.5,65.55,NA,"2.16,"
DIC,8,0,6.05,4.5,0.26,NA,19.98,1.87,236.42,17.25,68.62,NA,"2.17,"
DIC,8,1,11.41,4.88,0.1,NA,16.72,2.14,247.54,16.84,73.14,NA,"2.15,"
DIC,8,2,15.1,4.89,0.03,NA,15.72,2.19,223.41,16.35,78.48,NA,"2.16,"
DIC,8,3,17.47,4.7,0.01,NA,12.94,2.14,231,16.12,80.73,NA,"2.14,"
DIC,8,4,17.1,4.34,0.01,NA,8.06,2.29,255.19,15.25,81.9,NA,"2.25,"
DIC,8,5,13.55,4.22,0.01,NA,10.32,1.8,255.29,14.53,83.22,NA,"2.29,"
DIC,8,6,8.67,4.06,0.03,NA,8.86,1.74,293.31,13.96,83.55,NA,"2.35,"
DIC,8,7,1.95,4.24,0.16,NA,18.33,1.82,313.44,13.24,86.73,NA,"2.36,"
DIC,8,8,NA,5.87,0.52,NA,28.18,1.39,114.78,12.82,92.68,NA,"43.01,"
DIC,8,9,0.6,9.56,0.41,NA,43.31,1.84,136.82,14.53,88.89,NA,"114.99,"
DIC,8,10,8.5,8.19,0.22,NA,16.04,1.51,163.33,19.91,76.47,NA,"311.86,"
DIC,8,11,17.71,4.98,0.14,NA,19.89,2.63,279.73,21.08,71.79,NA,"463.45,"
DIC,8,12,25.53,4.34,0.12,NA,2.72,2.19,281.71,23.72,55.51,NA,"536.5,"
DIC,8,13,30.33,3.95,0.04,NA,6.15,2.79,259.04,24.42,48.97,NA,"612.13,"
DIC,8,14,32.74,3.73,0.16,NA,14.83,3.21,286.54,24.64,46.88,NA,"533.22,"
DIC,8,15,34.09,3.57,0.04,NA,14.67,2.74,239.23,24.55,44.35,NA,"339.03,"
DIC,8,16,35.03,3.67,0.05,NA,11.96,2.4,254.33,25.94,40.17,NA,"363.11,"
DIC,8,17,32.74,3.65,0.01,NA,14.94,3.42,238.71,26.16,34.82,NA,"305.12,"
DIC,8,18,27.96,3.71,0.01,NA,39.91,2.72,238.64,24.42,37.6,NA,"92.57,"
DIC,8,19,12.84,4.66,0.37,NA,36.98,1.76,206.53,21.16,43.33,NA,"2.74,"
DIC,8,20,0.2,5.89,0.87,NA,58.19,1.52,212.61,19.39,49.07,NA,"2.04,"
DIC,8,21,0.2,7.31,0.96,NA,69.42,1.55,223.08,18.64,53.51,NA,"2.08,"
DIC,8,22,NA,7.49,0.99,NA,57.08,1.54,8.34,18.32,57.9,NA,"2.09,"
DIC,8,23,NA,8.79,0.65,NA,58.11,1.51,165.07,17.25,59.88,NA,"2.09,"
DIC,9,0,NA,8.37,0.85,NA,60.76,1.78,227.12,17.18,62.65,NA,"2.13,"
DIC,9,1,NA,6.44,0.63,NA,51.92,1.47,291.88,17.14,62.15,NA,"2.1,"
DIC,9,2,NA,6,0.45,NA,44.78,1.39,314.23,16.01,64.44,NA,"2.18,"
DIC,9,3,NA,7.08,0.31,NA,36.89,1.65,91.13,14.74,73.92,NA,"2.28,"
DIC,9,4,NA,9.41,0.27,NA,24.71,1.51,127.99,13.49,82.07,NA,"2.31,"
DIC,9,5,NA,7.55,0.3,NA,28.07,1.51,125.23,12.75,84.51,NA,"2.35,"
DIC,9,6,NA,11.99,0.28,NA,37.38,1.54,117.98,12.3,86.88,NA,"2.38,"
DIC,9,7,NA,8.62,0.31,NA,30.5,1.81,115.91,12.09,87.13,NA,"2.47,"
DIC,9,8,NA,6.93,0.37,NA,33.55,1.71,83.73,12.47,86.17,NA,"48.77,"
DIC,9,9,1.65,7.29,0.4,NA,17.62,2.4,109.24,16.35,73.56,NA,"223.38,"
DIC,9,10,8.1,14.31,0.37,NA,27.43,3.07,120.15,19.02,65.78,NA,"413.37,"
DIC,9,11,19,7.5,0.3,NA,28.33,2.84,128.34,21.73,56.6,NA,"579.22,"
DIC,9,12,31.37,9.34,0.14,NA,8.51,2.36,127.57,24.37,45.57,NA,"691.64,"
DIC,9,13,38.93,13.98,0.11,NA,16.48,2.2,247.41,26.27,40.07,NA,"674.71,"
DIC,9,14,45.67,6.98,0.14,NA,18.17,2.09,94.26,25.69,38.8,NA,"370.81,"
DIC,9,15,48.68,5.29,0.16,NA,23.12,1.95,354.57,25.93,37.79,NA,"463.11,"
DIC,9,16,43.63,4.13,0.1,NA,19.08,1.9,230.12,26.36,34.62,NA,"325.06,"
DIC,9,17,37.65,3.65,0.18,NA,29.5,1.74,249.41,24.01,38.85,NA,"100.86,"
DIC,9,18,34.78,3.5,0.22,NA,17.44,1.97,275.7,24.47,37.14,NA,"81.89,"
DIC,9,19,8.71,3.5,1.31,NA,34.62,1.7,325.53,21.76,40.82,NA,"2.89,"
DIC,9,20,0.2,4.91,1.75,NA,51.71,1.27,90.25,20.16,48.49,NA,"2,"
DIC,9,21,1.67,5.29,0.59,NA,76.39,1.83,143.8,19.2,55.23,NA,"2.04,"
DIC,9,22,2.25,6.46,0.4,NA,35.84,2.66,70.76,18.76,59.75,NA,"2.07,"
DIC,9,23,8.17,30.37,0.14,NA,28.38,2.98,86.09,17.62,62.51,NA,"2.12,"
DIC,10,0,10.09,3.83,0.07,NA,19.78,4.02,101.09,16.22,68.46,NA,"2.2,"
DIC,10,1,10.56,47.14,0.02,NA,12.45,4.12,92.9,15.67,69.8,NA,"2.23,"
DIC,10,2,11.58,29.54,0.01,NA,20.29,3.92,84.39,15.11,71.65,NA,"2.25,"
DIC,10,3,9,10.88,0.01,NA,16.26,3.99,96.75,13.98,75.73,NA,"2.27,"
DIC,10,4,9.17,4.41,0.02,NA,14.33,3.6,96.83,13.03,80.27,NA,"2.4,"
DIC,10,5,8.41,10.1,0.01,NA,8.87,2.8,98.05,12.65,81.99,NA,"2.36,"
DIC,10,6,9.36,7.54,0.01,NA,11.41,2.44,86.11,12.18,83.11,NA,"2.4,"
DIC,10,7,2.86,6.16,0.19,NA,15.49,2.26,89.78,11.82,84.58,NA,"2.49,"
DIC,10,8,0.2,6.34,0.3,NA,16.58,1.92,91.49,12.03,84.48,NA,"36.38,"
DIC,10,9,0.2,10.58,0.23,NA,16.47,3.49,78.07,14.27,77.59,NA,"176.91,"
DIC,10,10,6.04,23.35,0.1,NA,16.95,5.31,73.28,16.34,67.08,NA,"352.8,"
DIC,10,11,7.9,17.62,0.11,NA,21.11,5.52,79.18,17.64,61.86,NA,"574.64,"
DIC,10,12,10.93,15.15,0.12,NA,15.01,5.01,73.19,19.04,55.86,NA,"632.59,"
DIC,10,13,13.72,24.31,0.11,NA,27.09,5.21,71.25,19.85,52.64,NA,"661.67,"
DIC,10,14,15.38,23.87,0.13,NA,18.25,4.77,84.23,21.08,48.76,NA,"603,"
DIC,10,15,17.08,36.23,0.12,NA,21.62,4.66,78.34,22.38,45.13,NA,"631.06,"
DIC,10,16,19.23,28.64,0.13,NA,29.9,4.56,67.23,23.03,42.69,NA,"481.79,"
DIC,10,17,18.06,18.23,0.12,NA,31.87,4.39,74.99,23,41.61,NA,"293.94,"
DIC,10,18,16.47,8.36,0.19,NA,33.4,4.02,73.4,21.47,46.07,NA,"91.08,"
DIC,10,19,10.06,18.41,0.32,NA,26.7,3.4,55.35,18.97,53.66,NA,"3.08,"
DIC,10,20,6.92,31.03,0.23,NA,32.07,3.16,58.5,17.48,58.41,NA,"2.15,"
DIC,10,21,0.26,7.5,0.23,NA,30.42,3.4,89.59,15.65,65.21,NA,"2.24,"
DIC,10,22,9.03,4.98,0.09,NA,16.17,4.8,101.32,14.02,69.06,NA,"2.32,"
DIC,10,23,10.82,4.7,0.06,NA,17.79,4.96,95.61,12.65,72.94,NA,"2.37,"
DIC,11,0,9.95,3.5,0.03,NA,10.44,4.79,97.7,11.46,76.45,NA,"2.47,"
DIC,11,1,10.14,5.57,0.01,NA,12.61,4.32,88.64,10.39,82.06,NA,"2.53,"
DIC,11,2,11.23,6.17,0.01,NA,8.59,4.82,95.39,10.13,84.07,NA,"2.57,"
DIC,11,3,12.54,4.02,0.01,NA,4.72,4.89,98.33,9.78,85.2,NA,"2.54,"
DIC,11,4,12.93,3.5,0.01,NA,5.56,4.85,87.3,9.73,85.49,NA,"2.54,"
DIC,11,5,10.49,54.21,0.01,NA,13.12,4.84,76.13,10.17,84.07,NA,"2.53,"
DIC,11,6,13.28,12.22,0.01,NA,18.22,4.88,89.56,10.5,82.24,NA,"2.49,"
DIC,11,7,11.01,46.37,0.01,NA,17.6,4.63,81.5,10.42,81.61,NA,"2.55,"
DIC,11,8,9.81,23.41,0.07,NA,21.32,3.89,85.9,10.41,80.94,NA,"14.93,"
DIC,11,9,11.44,3.65,0.05,NA,16.63,4.29,90.82,10.66,79.7,NA,"66.08,"
DIC,11,10,11.33,9.06,0.07,NA,13.86,4.2,81.34,11.34,78.13,NA,"137.49,"
DIC,11,11,15.07,7.53,0.04,NA,8.7,4.1,95.3,14.05,67.97,NA,"527.96,"
DIC,11,12,19.26,12.04,0.03,NA,2.24,3.18,86.52,17.12,56.81,NA,"692.96,"
DIC,11,13,26.05,6.95,0.06,NA,15.27,2.82,103.78,19.65,49.73,NA,"682.44,"
DIC,11,14,36.1,3.5,0.16,NA,20.24,2.92,106.07,21.85,43.84,NA,"593.86,"
