DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
ABRIL,12,12,0.0475,0.0064,1.160,NA,28.54,2.52,246.01,20.15
ABRIL,12,13,0.0511,0.0061,1.135,NA,29.79,3.08,254.51,15.80
ABRIL,12,14,0.0519,0.0059,1.107,NA,30.44,3.47,247.92,13.71
ABRIL,12,15,0.0535,0.0061,1.118,NA,31.27,3.29,261.90,13.74
ABRIL,12,16,0.0541,0.0061,1.091,24,31.68,2.96,217.05,12.98
ABRIL,12,17,0.0542,0.0059,1.111,NA,31.56,3.48,256.13,13.15
ABRIL,12,18,0.0547,0.0060,1.209,NA,30.72,3.72,267.41,14.08
ABRIL,12,19,0.0511,0.0060,1.217,NA,28.66,3.54,262.86,16.33
ABRIL,12,20,0.0425,0.0061,1.272,NA,27.03,3.25,240.07,19.54
ABRIL,12,21,0.0382,0.0061,1.173,18,25.54,3.48,227.24,20.78
ABRIL,12,22,0.0337,0.0058,1.102,5,24.30,3.21,241.71,20.27
ABRIL,12,23,0.0321,0.0058,1.100,23,22.50,3.02,240.29,22.92
ABRIL,13,0,0.0311,0.0058,1.111,12,21.73,3.39,243.24,26.41
ABRIL,13,1,0.0276,0.0062,1.118,15,20.64,2.45,289.17,27.45
ABRIL,13,2,0.0264,0.0070,1.133,17,19.82,2.01,249.43,28.49
ABRIL,13,3,0.0191,0.0077,1.148,36,17.82,1.54,173.55,31.88
ABRIL,13,4,0.0213,0.0079,1.177,33,17.38,1.35,243.83,34.03
ABRIL,13,5,0.0179,0.0071,1.187,17,16.84,1.56,214.72,36.05
ABRIL,13,6,0.0169,0.0073,1.265,22,16.16,1.36,229.51,38.75
ABRIL,13,7,0.0052,0.0087,1.729,36,15.35,1.41,224.48,41.91
ABRIL,13,8,0.0086,0.0087,1.673,44,20.02,1.40,230.79,37.55
ABRIL,13,9,0.0196,0.0094,1.355,34,23.41,2.00,243.37,32.47
ABRIL,13,10,0.0307,0.0088,1.245,38,26.24,1.95,257.91,27.71
ABRIL,13,11,0.0405,0.0084,1.284,23,28.11,2.06,231.19,23.31
ABRIL,13,12,0.0458,0.0079,1.143,28,29.48,2.37,249.69,20.00
ABRIL,13,13,0.0478,0.0073,1.118,32,30.27,3.02,254.41,16.43
ABRIL,13,14,0.0473,0.0068,1.084,4,31.00,3.17,246.94,14.42
ABRIL,13,15,0.0500,0.0068,1.076,11,31.97,2.69,214.38,13.88
ABRIL,13,16,0.0507,0.0070,1.124,18,31.96,3.13,230.51,13.99
ABRIL,13,17,0.0506,0.0071,1.126,26,31.80,3.20,260.98,13.53
ABRIL,13,18,0.0493,0.0069,1.239,17,31.06,3.43,282.38,13.74
ABRIL,13,19,0.0450,0.0070,1.339,28,29.47,3.37,296.69,14.10
ABRIL,13,20,0.0313,0.0075,1.583,36,27.52,2.41,251.77,15.25
ABRIL,13,21,0.0375,0.0079,1.279,43,26.40,3.35,226.29,17.87
ABRIL,13,22,0.0344,0.0071,1.150,60,25.26,2.99,210.19,17.01
ABRIL,13,23,0.0318,0.0275,1.137,46,24.17,4.06,96.35,25.78
ABRIL,14,0,0.0274,0.0368,1.114,30,22.30,4.83,86.41,35.02
ABRIL,14,1,0.0276,0.0327,1.118,28,21.21,4.14,82.06,39.16
ABRIL,14,2,0.0287,0.0415,1.114,32,20.38,2.73,70.21,40.78
ABRIL,14,3,0.0307,0.0150,1.109,42,18.93,1.55,161.75,40.89
