DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MAYO,10,4,0.0224,0.0139,1.305,27,16.15,2.02,185.09,75.87
MAYO,10,5,0.0249,0.0108,1.27,23,15.37,2.65,172.53,77.33
MAYO,10,6,0.017,0.0093,1.39,20,14.87,2.39,262.85,80.02
MAYO,10,7,0.0101,0.0085,1.633,28,15.56,2.05,273.89,80.82
MAYO,10,8,0.0149,0.0087,1.5,38,18.68,2.76,258.43,72.13
MAYO,10,9,0.0266,0.0081,1.416,32,20.75,1.95,207.77,65.14
MAYO,10,10,0.035,0.01,1.422,35,23.73,1.85,147.95,51.93
MAYO,10,11,0.0436,0.0165,1.377,39,24.39,2.61,135.75,49.25
MAYO,10,12,0.0524,0.0272,1.369,47,26.41,2.29,145.02,43.36
MAYO,10,13,0.0555,0.0178,1.34,39,27.91,2.15,131.14,34.65
MAYO,10,14,0.057,0.0124,1.367,46,29.4,1.91,210.19,31.74
MAYO,10,15,0.0595,0.01,1.374,42,29.81,2.43,230.5,29.52
MAYO,10,16,0.0603,0.0087,1.33,31,29.74,2.64,216.96,29.38
MAYO,10,17,0.0599,0.0078,1.332,31,28.74,2.73,242.95,30.37
MAYO,10,18,0.0424,0.0072,1.337,69,24.32,4.87,230.44,39.56
MAYO,10,19,0.0302,0.0066,1.441,48,22.56,4.23,273.69,42.91
MAYO,10,20,0.0315,0.0069,1.377,30,21.21,1.89,205.46,48.03
MAYO,10,21,0.03,0.0068,1.55,33,20.12,3.9,301.67,58.07
MAYO,10,22,0.0325,0.0075,1.537,35,18.89,3.33,303.8,65.39
MAYO,10,23,0.0291,0.0076,1.447,34,18.74,1.92,267.53,66.14
MAYO,11,0,0.0266,0.0078,1.388,38,18.08,1.49,241.13,68.07
MAYO,11,1,0.0207,0.0079,1.358,26,17.78,1.88,157.18,68.82
MAYO,11,2,0.022,0.0096,1.311,30,17.24,1.79,130.82,71.08
MAYO,11,3,0.0232,0.0109,1.319,28,16.77,2.01,115.79,73.32
MAYO,11,4,0.0173,0.0094,1.303,25,16.66,1.92,85.53,73.89
MAYO,11,5,0.0173,0.0087,1.297,20,16.13,1.62,91.73,75.65
MAYO,11,6,0.017,0.0081,1.361,24,15.61,1.17,197.77,77.58
MAYO,11,7,0.0093,0.0083,1.529,33,15.92,1.17,139.55,77.10
MAYO,11,8,0.0103,0.0087,1.567,50,18.12,2.3,99.36,71.81
MAYO,11,9,0.0238,0.0087,1.386,35,21.41,2.82,86.16,60.30
MAYO,11,10,0.0306,0.0086,1.401,29,23.29,2.97,104.56,54.81
MAYO,11,11,0.0402,0.0088,1.41,39,25.21,2.34,135.53,48.33
MAYO,11,12,0.0526,0.0095,1.396,41,28.13,2.17,214.23,39.13
MAYO,11,13,0.0597,0.009,1.398,35,29.1,2.52,230.66,34.31
MAYO,11,14,0.0663,0.0091,1.374,40,29.35,2.61,214.19,31.30
MAYO,11,15,0.0569,0.0088,1.42,50,24.77,3.52,216.24,44.25
MAYO,11,16,0.0377,0.0082,1.403,40,21.83,3.79,220.81,53.01
MAYO,11,17,0.0406,0.0077,1.439,26,21.71,3.79,246.53,59.56
MAYO,11,18,0.0421,0.0079,1.508,36,22.52,2.48,248.22,55.10
MAYO,11,19,0.0433,0.0077,1.516,41,22.32,1.96,228.53,54.36
MAYO,11,20,0.0348,0.0075,1.609,43,21.67,1.62,194.3,56.56
MAYO,11,21,0.023,0.0079,1.673,44,21.16,2.09,165.82,58.43
MAYO,11,22,0.0098,0.0087,1.469,47,20.55,2.35,89.14,59.34
MAYO,11,23,0.0204,0.0086,1.38,36,19.9,2.59,108.25,58.03
MAYO,12,0,0.0207,0.0084,1.359,35,19.32,3.17,92.56,63.94
MAYO,12,1,0.0296,0.0081,1.305,33,18.62,2.73,71.06,67.13
MAYO,12,2,0.0328,0.0082,1.281,21,18.8,2.73,93.2,64.82
MAYO,12,3,0.0323,0.0081,1.275,24,18.63,1.77,105.62,65.85
MAYO,12,4,0.03,0.0079,1.296,22,16.94,2.61,228.18,73.65
