DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
OCTUBRE,8,1,0.0307,0.005,NA,0.6696,11,14.66,3.74,87.03,71.68,2.79
OCTUBRE,8,2,0.0293,0.0051,NA,0.6586,11,13.86,3.25,65.5,74.17,2.87
OCTUBRE,8,3,0.0326,0.0112,NA,0.6619,12,14.5,4.33,63.11,71.70,2.87
OCTUBRE,8,4,0.0330,0.0079,NA,0.6486,16,14.1,4.07,82.95,72.33,2.82
OCTUBRE,8,5,0.0313,0.0057,NA,0.6716,14,13.69,4.14,70.93,72.97,4.82
OCTUBRE,8,6,0.0285,0.0066,NA,0.7216,15,13.5,4.63,60.55,70.57,2.87
OCTUBRE,8,7,0.0307,0.0148,NA,0.7995,14,13.17,4.05,56.29,69.43,10.24
OCTUBRE,8,8,0.0268,0.0079,NA,0.878,24,14.94,2.98,88.34,64.93,144.16
OCTUBRE,8,9,0.0391,0.0052,NA,0.7589,27,17.29,4.69,70.97,54.15,378.02
OCTUBRE,8,10,0.0445,0.0048,NA,0.7388,18,18.94,5.12,70.93,46.52,609.44
OCTUBRE,8,11,0.0472,0.0046,NA,0.7445,19,20.44,5.12,70.58,42.04,777.89
OCTUBRE,8,12,0.0499,0.0046,NA,0.7781,13,22.01,4.63,72.05,39.28,889.16
OCTUBRE,8,13,0.0533,0.0045,NA,0.7605,15,23.53,4.63,70.32,36.65,837.23
OCTUBRE,8,14,0.0535,0.0051,NA,0.772,15,24.97,4.24,74.62,34.93,894.76
OCTUBRE,8,15,0.0530,0.0048,NA,0.7605,17,26.1,4.16,74.14,31.98,793.36
OCTUBRE,8,16,0.0509,NA,NA,0.7449,NA,NA,NA,71.55,29.03,626.78
OCTUBRE,8,17,0.0445,0.0047,NA,0.7368,12,27.06,4.16,89,26.89,417.49
OCTUBRE,8,18,0.0411,0.0046,NA,0.8142,15,25.82,4.03,90.39,31.19,180.13
OCTUBRE,8,19,0.0310,0.0056,NA,0.9346,30,22.99,3.17,71.32,40.18,13.53
OCTUBRE,8,20,0.0283,0.0455,NA,0.9877,28,21.03,4.37,52.25,48.70,2.48
OCTUBRE,8,21,0.0289,0.054,NA,0.8936,34,19.69,4.07,57.12,55.00,2.56
OCTUBRE,8,22,0.0225,0.0129,NA,0.8066,25,17.78,2.28,109.86,62.10,2.63
OCTUBRE,8,23,0.0255,0.0067,NA,0.7424,18,16.44,2.93,75.53,68.68,2.74
OCTUBRE,9,0,0.0250,0.0056,NA,0.7172,19,15.58,2.45,87.85,72.48,2.80
OCTUBRE,9,1,0.0285,0.0052,NA,0.674,10,15.12,3.28,92.4,75.25,2.79
OCTUBRE,9,2,0.0299,0.0049,NA,0.675,13,15.07,2.89,82.68,76.00,2.80
OCTUBRE,9,3,0.0301,0.0049,NA,0.6661,10,15.37,3.1,76.36,74.96,2.82
OCTUBRE,9,4,0.0310,0.0049,NA,0.6572,13,15.81,3.73,79.73,72.60,2.74
OCTUBRE,9,5,0.0317,0.0054,NA,0.6674,7,15.92,3.77,71.69,71.86,2.75
OCTUBRE,9,6,0.0241,0.0049,NA,0.7545,13,15.05,2.87,98.66,75.70,2.79
