DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
SEP,11,10,14.82,NA,20.19041667,12.90375,5.48625,0.385
SEP,11,11,10.33,NA,20.17375,12.93458333,6.21375,0.39875
SEP,11,12,10.55,NA,20.0175,12.91541667,7.37375,0.41875
SEP,11,13,14.22,NA,20.34583333,12.89541667,8.57125,0.44625
SEP,11,14,15.46,NA,20.73708333,12.89958333,9.86375,0.46625
SEP,11,15,17.71,NA,21.44958333,12.90458333,10.81875,0.48
SEP,11,16,15.61,NA,21.59875,12.90416667,11.85,0.47375
SEP,11,17,15.17,NA,21.79333333,12.91291667,12.88375,0.45625
SEP,11,18,15.45,NA,21.70166667,12.90083333,13.4875,0.455
SEP,11,19,16.37,NA,21.64416667,12.89291667,13.35625,0.4725
SEP,11,20,20.3,NA,21.86583333,12.88625,12.61625,0.51
SEP,11,21,19.53,NA,22.335,12.88333333,11.76125,0.5225
SEP,11,22,12.29,NA,23.03125,12.88875,11.15625,0.50625
SEP,11,23,9.87,NA,22.84041667,12.87333333,11.4025,0.465
SEP,12,0,7.06,NA,22.4975,12.86708333,11.375,0.43
SEP,12,1,7.74,NA,23.44916667,12.85125,11.20125,0.39875
SEP,12,2,11.04,15.97777778,26.08916667,12.795,10.93375,0.37
SEP,12,3,14.46,16.06157895,26.50916667,12.6,10.60125,0.34
SEP,12,4,10.63,16.06157895,26.52166667,12.46708333,10.54,0.2825
SEP,12,5,7.83,16.06157895,26.47125,12.40958333,10.87,0.23875
SEP,12,6,9.22,16.06157895,26.605,11.98625,10.8875,0.22625
SEP,12,7,21.73,16.08111111,26.14041667,11.57208333,9.81,0.2875
SEP,12,8,19.38,15.76894737,25.91958333,11.25375,8.855,0.345
SEP,12,9,16.97,15.95052632,25.82333333,11.24958333,7.9925,0.405
SEP,12,10,16.66,16.518,26.12416667,11.65875,7.5575,0.45875
SEP,12,11,12.87,16.40315789,26.61833333,11.86583333,8.06875,0.48375
SEP,12,12,10.92,16.79315789,26.96083333,11.91333333,8.8925,0.50375
SEP,12,13,11.59,16.77578947,26.73916667,11.93833333,9.85875,0.52625
SEP,12,14,10.54,16.51947368,26.63875,11.935,10.80375,0.535
SEP,12,15,9.95,16.15,26.02375,11.92208333,12.17875,0.4825
SEP,12,16,9.78,15.95722222,25.61916667,11.91458333,13.74,0.4375
SEP,12,17,9.88,15.65944444,25.12333333,11.9025,15.34375,0.39875
SEP,12,18,11.28,14.87888889,25.04416667,11.90875,16.87125,0.36375
SEP,12,19,17.58,14.505,25.46958333,11.90333333,17.01125,0.38
SEP,12,20,19.09,14.16611111,25.4925,11.91791667,16.395,0.41375
SEP,12,21,12.98,14.40166667,25.34208333,11.91666667,15.48875,0.415
SEP,12,22,10.28,14.10944444,24.7625,11.9875,14.5775,0.465
SEP,12,23,7.33,13.965,25.00458333,12.13541667,13.96625,0.48125
SEP,13,0,9.07,NA,24.56166667,12.31666667,13.16125,0.495
SEP,13,1,9.87,NA,23.56875,12.68708333,12.13875,0.4825
SEP,13,2,8.57,NA,20.94916667,12.80458333,11.045,0.465
SEP,13,3,7.65,NA,20.40416667,13.0825,10.46125,0.42375
SEP,13,4,9.86,NA,20.17416667,13.3075,10.29,0.37375
SEP,13,5,10.17,NA,20.29833333,13.37125,10.17625,0.35375
SEP,13,6,12.35,NA,20.1825,13.44791667,9.87,0.29875
SEP,13,7,17.36,NA,20.41916667,13.78208333,9.10625,0.29375
