DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
AGO,14,13,NA,14.33388889,23.90583333,17.99166667,8.7,0.4975
AGO,14,14,NA,15.49333333,24.64333333,18.05375,11.02125,0.49125
AGO,14,15,NA,16.3,24.99166667,18.08833333,13.2575,0.44375
AGO,14,16,NA,NA,25.13416667,18.12208333,15.3025,0.39375
AGO,14,17,NA,NA,25.80625,18.24458333,17.06,0.37375
AGO,14,18,NA,NA,26.88166667,18.30958333,17.9,0.3875
AGO,14,19,NA,NA,26.87958333,18.405,17.895,0.4325
AGO,14,20,NA,NA,25.92791667,18.60541667,17.06375,0.475
AGO,14,21,NA,NA,26.85791667,18.79083333,15.315,0.5025
AGO,14,22,NA,NA,27.37291667,18.82166667,13.4625,0.51
AGO,14,23,NA,NA,27.95583333,18.35791667,11.615,0.52625
AGO,15,0,NA,NA,28.7025,18.61416667,10.00375,0.53375
AGO,15,1,18.99,NA,29.58208333,19.24541667,8.37875,0.52125
AGO,15,2,16.93,NA,30.66625,19.47041667,7.525,0.49375
AGO,15,3,NA,NA,31.14875,19.61625,6.97125,0.44625
AGO,15,4,17.06,NA,31.61083333,19.6625,6.75625,0.3925
AGO,15,5,NA,NA,31.69708333,19.865,6.475,0.39125
AGO,15,6,NA,NA,32.06875,20.00583333,6.05625,0.38625
AGO,15,7,NA,NA,33.14291667,20.01125,5.71,0.40625
AGO,15,8,NA,NA,34.38541667,19.05333333,5.19625,0.44125
AGO,15,9,NA,NA,34.59708333,17.315,5.0725,0.48125
AGO,15,10,NA,NA,34.50916667,16.94958333,5.0975,0.5075
AGO,15,11,NA,NA,34.49708333,17.41625,5.99375,0.51375
AGO,15,12,NA,NA,33.65583333,18.19291667,7.2875,0.525
AGO,15,13,NA,NA,33.48041667,19.0075,9.29875,0.54875
AGO,15,14,NA,NA,34.14791667,20.88916667,12.0875,0.62375
AGO,15,15,NA,NA,35.24583333,22.92916667,15.25375,0.66125
AGO,15,16,NA,NA,37.2025,25.33666667,19.48125,0.7325
AGO,15,17,NA,NA,38.56291667,26.74583333,24.135,0.76625
AGO,15,18,NA,NA,39.415,27.31666667,27.56,0.8
AGO,15,19,NA,NA,41.55166667,27.46708333,29.155,0.8425
AGO,15,20,NA,NA,43.07625,27.36458333,29.8425,0.87125
AGO,15,21,NA,NA,42.85958333,27.24041667,29.60875,0.83125
AGO,15,22,15.17,NA,43.36125,27.2625,28.04,0.7575
AGO,15,23,NA,NA,43.37416667,27.27333333,25.21875,0.7
AGO,16,0,NA,NA,43.37416667,27.27333333,21.505,0.59375
AGO,16,1,NA,NA,43.64,26.83125,18.52857143,0.605
AGO,16,2,NA,NA,45.3825,27.13583333,14.65714286,0.58875
AGO,16,3,NA,NA,47.16708333,27.71458333,12.77,0.535
AGO,16,4,NA,NA,48.13333333,28.71208333,12.12571429,0.4925
AGO,16,5,NA,NA,49.04916667,30.16,12.38142857,0.4575
AGO,16,6,NA,NA,49.72,30.72541667,13.45428571,0.43
AGO,16,7,NA,NA,48.9375,31.6375,15.77285714,0.3875
AGO,16,8,NA,NA,48.0725,32.46291667,17.89571429,0.3525
AGO,16,9,NA,NA,47.38541667,32.52,18.81875,0.2425
AGO,16,10,NA,NA,46.8,31.95208333,20.70875,0.17875
AGO,16,11,NA,NA,46.71875,30.775,21.01,0.19125
AGO,16,12,NA,NA,46.8625,29.42416667,20.62125,0.2325
AGO,16,13,NA,NA,45.91666667,28.35916667,19.05,0.25125
AGO,16,14,16.9,NA,44.83708333,27.06833333,17.97,0.2425
AGO,16,15,NA,NA,43.41458333,25.09375,16.86625,0.2325
AGO,16,16,17.39,NA,41.32625,22.76375,16.8525,0.40125
