DATOS HORARIOS 2021_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
MAYO,9,13,0.0601,0.0054,0.798,NA,47,33,27.44,2.71,252.98,38.81,622.85,4.84
MAYO,9,14,0.0669,0.0053,0.762,NA,31,28,29.71,2.27,242.79,32.95,621.83,5.04
MAYO,9,15,0.0709,0.0052,0.747,NA,29,20,30.54,2.59,252.73,29.90,620.99,4.35
MAYO,9,16,0.0743,0.0052,0.716,NA,24,20,30.7,3.13,272.53,28.32,620.16,2.53
MAYO,9,17,0.0645,0.0053,0.765,NA,69,21,28.15,5.49,250.71,32.95,620.10,0.47
MAYO,9,18,0.0495,0.0055,0.873,NA,114,29,25.2,2.37,131.2,41.09,621.23,0.15
MAYO,9,19,0.0463,0.0067,0.978,NA,82,34,21.95,3.24,92.42,59.72,621.93,0.04
MAYO,9,20,0.0429,0.0058,1.078,NA,73,23,20.42,2.76,104,66.50,622.24,0.01
MAYO,9,21,0.0386,0.0122,0.965,NA,40,24,19.79,3.66,147.76,69.07,623.06,0.01
MAYO,9,22,0.0415,0.0059,0.804,NA,33,19,19.16,4.04,167.57,70.02,624.02,0.01
MAYO,9,23,0.0435,0.0058,0.744,NA,13,16,19.47,3.3,181.81,65.02,624.24,0.01
MAYO,10,0,0.0406,0.0055,0.702,NA,19,18,19.13,2.6,239.14,66.60,624.11,0.01
MAYO,10,1,0.038,0.0054,0.681,NA,6,10,18.55,2.15,130.57,70.47,624.21,0.01
MAYO,10,2,0.0334,0.0054,0.686,NA,18,12,18.24,2.14,108.71,73.73,624.08,0.01
MAYO,10,3,0.0288,0.0165,0.715,NA,18,17,18.12,1.58,156.71,75.23,623.55,0.01
MAYO,10,4,0.0251,0.0125,0.696,NA,27,14,17.73,1.89,180.28,74.57,623.24,0.01
MAYO,10,5,0.0261,0.0064,0.682,NA,16,16,16.96,2.47,170.96,76.11,622.96,0.01
MAYO,10,6,0.017,0.0058,0.724,NA,18,15,16.22,1.83,255.9,81.63,622.87,0.01
MAYO,10,7,0.0088,0.0055,0.867,NA,24,17,16.08,1.43,270.66,82.88,623.08,0.09
MAYO,10,8,0.0202,0.0056,0.892,NA,25,18,17.6,2.21,260.44,77.11,623.52,0.54
MAYO,10,9,0.0354,0.0055,0.893,NA,25,18,19.52,1.78,202.5,69.17,623.83,1.42
MAYO,10,10,0.0447,0.0064,0.951,NA,14,22,22.58,1.48,137.67,56.87,623.78,2.60
MAYO,10,11,0.0593,0.0249,0.999,NA,31,26,23.81,1.83,131.67,53.35,623.50,3.65
MAYO,10,12,0.0684,0.0264,0.951,NA,38,43,25.7,2.1,159.94,47.93,622.94,4.71
MAYO,10,13,0.0743,0.0134,0.851,0.0113,36,48,26.93,2.1,147.49,41.23,622.43,4.13
MAYO,10,14,0.0766,0.0084,0.756,0.0089,33,33,28.1,2.09,211.16,36.28,621.83,4.22
MAYO,10,15,0.0771,0.0065,0.727,0.0082,25,24,29.4,2.21,232.36,31.99,621.12,3.81
MAYO,10,16,0.079,0.0056,0.724,0.0072,16,26,29.97,2.11,227.47,30.47,620.45,2.86
MAYO,10,17,0.0768,0.0054,0.76,0.0082,36,22,29.14,2.48,239.84,30.36,620.27,1.27
MAYO,10,18,0.049,0.005,0.716,0.0086,58,20,24.84,6.61,223.74,38.53,620.48,0.38
MAYO,10,19,0.0384,0.0051,0.698,0.0098,35,9,23.48,4.17,258.88,41.44,620.85,0.09
MAYO,10,20,0.0391,0.0051,0.745,0.0111,31,8,22.39,2.28,216.31,46.20,622.30,0.01
MAYO,10,21,0.0439,0.0053,0.713,0.0101,20,8,21.45,2.83,290.78,55.31,622.87,0.01
MAYO,10,22,0.0434,0.0055,0.72,0.0115,30,15,20.33,2.45,294.54,62.34,623.31,0.01
MAYO,10,23,0.0372,0.006,0.716,0.0142,31,7,19.89,1.81,265.88,66.51,623.67,0.01
MAYO,11,0,0.0366,0.0052,0.71,0.0129,19,17,19.42,1.4,253.33,67.65,623.58,0.01
