DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
SEP,13,17,23.59,6.28,0.395,3.75,27,8
SEP,13,18,23.06,6.71,0.372,4.05,27,8
SEP,13,19,22.68,6.96,0.352,3.07,28,8
SEP,13,20,20.87,7.06,0.370,5.58,28,8
SEP,13,21,19.02,6.96,0.342,4.74,28,8
SEP,13,22,17.23,7.78,0.322,3.20,28,8
SEP,13,23,15.23,8.02,0.305,2.75,28,8
SEP,14,0,13.38,8.09,0.291,1.55,28,8
SEP,14,1,12.53,7.85,0.263,1.13,28,8
SEP,14,2,12.02,7.74,0.236,0.30,28,8
SEP,14,3,11.71,7.77,0.212,0.30,28,8
SEP,14,4,11.96,7.57,0.165,0.30,27,8
SEP,14,5,11.29,7.34,0.155,1.14,28,8
SEP,14,6,10.49,7.33,0.157,1.90,27,8
SEP,14,7,9.30,7.41,0.173,3.52,26,8
SEP,14,8,8.59,7.31,0.199,4.52,25,8
SEP,14,9,8.18,7.28,0.257,5.94,24,8
SEP,14,10,8.45,7.26,0.293,4.59,24,8
SEP,14,11,9.27,7.20,0.328,4.67,24,8
SEP,14,12,10.58,7.18,0.371,4.33,24,8
SEP,14,13,13.06,6.99,0.396,3.59,24,8
SEP,14,14,15.84,6.81,0.412,4.00,24,9
SEP,14,15,19.35,6.69,0.410,3.18,24,9
SEP,14,16,22.23,6.57,0.396,1.88,24,9
SEP,14,17,24.61,6.33,0.351,2.58,24,9
SEP,14,18,25.61,5.89,0.324,0.92,24,9
SEP,14,19,25.51,5.62,0.301,0.58,24,9
SEP,14,20,24.76,5.35,0.275,2.47,24,9
SEP,14,21,23.45,4.32,0.262,1.66,24,9
SEP,14,22,21.64,4.41,0.249,3.20,23,9
SEP,14,23,19.41,4.44,0.246,3.13,23,9
SEP,15,0,17.21,4.37,0.240,2.08,23,9
SEP,15,1,15.13,4.26,0.233,1.44,23,8
SEP,15,2,13.31,4.28,0.228,2.60,23,9
SEP,15,3,12.51,4.23,0.218,2.86,23,9
SEP,15,4,12.11,4.14,0.201,2.93,23,9
SEP,15,5,11.60,4.06,0.185,3.56,23,9
SEP,15,6,10.29,4.12,0.169,6.02,23,8
SEP,15,7,10.11,4.14,0.163,9.44,24,8
SEP,15,8,9.72,4.17,0.175,9.54,24,9
SEP,15,9,8.86,4.12,0.191,5.91,23,9
SEP,15,10,10.19,4.11,0.211,4.67,23,9
SEP,15,11,12.22,4.20,0.238,4.23,23,9
SEP,15,12,15.27,4.26,0.254,4.81,23,9
SEP,15,13,19.35,4.36,0.267,4.58,22,9
SEP,15,14,24.96,4.49,0.288,4.50,22,9
SEP,15,15,26.46,4.63,0.290,4.62,22,9
SEP,15,16,27.76,4.63,0.282,4.63,21,9
SEP,15,17,30.99,4.62,0.281,4.60,20,9
SEP,15,18,32.27,4.80,0.276,4.40,20,9
SEP,15,19,32.52,5.02,0.267,3.99,20,9
SEP,15,20,30.96,5.59,0.285,4.93,20,9
SEP,15,21,28.51,5.71,0.313,5.03,20,9
SEP,15,22,25.82,4.74,0.327,4.12,21,9
SEP,15,23,22.95,4.48,0.342,3.11,21,10
SEP,16,0,19.90,4.48,0.354,2.36,22,10
