DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
OCTUBRE,7,7,NA,0.004,1.34,0.013,19,NA,16.08,2.52,103.37,86.81,625.62,NA
OCTUBRE,7,8,NA,0.009,1.22,0.012,30,NA,16.05,2.52,94.97,83.57,625.94,NA
OCTUBRE,7,9,NA,0.013,1.13,0.010,23,NA,17.61,2.61,89.41,74.55,626.29,0.44
OCTUBRE,7,10,NA,0.018,1.07,0.008,28,NA,18.84,3.71,84.58,70.01,626.47,0.76
OCTUBRE,7,11,NA,0.022,1.07,0.007,29,NA,20.07,3.84,91.43,64.71,626.29,1.81
OCTUBRE,7,12,NA,0.027,0.99,0.009,26,NA,21.74,3.83,68.43,58.29,625.88,2.41
OCTUBRE,7,13,NA,0.035,0.99,0.008,34,NA,23.40,3.82,81.98,51.05,625.17,3.08
OCTUBRE,7,14,NA,0.038,0.95,0.008,37,NA,24.57,3.66,88.97,47.62,624.31,3.16
OCTUBRE,7,15,NA,0.040,0.95,0.008,37,NA,25.34,4.09,88.03,45.34,623.42,2.70
OCTUBRE,7,16,NA,0.035,0.92,0.008,38,NA,25.13,4.02,72.11,43.91,622.97,1.23
OCTUBRE,7,17,NA,0.030,0.95,0.008,27,NA,23.58,4.75,54.88,52.43,622.94,NA
OCTUBRE,7,18,NA,0.026,1.08,0.010,27,NA,22.81,4.40,44.79,54.66,623.13,NA
OCTUBRE,7,19,NA,0.021,0.94,0.008,34,NA,20.86,4.47,41.44,61.91,623.50,NA
OCTUBRE,7,20,NA,0.021,0.89,0.006,24,NA,19.79,4.21,47.79,66.16,624.46,NA
OCTUBRE,7,21,NA,0.021,0.83,0.006,9,NA,18.63,3.02,79.73,70.40,625.39,NA
OCTUBRE,7,22,NA,0.021,0.90,0.006,10,NA,17.87,3.13,58.77,71.86,626.13,NA
OCTUBRE,7,23,NA,0.022,0.92,0.007,14,NA,17.51,3.65,51.71,72.09,626.48,NA
OCTUBRE,8,0,NA,0.021,1.10,0.006,33,NA,17.32,3.02,46.72,71.69,626.70,NA
OCTUBRE,8,1,NA,0.022,0.93,0.005,20,NA,17.07,2.59,50.78,71.45,626.66,NA
OCTUBRE,8,2,NA,0.021,0.79,0.005,8,NA,16.76,1.97,52.35,72.18,626.45,NA
OCTUBRE,8,3,NA,0.022,0.78,0.005,20,NA,16.28,2.05,65.53,73.52,626.22,NA
OCTUBRE,8,4,NA,0.015,0.78,0.009,15,NA,16.00,1.22,118.19,75.40,626.12,NA
OCTUBRE,8,5,NA,0.016,0.78,0.008,20,NA,15.32,1.52,97.64,77.50,626.04,NA
OCTUBRE,8,6,NA,0.014,0.92,0.010,15,NA,14.84,1.64,86.77,78.93,626.31,NA
OCTUBRE,8,7,NA,0.007,1.01,0.014,22,NA,14.23,1.95,81.52,82.46,626.63,NA
OCTUBRE,8,8,NA,0.008,1.09,0.013,32,NA,14.96,2.28,77.57,80.81,626.90,0.17
OCTUBRE,8,9,NA,0.018,1.03,0.008,37,NA,17.16,3.60,76.12,71.72,627.22,0.85
OCTUBRE,8,10,NA,0.024,0.96,0.007,30,NA,18.94,4.31,78.29,62.36,627.31,1.80
OCTUBRE,8,11,NA,0.029,1.03,0.008,29,NA,20.57,4.09,80.16,56.23,627.06,2.71
OCTUBRE,8,12,NA,0.033,1.02,0.007,33,NA,21.92,4.51,82.62,52.04,626.59,3.75
OCTUBRE,8,13,NA,0.037,0.94,0.007,32,NA,22.79,5.16,79.19,48.21,625.78,4.30
OCTUBRE,8,14,NA,0.041,0.94,0.007,35,NA,23.86,4.90,78.74,44.98,624.80,3.93
OCTUBRE,8,15,NA,0.042,0.97,0.008,51,NA,24.72,4.79,81.64,41.19,624.06,2.83
OCTUBRE,8,16,NA,0.038,0.92,0.007,38,NA,24.86,4.77,75.04,41.96,623.60,1.70
OCTUBRE,8,17,NA,0.034,0.96,0.008,39,NA,24.58,4.44,73.95,41.38,623.50,0.55
OCTUBRE,8,18,NA,0.032,0.92,0.008,33,NA,23.11,4.89,75.05,45.87,623.77,NA
OCTUBRE,8,19,NA,0.024,0.94,0.008,30,NA,21.49,4.30,69.33,55.46,624.26,NA
OCTUBRE,8,20,NA,0.018,1.02,0.010,25,NA,19.66,4.09,59.69,63.09,624.88,NA
OCTUBRE,8,21,NA,0.018,0.83,0.009,30,NA,18.45,4.71,60.72,66.10,625.36,NA
OCTUBRE,8,22,NA,0.017,0.93,0.008,18,NA,17.01,2.96,83.46,72.20,625.84,NA
OCTUBRE,8,23,NA,0.020,0.82,0.005,22,NA,16.20,3.91,86.43,76.08,626.25,NA
OCTUBRE,9,0,NA,0.019,0.81,0.005,22,NA,15.62,3.07,85.53,79.01,626.44,NA
OCTUBRE,9,1,NA,0.016,0.79,0.006,15,NA,15.15,2.86,91.12,81.37,626.33,NA
OCTUBRE,9,2,NA,0.016,0.78,0.005,13,NA,14.93,2.50,91.95,82.80,626.13,NA
OCTUBRE,9,3,NA,0.017,0.76,0.005,15,NA,15.31,2.31,77.46,83.06,625.89,NA
OCTUBRE,9,4,NA,0.023,0.75,0.004,16,NA,15.91,3.34,67.76,79.94,625.65,NA
OCTUBRE,9,5,NA,0.020,0.80,0.005,11,NA,14.98,2.21,95.26,83.41,625.60,NA
OCTUBRE,9,6,NA,0.017,0.83,0.006,11,NA,14.46,2.44,91.03,86.03,625.73,NA
OCTUBRE,9,7,NA,0.015,0.91,0.007,15,NA,14.28,2.47,83.40,87.30,625.92,NA
OCTUBRE,9,8,NA,0.015,0.90,0.007,20,NA,15.35,2.55,82.08,83.30,626.44,0.23
OCTUBRE,9,9,NA,0.025,0.95,0.006,19,NA,17.45,4.26,77.51,73.74,626.80,0.85
OCTUBRE,9,10,NA,0.030,0.92,0.006,17,NA,18.78,5.03,71.78,66.30,627.02,1.98
OCTUBRE,9,11,NA,0.034,0.96,0.006,26,NA,20.47,4.97,73.25,58.37,626.82,2.86
OCTUBRE,9,12,NA,0.035,0.91,0.006,26,NA,21.33,5.08,69.37,55.10,626.30,2.96
OCTUBRE,9,13,NA,0.037,0.94,0.006,26,NA,21.96,5.17,69.42,52.34,625.66,3.10
OCTUBRE,9,14,NA,0.037,0.91,0.006,19,NA,22.72,5.03,65.62,50.18,624.99,3.02
OCTUBRE,9,15,NA,0.037,0.92,0.006,33,NA,23.30,4.59,72.17,48.58,624.45,2.89
OCTUBRE,9,16,NA,0.037,0.86,0.006,32,NA,23.40,5.50,59.98,47.37,623.99,2.21
OCTUBRE,9,17,NA,0.035,0.84,0.006,36,NA,22.65,5.81,57.81,49.40,623.75,0.87
OCTUBRE,9,18,NA,0.032,0.83,0.007,37,NA,21.73,5.79,63.55,51.06,623.99,0.24
OCTUBRE,9,19,NA,0.029,0.92,0.008,33,NA,20.33,4.88,61.98,57.03,624.41,NA
OCTUBRE,9,20,NA,0.028,1.08,0.009,28,NA,18.57,4.24,67.60,64.25,624.93,NA
OCTUBRE,9,21,NA,0.028,0.86,0.008,31,NA,17.48,4.14,65.06,67.86,625.36,NA
OCTUBRE,9,22,NA,0.029,0.84,0.008,23,NA,17.03,3.42,71.21,69.04,625.85,NA
OCTUBRE,9,23,NA,0.031,0.79,0.005,12,NA,16.04,3.53,79.62,74.23,625.97,NA
OCTUBRE,10,0,NA,0.030,0.77,0.004,12,NA,15.41,2.18,74.47,77.14,625.96,NA
OCTUBRE,10,1,NA,0.030,0.76,0.004,11,NA,15.13,2.47,81.81,77.32,625.88,NA
OCTUBRE,10,2,NA,0.033,0.74,0.004,12,NA,14.53,1.89,91.79,76.79,625.63,NA
OCTUBRE,10,3,NA,0.029,0.75,0.006,14,NA,14.09,2.07,83.93,79.69,625.35,NA
OCTUBRE,10,4,NA,0.032,0.75,0.006,11,NA,15.20,3.23,58.67,76.78,624.99,NA
OCTUBRE,10,5,NA,0.029,0.82,0.007,22,NA,14.33,2.30,77.54,80.07,624.88,NA
OCTUBRE,10,6,NA,0.020,1.08,0.012,10,NA,13.47,2.68,83.16,84.75,624.85,NA
OCTUBRE,10,7,NA,0.012,1.38,0.015,27,NA,13.27,2.27,92.67,86.42,624.94,NA
OCTUBRE,10,8,NA,0.015,1.27,0.014,40,NA,14.63,2.95,90.86,82.02,625.33,0.32
OCTUBRE,10,9,NA,0.027,1.06,0.008,38,NA,16.96,3.96,76.98,71.43,625.60,1.10
OCTUBRE,10,10,NA,0.035,0.97,0.008,36,NA,19.16,4.40,73.23,59.84,625.61,2.22
OCTUBRE,10,11,NA,0.040,0.97,0.007,29,NA,20.82,4.99,76.19,52.59,625.46,3.31
OCTUBRE,10,12,NA,0.043,0.98,0.008,26,NA,22.27,4.68,68.42,47.38,624.93,3.99
OCTUBRE,10,13,NA,0.046,1.07,0.009,28,NA,23.74,4.59,80.57,40.26,624.15,4.42
OCTUBRE,10,14,NA,0.044,1.03,0.009,46,NA,24.88,4.93,82.97,35.84,623.32,4.21
OCTUBRE,10,15,NA,0.044,0.94,0.008,56,NA,25.55,5.14,81.46,34.82,622.63,3.39
OCTUBRE,10,16,NA,0.046,0.98,0.008,44,NA,25.82,5.04,82.79,36.37,622.24,2.29
OCTUBRE,10,17,NA,0.046,0.96,0.007,59,NA,25.45,5.22,77.12,38.53,622.07,1.11
OCTUBRE,10,18,NA,0.041,0.96,0.008,119,NA,24.50,5.30,79.22,41.27,622.23,0.28
OCTUBRE,10,19,NA,0.028,1.05,0.011,43,NA,22.28,4.74,81.01,49.25,622.73,NA
