DATOS MÓVILES 2019_NATIVITAS,,,,,,
,,,,,,
,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10
ENE,20,8,21.12,4.18,0.194,24
ENE,20,9,21.87,3.90,0.192,23
ENE,20,10,22.57,3.63,0.199,21
ENE,20,11,23.39,3.54,0.210,21
ENE,20,12,24.37,3.49,0.220,21
ENE,20,13,25.73,3.50,0.231,20
ENE,20,14,27.42,NA,0.245,21
ENE,20,15,29.07,NA,0.253,21
ENE,20,16,30.62,NA,0.256,21
ENE,20,17,32.28,NA,0.252,21
ENE,20,18,33.40,NA,0.256,20
ENE,20,19,33.26,NA,0.257,20
ENE,20,20,32.54,NA,0.267,19
ENE,20,21,31.26,NA,0.279,17
ENE,20,22,28.62,NA,0.291,16
ENE,20,23,25.02,NA,0.303,16
ENE,21,0,22.68,NA,0.298,16
ENE,21,1,20.15,NA,0.299,15
ENE,21,2,17.27,NA,0.288,14
ENE,21,3,15.60,NA,0.274,14
ENE,21,4,13.81,NA,0.256,14
ENE,21,5,11.57,NA,0.232,14
ENE,21,6,10.14,NA,0.207,14
ENE,21,7,9.59,NA,0.206,15
ENE,21,8,7.70,NA,0.235,15
ENE,21,9,5.90,NA,0.266,15
ENE,21,10,4.64,NA,0.289,16
ENE,21,11,3.24,NA,0.306,16
ENE,21,12,4.44,NA,0.312,16
ENE,21,13,7.31,NA,0.312,16
ENE,21,14,11.21,NA,0.320,16
ENE,21,15,15.89,NA,0.309,16
ENE,21,16,21.00,NA,0.284,16
ENE,21,17,26.12,12.32,0.251,16
ENE,21,18,30.57,11.77,0.248,17
ENE,21,19,32.32,11.33,0.340,17
ENE,21,20,34.21,11.44,0.514,18
ENE,21,21,35.40,11.61,0.685,19
ENE,21,22,NA,11.79,0.792,22
ENE,21,23,NA,11.85,0.947,23
ENE,22,0,NA,12.45,1.039,25
ENE,22,1,NA,12.65,1.138,28
ENE,22,2,NA,12.83,1.225,31
ENE,22,3,NA,12.69,1.202,35
ENE,22,4,NA,12.85,1.079,37
ENE,22,5,NA,12.54,0.976,39
ENE,22,6,NA,12.37,0.908,41
ENE,22,7,NA,12.11,0.802,42
ENE,22,8,NA,12.22,0.804,44
ENE,22,9,NA,12.23,0.784,45
ENE,22,10,NA,10.84,0.746,46
ENE,22,11,NA,5.78,0.710,47
ENE,22,12,NA,5.47,0.665,48
ENE,22,13,NA,5.55,0.608,48
ENE,22,14,NA,5.60,0.563,48
ENE,22,15,27.65,5.69,0.506,47
ENE,22,16,29.57,5.82,0.407,48
ENE,22,17,30.59,6.01,0.327,49
ENE,22,18,34.40,NA,0.257,50
ENE,22,19,35.51,NA,0.226,50
ENE,22,20,33.53,NA,0.250,50
ENE,22,21,30.78,NA,0.256,50
ENE,22,22,27.57,NA,0.266,47
ENE,22,23,24.75,NA,0.279,46
ENE,23,0,21.70,NA,0.281,44
ENE,23,1,19.31,NA,0.281,41
ENE,23,2,19.28,NA,0.291,39
ENE,23,3,18.45,NA,0.278,36
ENE,23,4,17.59,NA,0.246,33
ENE,23,5,16.68,NA,0.231,31
ENE,23,6,17.23,NA,0.236,30
ENE,23,7,17.41,NA,0.292,30
ENE,23,8,NA,NA,0.403,29
ENE,23,9,NA,NA,0.498,29
ENE,23,10,NA,NA,0.524,28
ENE,23,11,NA,NA,0.553,28
ENE,23,12,NA,NA,0.567,28
ENE,23,13,NA,NA,0.577,29
ENE,23,14,NA,NA,0.568,29
ENE,23,15,32.17,NA,0.504,29
ENE,23,16,32.55,NA,0.394,29
ENE,23,17,32.93,NA,0.304,29
ENE,23,18,36.34,NA,0.268,28
ENE,23,19,38.35,2.55,0.248,28
ENE,23,20,35.49,2.57,0.287,28
ENE,23,21,30.57,2.66,0.339,28
ENE,23,22,25.08,2.69,0.380,29
ENE,23,23,23.03,2.77,0.507,30
ENE,24,0,21.06,2.87,0.591,31
ENE,24,1,NA,3.01,0.664,31
ENE,24,2,NA,3.12,0.705,32
ENE,24,3,NA,3.76,0.716,33
ENE,24,4,NA,3.95,0.683,34
ENE,24,5,NA,4.14,0.649,34
ENE,24,6,NA,4.17,0.619,34
ENE,24,7,NA,4.05,0.517,33
ENE,24,8,NA,3.95,0.492,33
ENE,24,9,NA,3.90,0.467,33
ENE,24,10,NA,4.11,0.473,33
ENE,24,11,NA,4.39,0.482,33
ENE,24,12,NA,4.35,0.475,34
ENE,24,13,NA,4.46,0.467,33
ENE,24,14,NA,4.61,0.461,33
ENE,24,15,31.63,4.78,0.436,33
ENE,24,16,33.24,4.97,0.379,34
ENE,24,17,34.37,4.97,0.329,34
ENE,24,18,37.44,5.19,0.282,34
ENE,24,19,38.40,NA,0.268,34
ENE,24,20,36.19,NA,0.297,33
ENE,24,21,33.00,NA,0.317,32
