DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ENE,5,17,0.0625,0.0419,0.0220,45,27,0.0068
ENE,5,18,0.0553,0.0475,0.0219,44,28,0.0078
ENE,5,19,0.0363,0.0495,0.0220,59,25,0.0213
ENE,5,20,0.0064,0.0461,0.0220,102,27,0.0515
ENE,5,21,0.0055,0.0414,0.0220,158,43,0.0487
ENE,5,22,0.0081,0.0364,0.0219,162,57,0.0402
ENE,5,23,0.0075,0.0303,0.0217,149,56,0.0346
ENE,6,0,0.0059,0.0234,0.0213,128,57,0.0301
ENE,6,1,0.0047,0.0162,0.0213,112,50,0.0299
ENE,6,2,0.0054,0.0100,0.0212,98,47,0.0278
ENE,6,3,0.0052,0.0061,0.0207,93,45,0.0235
ENE,6,4,0.0039,0.0058,0.0202,91,43,0.0247
ENE,6,5,0.0026,0.0054,0.0203,100,44,0.0264
ENE,6,6,0.0033,0.0048,0.0202,94,42,0.025
ENE,6,7,0.0033,0.0043,0.0203,94,35,0.0251
ENE,6,8,0.0035,0.0040,0.0214,106,37,0.0247
ENE,6,9,0.0058,0.0041,0.0220,127,43,0.0246
ENE,6,10,0.0108,0.0048,0.0229,139,56,0.026
ENE,6,11,0.0232,0.0071,0.0224,124,74,0.0167
ENE,6,12,0.0326,0.0106,0.0226,83,62,0.0102
ENE,6,13,0.0367,0.0149,0.0224,60,46,0.0062
ENE,6,14,0.0385,0.0193,0.0224,43,33,0.0051
ENE,6,15,0.0383,0.0237,0.0224,40,25,0.0046
ENE,6,16,0.0344,0.0275,0.0223,36,18,0.0046
ENE,6,17,0.0298,0.0305,0.0222,50,14,0.0045
ENE,6,18,0.0268,0.0325,0.0222,45,10,0.0066
ENE,6,19,0.0164,0.0317,0.0220,55,9,0.012
ENE,6,20,0.0065,0.0284,0.0219,76,11,0.0212
ENE,6,21,0.0038,0.0243,0.0218,100,20,0.0231
ENE,6,22,0.0037,0.0200,0.0217,109,28,0.0231
ENE,6,23,0.0035,0.0156,0.0216,105,33,0.0222
ENE,7,0,0.0035,0.0118,0.0216,108,38,0.0218
ENE,7,1,0.0036,0.0085,0.0215,98,43,0.0218
ENE,7,2,0.0033,0.0055,0.0214,87,40,0.0191
ENE,7,3,0.0033,0.0039,0.0215,75,35,0.0185
ENE,7,4,0.0055,0.0038,0.0212,70,32,0.018
ENE,7,5,0.0064,0.0041,0.0209,76,33,0.0192
ENE,7,6,0.0036,0.0041,0.0216,91,36,0.0182
ENE,7,7,0.0029,0.0040,0.0215,90,38,0.0189
ENE,7,8,0.003,0.0040,0.0214,97,34,0.0198
