DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
OCT,10,6,1.98,3.25,0.24,25.85,41.75,11.93,1.02,266.49,13.87,77.2,621.96,11.93
OCT,10,7,0.8,3.46,0.48,27.11,50.99,13,1.02,282.92,14.36,74.14,622.27,13
OCT,10,8,0.8,3.15,0.54,27.18,83.18,18.2,1.47,310.33,15.54,66.97,622.64,18.2
OCT,10,9,10.39,3.38,0.75,27.38,70.8,15.44,1.37,164.89,18.07,59.57,623.06,15.44
OCT,10,10,27.89,3.26,0.28,14.08,66.17,24.93,1.59,161.42,20.13,51.7,623.25,24.93
OCT,10,11,37.74,3.01,0.12,6.3,42.4,19.48,1.63,158.39,21.98,44.8,623.25,19.48
OCT,10,12,45.42,2.62,0.08,2.64,22.64,12.38,1.77,264.6,23.28,43.23,623.02,12.38
OCT,10,13,40.11,2.35,0.07,2,21.78,12.05,2.1,246.6,24.08,42.44,622.36,12.05
OCT,10,14,40.87,2.38,0.11,2.83,20.96,10.66,2.15,214.8,25.18,40.1,621.61,10.66
OCT,10,15,41.29,2.26,0.04,0.4,19.53,11.79,2.62,263.7,26.28,37.55,621.03,11.79
OCT,10,16,40.71,2.22,0.05,0.4,19.91,10.34,2.02,250.28,27.17,34.36,620.47,10.34
OCT,10,17,44.52,2.23,0.05,0.4,29.9,5.89,2.38,278.14,26.91,33.84,619.97,5.89
OCT,10,18,49,2.25,0.06,0.4,44.75,5.18,2.45,304.51,25.75,35.7,620.19,5.18
OCT,10,19,45.35,2.42,0.23,7.03,35.5,5.05,1.86,273.27,24.13,39.3,620.7,5.05
OCT,10,20,29.74,2.46,0.61,23.37,46.11,7.39,1.48,314.71,23.26,41.27,621.06,7.39
OCT,10,21,14.29,2.62,0.49,31.58,61.96,11.87,1.98,246.5,22.11,49.16,621.56,11.87
OCT,10,22,27.99,2.22,0.05,0.4,40.31,16.05,3.12,229.58,20.34,61.29,622.2,16.05
OCT,10,23,21.83,2.27,0.04,1.16,21.11,9.11,1.9,267.39,19.43,65.87,622.68,9.11
OCT,11,0,22.2,2.2,0.01,0.91,14.62,9.08,1.53,273.55,19.56,65.4,622.84,9.08
