DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
MZO,7,18,10.21,3.25,0.36,8.24,44.39,27.8,5.03,83.7,22.92,31.79,621.24,27.8
MZO,7,19,6.88,3.36,0.41,12.64,50.39,22.52,5.27,90.28,23.9,35.48,621.46,22.52
MZO,7,20,4.96,3.42,0.39,14.66,49.77,36.9,5.53,86.85,21.3,40.56,622.01,36.9
MZO,7,21,4.12,3.4,0.32,13.02,37.02,22.14,6.15,89.86,19.65,45.57,622.58,22.14
MZO,7,22,4.18,3.32,0.24,10.4,30.26,17.46,5.76,91.68,18.32,48.88,623.11,17.46
MZO,7,23,4.9,3.31,0.15,7.23,12.28,NA,4.92,84.96,16.84,52.14,623.48,NA
MZO,8,0,5.22,3.35,0.09,4.78,7.16,NA,4.66,82.44,15.39,54.82,623.49,NA
MZO,8,1,5.63,3.18,0.03,2.57,9.77,NA,4.38,84.47,15.41,56.54,623.43,NA
MZO,8,2,5.53,4.4,0.01,2.83,11.78,NA,3.45,77.67,14.55,59.65,623.64,NA
MZO,8,3,4.55,6.1,0.01,5.05,11.8,NA,2.56,93.74,14.04,61.78,623.69,NA
MZO,8,4,3.71,2.32,0.01,6.83,5.32,NA,2.77,104.63,13.21,63.96,623.71,NA
MZO,8,5,3.75,2.54,0.01,7.75,7.4,NA,3.02,108.48,12.1,66.45,623.74,NA
MZO,8,6,3.02,2.37,0.02,8.46,4.37,NA,3.19,91.54,11.4,68.46,623.91,NA
MZO,8,7,1.73,2.44,0.12,11.15,9.78,NA,3.23,92.67,10.88,70.14,624.36,NA
MZO,8,8,0.8,2.47,0.42,14.8,15.23,10.85,3.07,101.67,10.35,69.78,624.91,10.85
MZO,8,9,1.17,3.57,0.57,15.13,11.87,NA,3.76,102.54,11.51,65.72,625.23,NA
MZO,8,10,2.37,2.9,0.46,14.56,17.59,NA,3.45,97.6,15.9,59.18,625.44,NA
MZO,8,11,5.65,3.56,0.46,17,23.74,9.51,2.32,93.65,18.96,50.39,625.28,9.51
MZO,8,12,10.18,3.2,0.38,12.99,29.25,24.46,1.87,129.56,22.59,39.54,624.74,24.46
MZO,8,13,17.34,3.27,0.12,1.53,26.3,NA,2.93,255.53,24.71,31.22,623.94,NA
MZO,8,14,16.44,2.81,0.05,3.39,NA,NA,3.66,270.38,25.93,NA,623.25,NA
MZO,8,15,13.2,2.77,0.13,6.63,NA,NA,3.22,232.74,25.05,NA,622.26,NA
MZO,8,16,12.53,2.43,0.13,6.26,24.88,NA,3.59,244.48,23.4,NA,621.61,NA
MZO,8,17,12.44,2.58,0.08,5.25,11.37,NA,2.83,273.1,26.41,NA,621.27,NA
MZO,8,18,12.97,3.07,0.11,6.8,22.9,9.92,2.91,245.84,26.78,NA,621.05,9.92
MZO,8,19,11.47,2.69,0.16,10.56,27.81,10.39,3.18,251.84,26.4,NA,621.26,10.39
MZO,8,20,7.95,3.08,0.2,15.34,32,14.85,2.76,253.95,22.17,NA,621.44,14.85
MZO,8,21,6.19,3.82,0.28,19.44,37.9,22.5,2.27,232.96,21.85,NA,621.81,22.5
MZO,8,22,6.34,3.61,0.26,18.28,25.42,23.77,2.36,236.41,21.71,NA,622.21,23.77
MZO,8,23,6.78,3.21,0.15,12.87,22.37,NA,2.54,237.57,20.67,NA,622.66,NA
MZO,9,0,5.87,2.52,0.1,11.94,24.6,19.21,1.16,242.18,18.73,NA,622.92,19.21
MZO,9,1,5.55,2.45,0.08,12.39,17.56,NA,1.54,303.8,18.19,NA,623.02,NA
MZO,9,2,3.36,2.83,0.11,18.95,23.49,22.66,1.54,226.46,17.49,NA,622.94,22.66
MZO,9,3,2.47,2.51,0.07,20.93,17.56,NA,1.34,289.44,16.43,NA,622.82,NA
MZO,9,4,2,2.2,0.03,20.61,10.68,NA,1.32,227.94,15.94,NA,622.62,NA
MZO,9,5,NA,2.25,0.06,25.54,16.19,NA,0.95,236.56,15.22,NA,622.53,NA
MZO,9,6,0.8,2.34,0.15,23.91,15.62,NA,1.01,217.81,14.96,NA,622.66,NA
MZO,9,7,0.91,2.41,0.14,22.44,22.11,21.2,0.84,242.96,13.73,NA,623.03,21.2
MZO,9,8,NA,2.2,0.63,26.11,16.61,NA,1.09,226.42,14.71,NA,623.3,NA
MZO,9,9,0.8,6.95,0.79,53.97,31.84,24.83,1.28,101.59,17.51,8.99,623.68,24.83
MZO,9,10,1.68,4.77,0.42,45,46.77,37.8,1.67,270.55,19.72,39.03,623.89,37.8
MZO,9,11,9.38,3.1,0.09,3.76,32.3,28.93,2.68,241.64,21.25,37.32,623.82,28.93
MZO,9,12,12.2,2.68,0.04,1.25,11.29,NA,2.77,242.31,22.35,33.99,623.45,NA
